PLAN,FORM,DESCR,PAR,SEX,BASIS,NFOINT,LOANINT,LOANINTX,DEPINT,VARDB,VARGP,LOAGE,HIAGE,RENEW,PAYYRS,PAYAGE,INSYRS,INSAGE,ANNL,SEMI,QTRL,MTHD,MTHB,ANNLFEE,SEMIFEE,QTRLFEE,MTHDFEE,MTHBFEE,INITVAL,MKTG,PRODUCT,CALCADV,COMMID,MINUNIT,MAXUNIT,BPOLFEE,BACTIVE,RRULE,AGTRSV,AUTONFO,PLANTYPE,INTMETHTV,INTMETHCV,DEFICIENCY,HDEDMETHOD,PLANVALOPT,GDVARYGP,GDVARYDB,GDVARYCV,GDVARYTV,GDVARYDV,UWVARYGP,UWVARYDB,UWVARYCV,UWVARYTV,UWVARYDV,BDVARYGP,BDVARYDB,BDVARYCV,BDVARYTV,BDVARYDV,STVARYGP,STVARYDB,STVARYCV,STVARYTV,STVARYDV,CONVCOMM,PLANNAME,HRENEW,HLOB,HCOMMIP,HRIGPKEY,SIMPLEINT,MLAPSE,MNOTE10,MNAICLOB,MNFOANNV,MGTDANNV
920ADB,0822,ACCIDENTAL DEATH BENEFIT,0,B,,,0.00,22,0.00,4,4,15,55,T,00,65,00,65,100.0000,51.0000,26.5000,9.2500,9.2500,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,03,T,,0,99,,T,22,0.00,0,,,A,N,,F,0,0,,,,,,,,,,,,,,,,,,,,ACCIDENTAL DEATH BENEFIT,,,,,,0,,NAPLAN,,
965ADB,0822,ACCIDENTAL DEATH BENEFIT,0,B,,,0.00,22,0.00,4,4,15,50,T,00,65,00,65,100.0000,51.0000,26.5000,9.2500,9.2500,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,03,T,,0,99,,T,22,0.00,0,,,A,N,,F,0,0,,,,,,,,,,,,,,,,,,,,ACCIDENTAL DEATH BENEFIT,,,,,,0,,NAPLAN,,
960ADB,0822,ACCIDENTAL DEATH BENEFIT,0,B,,,0.00,22,0.00,4,4,00,65,T,00,65,00,65,100.0000,51.0000,26.5000,9.2500,9.2500,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,03,T,,0,99,,T,22,0.00,0,,,A,N,,F,0,0,,,,,,,,,,,,,,,,,,,,ACCIDENTAL DEATH BENEFIT,,,,,,0,,NAPLAN,,
9POADB,0822,ACCIDENTAL DEATH BENEFIT,0,B,,,0.00,22,0.00,4,4,15,55,T,00,65,00,65,100.0000,51.0000,26.5000,9.2500,9.2500,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,03,T,,0,99,,T,22,0.00,0,,,A,N,,F,0,0,,,,,,,,,,,,,,,,,,,,ACCIDENTAL DEATH BENEFIT,,,,,,0,,NAPLAN,,
9665WP,0823,WAIVER OF PREMIUM,0,B,,,0.00,22,0.00,4,4,15,50,T,00,60,00,60,100.0000,51.0000,26.5000,9.2500,9.2500,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,10,T,,0,99,,T,22,0.00,0,,,A,N,,F,0,0,,,,,,,,,,,,,,,,,,,,WAIVER OF PREMIUM,,,,,,0,,NAPLAN,,
9896WP,0823,WAIVER OF PREMIUM,0,B,,,0.00,22,0.00,4,4,15,50,T,00,60,00,60,100.0000,51.0000,26.5000,9.2500,9.2500,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,10,T,,0,99,,T,22,0.00,0,,,A,N,,F,0,0,,,,,,,,,,,,,,,,,,,,WAIVER OF PREMIUM,,,,,,0,,NAPLAN,,
9085WP,0823,WAIVER OF PREMIUM - LPU AT 85/88,0,B,,,0.00,22,0.00,4,4,15,55,T,00,60,00,60,100.0000,51.0000,26.5000,9.2500,9.2500,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,03,T,,0,99,,T,22,0.00,0,,,A,N,,F,0,0,,,,,,,,,,,,,,,,,,,,WAIVER OF PREMIUM - LPU AT 85/88,,,,,,0,,NAPLAN,,
0823 960CH,0823,WAIVER OF PREMIUM - CHILD,0,B,,,0.00,22,0.00,4,4,00,17,T,00,60,00,60,100.0000,51.0000,26.5000,9.2500,9.2500,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,03,T,,0,99,,T,22,0.00,0,,,A,N,,F,0,0,,,,,,,,,,,,,,,,,,,,WAIVER OF PREMIUM - CHILD,,,,,,0,,NAPLAN,,
9065WP,0823,WAIVER OF PREMIUM,0,B,,,0.00,22,0.00,4,4,00,55,T,00,60,00,60,100.0000,51.0000,26.5000,9.2500,9.2500,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,03,T,,0,99,,T,22,0.00,0,,,A,N,,F,0,0,,,,,,,,,,,,,,,,,,,,WAIVER OF PREMIUM,,,,,,0,,NAPLAN,,
90OLWP,0823,WAIVER OF PREMIUM,0,B,,,0.00,22,0.00,4,4,15,55,T,00,60,00,60,100.0000,51.0000,26.5000,9.2500,9.2500,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,03,T,,0,99,,T,22,0.00,0,,,A,N,,F,0,0,,,,,,,,,,,,,,,,,,,,WAIVER OF PREMIUM,,,,,,0,,NAPLAN,,
90POWP,0823,WAIVER OF PREMIUM,0,B,,,0.00,22,0.00,4,4,15,55,T,00,60,00,60,100.0000,51.0000,26.5000,9.2500,9.2500,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,03,T,,0,99,,T,22,0.00,0,,,A,N,,F,0,0,,,,,,,,,,,,,,,,,,,,WAIVER OF PREMIUM,,,,,,0,,NAPLAN,,
960SWP,0823,WAIVER OF PREMIUM - SPOUSE,0,B,,,0.00,22,0.00,4,4,00,55,T,00,60,00,60,100.0000,51.0000,26.5000,9.2500,9.2500,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,03,T,,0,99,,T,22,0.00,0,,,A,N,,F,0,0,,,,,,,,,,,,,,,,,,,,WAIVER OF PREMIUM - SPOUSE,,,,,,0,,NAPLAN,,
0824 P DIS,0824,& PAYOR DISABILITY RIDER,0,B,,,0.00,22,0.00,4,4,00,55,T,25,00,25,00,100.0000,51.0000,26.5000,9.2500,9.2500,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,03,T,,0,99,,T,22,0.00,0,,,A,N,,F,0,0,,,,,,,,,,,,,,,,,,,,& PAYOR DISABILITY RIDER,,,,,,0,,NAPLAN,,
90PDTH,0824,PAYOR DEATH,0,B,,,0.00,22,0.00,4,4,00,55,T,25,00,25,00,100.0000,51.0000,26.5000,9.2500,9.2500,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,03,T,,0,99,,T,22,0.00,0,,,A,N,,F,0,0,,,,,,,,,,,,,,,,,,,,PAYOR DEATH,,,,,,0,,NAPLAN,,
17CSI3,10827,CSI LIFE $3000,0,B,,F,0.00,22,0.00,4,4,46,75,T,00,100,00,100,100.0000,51.0000,26.5000,9.2500,9.2500,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,19,T,,0,99,,T,22,0.00,0,,,0,N,,F,0,0,,,,,,,,,,,,,,,,,,,,CSI LIFE $3000,,,,,,0,,NAPLAN,,
17CSI5,10827,CSI LIFE $5000,0,B,,F,0.00,22,0.00,4,4,46,75,T,00,100,00,100,100.0000,51.0000,26.5000,9.2500,9.2500,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,19,T,,0,99,,T,22,0.00,0,,,0,N,,F,0,0,,,,,,,,,,,,,,,,,,,,CSI LIFE $5000,,,,,,0,,NAPLAN,,
