reconstructed_claim_id,claim_family,mresidual_candidate,decomposition_status,balancing_status,residual_reason,derivation_status,derivation_confidence
RC-9010149834-1-SURRENDER_CLAIM-C0-20180302,SURRENDER_CLAIM,831.92,,UNBALANCED,Optional components absent (not forced),NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010150740-1-DEATH_CLAIM-C0-20230509,DEATH_CLAIM,-1713.59,CLEARING_ONLY_DISTORTION,UNBALANCED,CLEARING_ONLY_DISTORTION,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010150910-1-DEATH_CLAIM-C0-20200423,DEATH_CLAIM,-134.57,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,UNBALANCED,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010150910-3-DEATH_CLAIM-C0-20200423,DEATH_CLAIM,127.52,PARTIAL_DECOMPOSITION,UNBALANCED,PARTIAL_DECOMPOSITION,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010185592-1-SURRENDER_CLAIM-C0-20191211,SURRENDER_CLAIM,851.9,,UNBALANCED,Optional components absent (not forced),NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010331157-1-DEATH_CLAIM-C0-20190315,DEATH_CLAIM,-9256.93,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,UNBALANCED,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010335038-1-DEATH_CLAIM-C0-20180422,DEATH_CLAIM,-6777.05,CLEARING_ONLY_DISTORTION,UNBALANCED,CLEARING_ONLY_DISTORTION,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010360289-1-SURRENDER_CLAIM-C0-20260401,SURRENDER_CLAIM,3129.06,,UNBALANCED,Optional components absent (not forced),NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010360290-1-SURRENDER_CLAIM-C0-20260326,SURRENDER_CLAIM,3104.07,,UNBALANCED,Optional components absent (not forced),NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010363098-1-DEATH_CLAIM-C0-20220917,DEATH_CLAIM,-2770.08,PARTIAL_DECOMPOSITION,UNBALANCED,PARTIAL_DECOMPOSITION,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010363098-5-DEATH_CLAIM-C0-20220917,DEATH_CLAIM,2765.73,PARTIAL_DECOMPOSITION,UNBALANCED,PARTIAL_DECOMPOSITION,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010367438-1-DEATH_CLAIM-C0-20211110,DEATH_CLAIM,-889.37,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,UNBALANCED,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010367438-2-DEATH_CLAIM-C0-20211110,DEATH_CLAIM,2464.99,PARTIAL_DECOMPOSITION,UNBALANCED,PARTIAL_DECOMPOSITION,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010367705-1-SURRENDER_CLAIM-C0-20250626,SURRENDER_CLAIM,3043.61,,UNBALANCED,Optional components absent (not forced),NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010368703-1-DEATH_CLAIM-C0-20210114,DEATH_CLAIM,-6025.67,PARTIAL_DECOMPOSITION,UNBALANCED,PARTIAL_DECOMPOSITION,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010368703-2-DEATH_CLAIM-C0-20210114,DEATH_CLAIM,6019.86,PARTIAL_DECOMPOSITION,UNBALANCED,PARTIAL_DECOMPOSITION,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010371171-1-DEATH_CLAIM-C0-20240624,DEATH_CLAIM,-6404.01,PARTIAL_DECOMPOSITION,UNBALANCED,PARTIAL_DECOMPOSITION,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010371171-2-DEATH_CLAIM-C0-20240624,DEATH_CLAIM,6381.68,PARTIAL_DECOMPOSITION,UNBALANCED,PARTIAL_DECOMPOSITION,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010373918-1-SURRENDER_CLAIM-C0-20210412,SURRENDER_CLAIM,11120.23,,UNBALANCED,Optional components absent (not forced),NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010374779-1-DEATH_CLAIM-C0-20200530,DEATH_CLAIM,-4005.43,PARTIAL_DECOMPOSITION,UNBALANCED,PARTIAL_DECOMPOSITION,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010374779-2-DEATH_CLAIM-C0-20200530,DEATH_CLAIM,4005.43,PARTIAL_DECOMPOSITION,UNBALANCED,PARTIAL_DECOMPOSITION,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010376522-1-SURRENDER_CLAIM-C3-20211006,SURRENDER_CLAIM,4592.78,,UNBALANCED,Optional components absent (not forced),NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010376529-1-SURRENDER_CLAIM-C1-20190614,SURRENDER_CLAIM,2451.34,,UNBALANCED,Optional components absent (not forced),NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010376540-1-DEATH_CLAIM-C0-20181014,DEATH_CLAIM,-1697.22,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,UNBALANCED,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010376540-1-DEATH_CLAIM-C1-20190220,DEATH_CLAIM,-5810.61,RESIDUAL_REMAINS,UNBALANCED,RESIDUAL_REMAINS,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010376540-2-DEATH_CLAIM-C0-20181014,DEATH_CLAIM,7507.83,PARTIAL_DECOMPOSITION,UNBALANCED,PARTIAL_DECOMPOSITION,NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
RC-9010377918-1-SURRENDER_CLAIM-C0-20250331,SURRENDER_CLAIM,15878.94,,UNBALANCED,Optional components absent (not forced),NEEDS_MANUAL_REVIEW,LOW_CONFIDENCE
