MPOLICY,MPHASE,MPLAN,MUNIT,MVPU,face_amount,face_if_3dp_munit,face_delta,is_pua_style_pa
010367438C,1,17085M,3.58000,1000.00,3580.00,3580.00,0.00,N
010448806C,1,170858,5.77800,1000.00,5778.00,5778.00,0.00,N
010448806C,3,170858,5.77800,1000.00,5778.00,5778.00,0.00,N
010510671C,1,2665ST,1.15296,5234.00,6034.59,6029.57,5.02,N
010510671C,2,9665WP,2.50000,1000.00,2500.00,2500.00,0.00,N
010510671C,3,965ADB,2.50000,1000.00,2500.00,2500.00,0.00,N
010510671C,4,A96DAR,2.50000,1.00,2.50,2.50,0.00,N
010510671C,5,9896WP,2.50000,1000.00,2500.00,2500.00,0.00,N
010615191C,1,17085M,4.65816,1000.00,4658.16,4658.00,0.16,N
010367438C,2,1708PA,2.46499,1000.00,2464.99,2464.00,0.99,Y
010448806C,2,1708PA,5.75296,1000.00,5752.96,5752.00,0.96,Y
010615191C,2,1708PA,3.74599,1000.00,3745.99,3745.00,0.99,Y
