MPOLICY,MPHASE,MPLAN,csv_MUNIT,stored_N10_3,stored_N10_5,MVPU,face_csv,face_N10_3,face_N10_5,recover_dollars
010448806C,1,170858,5.77800,5.778,5.77800,1000.00,5778.00,5778.00,5778.00,0.00
010448806C,3,170858,5.77800,5.778,5.77800,1000.00,5778.00,5778.00,5778.00,0.00
010510671C,1,2665ST,1.15296,1.152,1.15296,5234.00,6034.59,6029.57,6034.59,5.02
010510671C,2,9665WP,2.50000,2.500,2.50000,1000.00,2500.00,2500.00,2500.00,0.00
010510671C,3,965ADB,2.50000,2.500,2.50000,1000.00,2500.00,2500.00,2500.00,0.00
010510671C,4,A96DAR,2.50000,2.500,2.50000,1.00,2.50,2.50,2.50,0.00
010510671C,5,9896WP,2.50000,2.500,2.50000,1000.00,2500.00,2500.00,2500.00,0.00
010615191C,1,17085M,4.65816,4.658,4.65816,1000.00,4658.16,4658.00,4658.16,0.16
010448806C,2,1708PA,5.75296,5.752,5.75296,1000.00,5752.96,5752.00,5752.96,0.96
010615191C,2,1708PA,3.74599,3.745,3.74599,1000.00,3745.99,3745.00,3745.99,0.99
