ID,Item,Description (with example),Phase,Risk,Status,Owner,Gating Question / Next Action
21A,NFO / Dividend Options,"NFO and Dividend Option from LifePRO show as 0 in QLAdmin instead of the real election. Example: 010391895C LifePRO NFO=ETI and Div Opt=4; QLAdmin shows NFO 0 and DIV 0. Combined values like APL ETI need a business rule.",2,Medium,AWAITING CLIENT,Conversion + Client,"What should QLAdmin display when LifePRO shows a combined NFO value such as APL ETI? Provide approved mapping for ETI RPU APL ETI and Dividend Option values."
21B,Bill Day,"Bill day was taken from issue date instead of specified bill day. Example: 010713704C LifePRO bill day=15 but QLAdmin showed 19 (from issue date 04/19/1984). Fix applied: POLICY_BILL_DAY to MBILLDAY. Full-batch: 713704C=15 765930C=28 718309C=22 818663C=12.",1,Low,IMPLEMENTED,Conversion,"No client question - ready for UAT. Verify Bill Day on sample policies (010713704C should show 15 not 19)."
21C,Policy Fees,"Annual policy fee missing in QLAdmin (showed $0). Example: 010391876C LifePRO fee=$10.44 QLAdmin Pol Fee=0; 010713704C fee=$25.00. Fix applied: MANNLFEE on base rider from POLICY_FEE. Full-batch: 4459 base rows; 391876C=10.44 713704C=25.00.",2,Medium,IMPLEMENTED,Conversion,"No client question - ready for UAT. Verify Policy Fee on base-coverage rider (391876C=$10.44 713704C=$25.00)."
21D,Interest Crediting Rate,"QLAdmin crediting rate differs from client expectation. Example: 010713704C QLAdmin Int Rate=4.00%; client expects 4.50% (4.50% not visible on LifePRO screenshot).",2,High,AWAITING CLIENT,Client (with Conversion),"What is the authoritative interest crediting rate - 4.00% or 4.50%? Should QLAdmin show guaranteed rate current credited rate or both?"
21E,Cash Value,"Cash values in QLAdmin do not match LifePRO. Example: 010713704C LifePRO Fund Value=$45567.58 QLAdmin=$0; 010818663C Fund=$12481.13 QLAdmin=$0; 010391895C wrong non-zero $7204.30.",2,High,AWAITING CLIENT,Client (with Conversion),"Should QLAdmin load existing LifePRO cash/fund value at conversion or calculate from rate tables? For UL policies should converted value match LifePRO exactly on day one?"
21F,Premium History,"Premium history truncated in QLAdmin - only recent payments. Example: 010713704C QLAdmin lists only 2026 payments; LifePRO accounting back to 2001/2002. Client suggests cutoff around Jan 2018.",3,Medium,AWAITING CLIENT,Client + Source-extract team,"How far back must premium payment history be converted? Full history to issue to a specific date or through paid-to date only?"
21G,Total Premium / Cost Basis,"LifePRO has Premiums Paid and Tax Basis but QLAdmin shows no equivalent. Example: 010448806C LifePRO Premiums Paid=$6552.00 Tax Basis=$2483.97; no matching QLAdmin field identified.",2,Medium,AWAITING CLIENT,Client (with Conversion),"Where should Total Premium Paid and Cost/Tax Basis appear in QLAdmin? Identify target screen and field or confirm not required at conversion."
21H,Banking Information,"Bank routing/account wrong or missing. Example: 010713704C LifePRO Checking ABA 104000016 acct 47374579 FNBO; QLAdmin showed 8-digit 10400001 in Credit Card ID field. ABA fix applied: 1712 of 1996 policies get full 9-digit routing. Still open: target field and bank name.",3,High,IMPLEMENTED (ABA) / AWAITING CLIENT,Conversion + Client,"Verify 9-digit ABA (010713704C=104000016/47374579). Still need: Should checking accounts appear in Bill Acct not Credit Card ID? Bank name mapping rule? Review 342 ambiguous accounts in reconciliation/issue21h_ambiguous_accounts.csv."
21I,Beneficiary Information,"Beneficiary type split or name wrong/defaulted. Example: 010818663C QLAdmin Unknown 100% then correct name PROCTOR JACKI. Duplicate Beneficiary 1 reported on 010391876C.",2,Medium-High,AWAITING CLIENT,Conversion + Client,"Which beneficiary attributes are mandatory at conversion - name type relationship split primary/contingent? Should Unknown 100% ever appear?"
21J,Modal Premium Factors,"Modal premiums do not match LifePRO - generic factors used. Example: 010713704C QLAdmin Annl $1095.44 Mthly $91.29 Draft $43.91; monthly appears to be Annl/12 not product factor.",2,Medium,AWAITING CLIENT,Client (with Conversion),"Provide approved modal premium factors by product/plan. Which is authoritative for 010713704C - LifePRO draft $43.91 or QLAdmin monthly $91.29?"
21K,PUA Amount Precision,"PUA face amount loses cents in QLAdmin. Example: 010448806C LifePRO PUA Face=$5752.96 QLAdmin=$5752.00. Conversion emits MUNIT at 5 dp; loss appears in QLAdmin/DBF storage.",1,Low-Medium,AWAITING CLIENT (New Era),Conversion + Client (New Era),"Does QUIKRIDR.MUNIT support 5 decimal places on DBF load or truncate to 3? How should PUA face with cents be carried?"
21L,Last Change Date,"Client reported Last Change Date mismatch. Example: 010448806C LifePRO Last Change=07/07/2010 QLAdmin showed issue date. Closed: QLAdmin sets date on load.",-,Low,CLOSED,Client,"No action required. QLAdmin sets Last Change Date on load."
21M,Policy Notes / ENS Messages,"Policy notes and ENS messages from LifePRO not converted. No QUIKMEMO rulebook yet. Target QUIKMEMO keyed by policy number.",4,Low,IN SCOPE (new build),Conversion + Client,"Should both policy notes and ENS messages be converted? Confirm LifePRO source(s) and QUIKMEMO as target. Any retention/format rules?"
