target_field,mapped,source_field,default_value,lookup_table,transformation_note,coverage_status
PLAN,Y,COVERAGE_ID,,,Map to crosswalk via engine,MAPPED
FORM,Y,POLICY_FORM_NUM,,,,MAPPED
DESCR,Y,DESCRIPTION,,,,MAPPED
PAR,Y,,0,,,MAPPED
SEX,Y,SEX_BASIS,,,,MAPPED
BASIS,Y,,,,,MAPPED
NFOINT,Y,,,,,MAPPED
LOANINT,Y,,0.00,,,MAPPED
LOANINTX,Y,,A,,,MAPPED
DEPINT,Y,,0.00,,,MAPPED
VARDB,Y,,4,,,MAPPED
VARGP,Y,,4,,,MAPPED
LOAGE,Y,MIN_ISSUE_AGE,0,,,MAPPED
HIAGE,Y,MAX_ISSUE_AGE,121,,,MAPPED
RENEW,Y,,N,,,MAPPED
PAYYRS,Y,PREM_CEASE_POINT,0,,ROUTE_PAY_YRS,MAPPED
PAYAGE,Y,PREM_CEASE_POINT,0,,ROUTE_PAY_AGE,MAPPED
INSYRS,Y,BEN_CEASE_POINT,0,,ROUTE_INS_YRS,MAPPED
INSAGE,Y,BEN_CEASE_POINT,0,,ROUTE_INS_AGE,MAPPED
ANNL,Y,,100.0000,,,MAPPED
SEMI,Y,,51.0000,,,MAPPED
QTRL,Y,,26.5000,,,MAPPED
MTHD,Y,,9.2500,,,MAPPED
MTHB,Y,,9.2500,,,MAPPED
ANNLFEE,Y,,0.0000,,,MAPPED
SEMIFEE,Y,,0.0000,,,MAPPED
QTRLFEE,Y,,0.0000,,,MAPPED
MTHDFEE,Y,,0.0000,,,MAPPED
MTHBFEE,Y,,0.0000,,,MAPPED
INITVAL,Y,,1000.00,,,MAPPED
MKTG,Y,,,,,MAPPED
PRODUCT,Y,PRODUCT_TYPE,,,,MAPPED
CALCADV,Y,,N,,,MAPPED
COMMID,Y,,,,,MAPPED
MINUNIT,Y,MIN_ISSUE_AMT1,0,PCOMP,TO_UNITS,MAPPED
MAXUNIT,Y,MAX_ISSUE_AMT1,99,PCOMP,TO_UNITS,MAPPED
BPOLFEE,Y,,,,,MAPPED
BACTIVE,Y,,N,,,MAPPED
RRULE,Y,,B,,,MAPPED
AGTRSV,Y,,0.00,,,MAPPED
AUTONFO,Y,,0,,,MAPPED
PLANTYPE,Y,,,,,MAPPED
INTMETHTV,Y,,,,,MAPPED
INTMETHCV,Y,,,,,MAPPED
DEFICIENCY,Y,,N,,,MAPPED
HDEDMETHOD,Y,,,,,MAPPED
PLANVALOPT,Y,,Y,,,MAPPED
GDVARYGP,Y,,0,,,MAPPED
GDVARYDB,Y,,0,,,MAPPED
GDVARYCV,Y,,,,,MAPPED
GDVARYTV,Y,,,,,MAPPED
GDVARYDV,Y,,,,,MAPPED
UWVARYGP,Y,,,,,MAPPED
UWVARYDB,Y,,,,,MAPPED
UWVARYCV,Y,,,,,MAPPED
UWVARYTV,Y,,,,,MAPPED
UWVARYDV,Y,,,,,MAPPED
BDVARYGP,Y,,,,,MAPPED
BDVARYDB,Y,,,,,MAPPED
BDVARYCV,Y,,,,,MAPPED
BDVARYTV,Y,,,,,MAPPED
BDVARYDV,Y,,,,,MAPPED
STVARYGP,Y,,,,,MAPPED
STVARYDB,Y,,,,,MAPPED
STVARYCV,Y,,,,,MAPPED
STVARYTV,Y,,,,,MAPPED
STVARYDV,Y,,,,,MAPPED
CONVCOMM,Y,,,,,MAPPED
PLANNAME,Y,DESCRIPTION,,,,MAPPED
HRENEW,Y,,,,,MAPPED
HLOB,Y,,,,,MAPPED
HCOMMIP,Y,,,,,MAPPED
HRIGPKEY,Y,,,,,MAPPED
SIMPLEINT,Y,,,,,MAPPED
MLAPSE,Y,,0,,,MAPPED
MNOTE10,Y,,,,,MAPPED
MNAICLOB,Y,,NAPLAN,,,MAPPED
MNFOANNV,Y,,,,,MAPPED
MGTDANNV,Y,,,,,MAPPED
