mpolicy,mphase,claimnum,family,lifecycle,before_claimstat,after_claimstat,reason,has_payment,mpaid,pddate,origsttus
010154425C,1,RC-9010154425,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
010235370C,1,RC-9010235370,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
010335095C,1,RC-9010335095,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
010348734C,1,RC-9010348734,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
010391359C,1,RC-9010391359,DEATH_CLAIM,FUNDED,1,2,DEATH_PAID_IN_FULL,True,0.00,,1
010392493C,1,RC-9010392493,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
010393181C,1,RC-9010393181,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
010393931C,1,RC-9010393931,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
010397118C,1,RC-9010397118,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
010397318C,1,RC-9010397318,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,3626.03,20200409,3
010402010C,1,RC-9010402010,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,10700.73,20221021,3
010402014C,1,RC-9010402014,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,4290.22,20230913,3
010403109C,1,RC-9010403109,DISBURSEMENT_CLAIM,PAID,99,99,FAMILY_SURRENDER_BUCKET,True,0.00,,99
010406962C,1,RC-9010406962,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,883.67,20210726,3
010418088C,1,RC-9010418088,DEATH_CLAIM,SETTLED,3,2,DEATH_PAID_IN_FULL,True,10000.00,20240629,3
