MPOLICY,MPHASE,MPLAN,base_MPHSTAT,before_MPHSTAT,before_MEFFDATE,before_MAGE,before_MLASTANN,before_MPAYUP,after_MPHSTAT,after_MEFFDATE,after_MAGE,after_MLASTANN,after_MPAYUP
010150910C,3,221EPA,53,56,20070901,67,19,20250901,56,19610901,21,65,19610901
010235370C,2,280EPA,57,56,19670901,11,59,20210901,56,19650901,09,61,19650901
010264207C,2,280EPA,22,22,19681128,06,58,20271128,41,19661128,04,60,19661128
010310404C,2,1960PA,22,22,20110128,68,15,20460128,41,19690128,26,57,19690128
010331768C,2,1960PA,22,22,19710724,22,55,20520724,41,19690724,20,57,19690724
010350577C,2,1960PA,22,22,19720128,02,54,20730128,41,19700128,00,56,19700128
010360289C,2,1708PA,55,56,19720515,07,54,20500515,56,19700515,05,56,19700515
010360290C,2,1708PA,55,56,19720515,05,54,20550515,56,19700515,03,56,19700515
010363098C,5,1960PA,53,56,19720602,26,54,20310602,56,19700602,24,56,19700602
010367131C,2,1708PA,22,22,19720801,05,54,20520801,41,19700801,03,56,19700801
010367132C,2,1708PA,22,22,19720801,08,54,20520801,41,19700801,06,56,19700801
010367133C,2,1708PA,22,22,19720801,09,54,20480801,41,19700801,07,56,19700801
010367438C,2,1708PA,53,56,19720701,44,54,20130701,56,19700701,42,56,19700701
010367704C,2,1708PA,22,22,19720701,12,54,20450701,41,19700701,10,56,19700701
010367705C,2,1708PA,55,56,19720701,09,54,20510701,56,19700701,07,56,19700701
010368703C,2,1708PA,53,56,19720801,26,54,20310801,56,19700801,24,56,19700801
010371171C,2,1708PA,53,56,19720801,28,54,20290801,56,19700801,26,56,19700801
010371356C,2,1708PA,22,22,19720901,16,54,20410901,41,19700901,14,56,19700901
010373918C,2,1708PA,55,56,19721015,07,54,20501015,56,19701015,05,56,19701015
010374779C,2,1708PA,53,56,19721015,39,54,20211015,56,19701015,37,56,19701015
010374837C,2,1708PA,22,22,19721015,18,54,20421015,41,19701015,16,56,19701015
010374838C,2,1708PA,22,22,19721015,16,54,20441015,41,19701015,14,56,19701015
010376522C,2,1960PA,55,56,19721006,16,54,20591006,56,19701006,14,56,19701006
010376529C,2,1708PA,55,56,19721015,04,54,20561015,56,19701015,02,56,19701015
010376540C,2,1708PA,53,56,19721015,46,54,20111015,56,19701015,44,56,19701015
010377918C,2,1708PA,55,56,19721101,24,54,20331101,56,19701101,22,56,19701101
010378485C,2,1960PA,57,56,19721021,12,54,20251021,56,19701021,10,56,19701021
010378710C,2,1960PA,53,56,19721105,43,54,19941105,56,19701105,41,56,19701105
010378829C,2,1960PA,53,56,19721026,35,54,20021026,56,19701026,33,56,19701026
010379405C,6,1960PA,55,56,19721101,29,54,20461101,56,19701101,27,56,19701101
010380049C,2,1960PA,22,22,19721113,12,54,20631113,41,19701113,10,56,19701113
010380550C,2,1960PA,41,22,19721123,32,54,20051123,41,19701123,30,56,19701123
010380627C,2,1960PA,22,22,19721125,10,54,20271125,41,19701125,08,56,19701125
010381745C,2,1708PA,55,56,19730101,03,53,20550101,56,19710101,01,55,19710101
010382520C,3,1960PA,53,56,19730114,27,53,20110114,56,19710114,25,55,19710114
010382931C,2,1960PA,53,56,19730117,26,53,20500117,56,19710117,24,55,19710117
010385491C,2,1708PA,53,56,19730301,50,53,20110301,56,19710301,48,55,19710301
010385636C,2,1960PA,55,56,19730209,29,53,20470209,56,19710209,27,55,19710209
010388767C,2,1708PA,22,22,19730401,29,53,20290401,41,19710401,27,55,19710401
010389651C,2,1708PA,53,56,19730501,34,53,20240501,56,19710501,32,55,19710501
010389802C,2,1960PA,55,56,19730401,42,53,20340401,56,19710401,40,55,19710401
010390061C,2,1708PA,22,22,19730501,19,53,20420501,41,19710501,17,55,19710501
010391004C,2,1708PA,22,22,19730501,28,53,20330501,41,19710501,26,55,19710501
010391228C,2,1970PA,55,56,19730421,08,53,20500421,56,19710421,06,55,19710421
010391355C,2,1708PA,44,56,19730601,15,53,20430601,41,19710601,13,55,19710601
010391359C,2,280EPA,53,56,19730426,12,53,20260426,56,19710426,10,55,19710426
010391411C,2,1708PA,41,22,19730601,41,53,20200601,41,19710601,39,55,19710601
010391422C,2,1708PA,55,56,19730601,17,53,20410601,56,19710601,15,55,19710601
010391582C,2,1708PA,41,22,19730601,35,53,20230601,41,19710601,33,55,19710601
010391840C,2,1708PA,22,22,19730601,12,53,20490601,41,19710601,10,55,19710601
010391876C,2,1708PA,44,56,19730601,04,53,20570601,41,19710601,02,55,19710601
010391878C,2,1708PA,44,56,19730601,09,53,20520601,41,19710601,07,55,19710601
010391895C,2,1708PA,22,22,19730601,19,53,20420601,41,19710601,17,55,19710601
010392117C,2,1708PA,41,22,19730601,42,53,20190601,41,19710601,40,55,19710601
010392138C,2,1708PA,55,56,19730601,38,53,20200601,56,19710601,36,55,19710601
010392493C,2,1708PA,55,56,19730601,46,53,20150601,56,19710601,44,55,19710601
010392763C,2,1708PA,53,56,19730601,40,53,20180601,56,19710601,38,55,19710601
010392930C,2,1708PA,44,56,19730601,18,53,20430601,41,19710601,16,55,19710601
010393142C,2,1708PA,22,22,19730701,31,53,20300701,41,19710701,29,55,19710701
010393143C,2,1708PA,22,22,19730701,09,53,20490701,41,19710701,07,55,19710701
010393158C,2,1708PA,53,56,19730701,33,53,20280701,56,19710701,31,55,19710701
010393181C,2,1708PA,55,56,19730701,54,53,20070701,56,19710701,52,55,19710701
010393401C,2,1708PA,22,22,19730701,21,53,20370701,41,19710701,19,55,19710701
010393899C,2,1708PA,22,22,19730701,27,53,20310701,41,19710701,25,55,19710701
010393931C,2,1708PA,55,56,19730701,16,53,20450701,56,19710701,14,55,19710701
010394249C,2,1708PA,53,56,19730701,26,53,20320701,56,19710701,24,55,19710701
010394353C,2,1708PA,22,22,19730701,22,53,20360701,41,19710701,20,55,19710701
010394662C,2,1708PA,53,56,19730801,49,53,20090801,56,19710801,47,55,19710801
010395098C,2,1708PA,44,56,19730801,10,53,20510801,41,19710801,08,55,19710801
010395211C,2,1708PA,22,22,19730801,24,53,20370801,41,19710801,22,55,19710801
010395382C,2,1708PA,53,56,19730801,35,53,20230801,56,19710801,33,55,19710801
010395411C,2,1708PA,41,22,20230801,86,3,20250801,41,19710801,34,55,19710801
010395761C,2,1708PA,55,56,19730801,40,53,20210801,56,19710801,38,55,19710801
010395878C,2,1708PA,53,56,19730801,42,53,20160801,56,19710801,40,55,19710801
