SCOPE,MPOLICY,MPHASE,MPLAN,FIELD,BASELINE,CURRENT
PHASE1,9010143726C,1,221END,MLASTANN,65,64
PHASE1,9010148272C,1,221END,MLASTANN,65,64
PHASE1,9010148856C,1,221END,MLASTANN,65,64
PHASE1,9010149834C,1,221END,MLASTANN,65,64
PHASE1,9010150031C,1,221END,MLASTANN,65,64
PHASE1,9010150740C,1,221END,MLASTANN,65,64
PHASE1,9010150910C,1,221END,MLASTANN,65,64
PHASE1,9010154425C,1,221END,MLASTANN,65,64
PHASE1,9010157076C,1,221END,MLASTANN,64,63
PHASE1,9010158001C,1,221END,MLASTANN,64,63
PHASE1,9010161748C,1,221END,MLASTANN,64,63
PHASE1,9010171334C,1,222END,MLASTANN,64,63
PHASE1,9010185592C,1,222END,MLASTANN,63,62
PHASE1,9010235370C,1,280END,MLASTANN,61,60
PHASE1,9010264207C,1,280END,MLASTANN,60,59
PHASE1,9010300689C,1,1960PO,MLASTANN,58,57
PHASE1,9010310404C,1,1960PO,MLASTANN,57,56
PHASE1,9010331157C,1,196085,MLASTANN,57,56
PHASE1,9010331768C,1,1960PO,MLASTANN,57,56
PHASE1,9010335038C,1,196085,MLASTANN,57,56
PHASE1,9010335095C,1,2961ME,MLASTANN,57,56
PHASE1,9010346921C,1,280END,MLASTANN,57,56
PHASE1,9010348734C,1,196085,MLASTANN,56,55
PHASE1,9010350577C,1,1960PO,MLASTANN,56,55
PHASE1,9010360289C,1,17085M,MLASTANN,56,55
PHASE1,9010360290C,1,170858,MLASTANN,56,55
PHASE1,9010363098C,1,196085,MLASTANN,56,55
PHASE1,9010367131C,1,17085M,MLASTANN,56,55
PHASE1,9010367132C,1,170858,MLASTANN,56,55
PHASE1,9010367133C,1,17085M,MLASTANN,56,55
PHASE1,9010367438C,1,17085M,MLASTANN,56,55
PHASE1,9010367704C,1,17085M,MLASTANN,56,55
PHASE1,9010367705C,1,170858,MLASTANN,56,55
PHASE1,9010368703C,1,17085M,MLASTANN,56,55
PHASE1,9010371171C,1,17085M,MLASTANN,56,55
PHASE1,9010371356C,1,17085M,MLASTANN,56,55
PHASE1,9010373918C,1,17085M,MLASTANN,56,55
PHASE1,9010374779C,1,17085M,MLASTANN,56,55
PHASE1,9010374837C,1,170858,MLASTANN,56,55
PHASE1,9010374838C,1,170858,MLASTANN,56,55
PHASE1,9010376522C,1,1960PO,MLASTANN,56,55
PHASE1,9010376529C,1,170858,MLASTANN,56,55
PHASE1,9010376540C,1,17085M,MLASTANN,56,55
PHASE1,9010377918C,1,17085M,MLASTANN,56,55
PHASE1,9010378485C,1,196065,MLASTANN,56,55
PHASE1,9010378710C,1,196065,MLASTANN,56,55
PHASE1,9010378829C,1,196065,MLASTANN,56,55
PHASE1,9010378830C,1,1960PO,MLASTANN,56,55
PHASE1,9010379405C,1,1960PO,MLASTANN,56,55
PHASE1,9010380049C,1,1960PO,MLASTANN,56,55
PHASE1,9010380550C,1,196065,MLASTANN,56,55
PHASE1,9010380625C,1,196065,MLASTANN,56,55
PHASE1,9010380627C,1,196065,MLASTANN,56,55
PHASE1,9010380808C,1,1960PO,MLASTANN,56,55
PHASE1,9010381745C,1,17085M,MLASTANN,55,54
PHASE1,9010382426C,1,1960PO,MLASTANN,55,54
PHASE1,9010382520C,1,196065,MLASTANN,55,54
PHASE1,9010382931C,1,1960PO,MLASTANN,55,54
PHASE1,9010385491C,1,170858,MLASTANN,55,54
PHASE1,9010385636C,1,1960PO,MLASTANN,55,54
PHASE1,9010388767C,1,17085M,MLASTANN,55,54
PHASE1,9010389651C,1,17085M,MLASTANN,55,54
PHASE1,9010389802C,1,1960PO,MLASTANN,55,54
PHASE1,9010390061C,1,170858,MLASTANN,55,54
PHASE1,9010391004C,1,170858,MLASTANN,55,54
PHASE1,9010391228C,1,1970JB,MLASTANN,55,54
PHASE1,9010391359C,1,280END,MLASTANN,55,54
PHASE1,9010391411C,1,170858,MLASTANN,55,54
PHASE1,9010391422C,1,17085M,MLASTANN,55,54
PHASE1,9010391582C,1,17085M,MLASTANN,55,54
PHASE1,9010391679C,1,170858,MLASTANN,55,54
PHASE1,9010391840C,1,170858,MLASTANN,55,54
PHASE1,9010391841C,1,170858,MLASTANN,55,54
PHASE1,9010391895C,1,170858,MLASTANN,55,54
PHASE1,9010392117C,1,170858,MLASTANN,55,54
PHASE1,9010392138C,1,17085M,MLASTANN,55,54
PHASE1,9010392493C,1,170858,MLASTANN,55,54
PHASE1,9010392763C,1,17085M,MLASTANN,55,54
PHASE1,9010393142C,1,170858,MLASTANN,55,54
PHASE1,9010393143C,1,17085M,MLASTANN,55,54
PHASE1,9010393158C,1,170858,MLASTANN,55,54
PHASE1,9010393181C,1,170858,MLASTANN,55,54
PHASE1,9010393401C,1,17085M,MLASTANN,55,54
PHASE1,9010393899C,1,17085M,MLASTANN,55,54
PHASE1,9010393931C,1,170858,MLASTANN,55,54
PHASE1,9010394249C,1,17085M,MLASTANN,55,54
PHASE1,9010394353C,1,17085M,MLASTANN,55,54
PHASE1,9010394662C,1,17085M,MLASTANN,55,54
PHASE1,9010395211C,1,170858,MLASTANN,55,54
