POLICY_NUMBER,MPOLICY,CONTRACT_CODE,CONTRACT_REASON,PAID_UP_TYPE,CURRENT_KEY,PROPOSED_KEY,CURRENT_MSTATUS,PROPOSED_MSTATUS,EMITTED_MSTATUS,WOULD_CHANGE,PROPOSED_UNMAPPED
-------------,-------------,-------------,---------------,------------,ST_-------------_---------------,ST_-------------_---------------,,,,False,True
9010143726,010143726C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010148272,010148272C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010148856,010148856C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010149295,010149295C,A,,ET,ST_PUT_ET,ST_PUT_ET,44,44,44,False,False
9010157076,010157076C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010158001,010158001C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010161748,010161748C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010165095,010165095C,A,,RU,ST_PUT_RU,ST_PUT_RU,45,45,45,False,False
9010171334,010171334C,A,,PU,ST_PUT_PU,ST_PUT_PU,41,41,41,False,False
9010264207,010264207C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010310404,010310404C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010331768,010331768C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010346921,010346921C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010348734,010348734C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010350577,010350577C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010367131,010367131C,A,RS,,ST_A_RS,ST_A_RS,22,22,22,False,False
9010367132,010367132C,A,RS,,ST_A_RS,ST_A_RS,22,22,22,False,False
9010367133,010367133C,A,RS,,ST_A_RS,ST_A_RS,22,22,22,False,False
9010367704,010367704C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010371356,010371356C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010374099,010374099C,A,,ET,ST_PUT_ET,ST_PUT_ET,44,44,44,False,False
9010374837,010374837C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010374838,010374838C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010378830,010378830C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010379477,010379477C,A,,RU,ST_PUT_RU,ST_PUT_RU,45,45,45,False,False
9010379478,010379478C,A,,RU,ST_PUT_RU,ST_PUT_RU,45,45,45,False,False
9010380049,010380049C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010380550,010380550C,A,,PU,ST_PUT_PU,ST_PUT_PU,41,41,41,False,False
9010380627,010380627C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010380808,010380808C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010381516,010381516C,A,,RU,ST_PUT_RU,ST_PUT_RU,45,45,45,False,False
9010382426,010382426C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010382448,010382448C,A,,ET,ST_PUT_ET,ST_PUT_ET,44,44,44,False,False
9010388767,010388767C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010390061,010390061C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010390251,010390251C,A,,ET,ST_PUT_ET,ST_PUT_ET,44,44,44,False,False
9010391004,010391004C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010391355,010391355C,A,,ET,ST_PUT_ET,ST_PUT_ET,44,44,44,False,False
9010391411,010391411C,A,,PU,ST_PUT_PU,ST_PUT_PU,41,41,41,False,False
9010391582,010391582C,A,,PU,ST_PUT_PU,ST_PUT_PU,41,41,41,False,False
9010391679,010391679C,A,,,ST_A_,ST_A_,22,22,22,False,False
9010391840,010391840C,A,,,ST_A_,ST_A_,22,22,22,False,False
