Area,Table,Record,Problem,Current Value,Required Value,Type,Reference
Plan Values,Cash Values,130JEB / F / 00,The mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-001
Plan Values,Cash Values,130JEB / M / 00,The mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-001
Plan Values,Cash Values,1666AI / F / 00,The mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-001
Plan Values,Cash Values,1666AI / M / 00,The mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-001
Plan Values,Cash Values,1SALMI / M / 00,The mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-001
Plan Values,Cash Values,261PUA / F / 00,The mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-001
Plan Values,Cash Values,261PUA / M / 00,The mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-001
Plan Values,Cash Values,265PUA / F / 00,The mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-001
Plan Values,Cash Values,265PUA / M / 00,The mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-001
Plan Values,Cash Values,280PUA / F / 00,The mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-001
Plan Values,Cash Values,280PUA / M / 00,The mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-001
Plan Values,Cash Values,528CTR / M / 00,The mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-001
Plan Values,Cash Values,542STR / M / PR / 00,The mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-001
Plan Values,Cash Values,543CTR / M / PR / 00,The mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-001
Plan Values,Cash Values,560STR / M / 00,The mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-001
Plan Values,Cash Values,578CTR / M / SM / 00,The mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-001
Plan Values,Cash Values,578STR / F / SM / 00,The mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-001
Plan Values,Cash Values,578STR / M / SM / 00,The mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-001
Plan Values,Cash Values,57ATCR / M / SM / 00,The mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-001
Plan Values,Cash Values,5CDT10 / F / PR / 00,The mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-001
Plan Values,Cash Values,5CDT10 / M / PR / 00,The mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-001
Plan Values,Cash Values,719CDT / M / 00,The mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-001
Plan Values,Cash Values,719CTR / F / 00,The mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-001
Plan Values,Cash Values,719CTR / M / 00,The mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-001
Plan Values,Cash Values,719SDT / F / 00,The mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-001
Plan Values,Cash Values,719SDT / M / 00,The mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-001
Plan Values,Cash Values,7619PU / F / 00,The mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-001
Plan Values,Cash Values,7619PU / M / 00,The mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-001
Plan Values,Cash Values,7647SP / M / 00,The mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-001
Plan Values,Cash Values,7686S3 / F / NS / 00,The mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-001
Plan Values,Cash Values,7686S3 / M / NS / 00,The mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-001
Plan Values,Cash Values,7687J3 / F / NS / 00,The mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-001
Plan Values,Cash Values,7687J3 / M / NS / 00,The mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-001
Plan Values,Cash Values,7690DT / F / 00,The mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-001
Plan Values,Cash Values,7690DT / M / 00,The mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-001
Plan Values,Cash Values,778FTR / M / PR / 00,The mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-001
Plan Values,Cash Values,7SDT10 / F / PR / 00,The mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-001
Plan Values,Cash Values,7SDT10 / M / PR / 00,The mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-001
Plan Values,Cash Values,901ADB / F / PR / 00,The mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-001
Plan Values,Cash Values,901ADB / M / PR / 00,The mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-001
Plan Values,Cash Values,9065WP / F / 00,The mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-001
Plan Values,Cash Values,9065WP / M / 00,The mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-001
Plan Values,Cash Values,9085WP / F / 00,The mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-001
Plan Values,Cash Values,9085WP / M / 00,The mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-001
Plan Values,Cash Values,90OLWP / F / 00,The mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-001
Plan Values,Cash Values,90OLWP / M / 00,The mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-001
Plan Values,Cash Values,90PDTH / M / 00,The mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-001
Plan Values,Cash Values,90POWP / M / 00,The mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-001
Plan Values,Cash Values,910RWP / F / NS / 00,The mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-001
Plan Values,Cash Values,910RWP / M / NS / 00,The mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-001
Plan Values,Cash Values,910SWP / M / PR / 00,The mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-001
Plan Values,Cash Values,920ADB / M / 00,The mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-001
Plan Values,Cash Values,934JWP / M / NS / 00,The mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-001
Plan Values,Cash Values,934SWP / F / NS / 00,The mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-001
Plan Values,Cash Values,934SWP / M / NS / 00,The mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-001
Plan Values,Cash Values,943CWP / M / SM / 00,The mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-001
Plan Values,Cash Values,9595WP / F / SM / 00,The mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-001
Plan Values,Cash Values,9595WP / M / SM / 00,The mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-001
Plan Values,Cash Values,960ADB / F / 00,The mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-001
Plan Values,Cash Values,960ADB / M / 00,The mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-001
Plan Values,Cash Values,960CWP / M / 00,The mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-001
Plan Values,Cash Values,960GIO / M / 00,The mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-001
Plan Values,Cash Values,960SWP / F / 00,The mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-001
Plan Values,Cash Values,960SWP / M / 00,The mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-001
Plan Values,Cash Values,965ADB / F / 00,The mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-001
Plan Values,Cash Values,965ADB / M / 00,The mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-001
Plan Values,Cash Values,9665WP / F / 00,The mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-001
Plan Values,Cash Values,9665WP / M / 00,The mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-001
Plan Values,Cash Values,967ADB / M / SM / 00,The mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-001
Plan Values,Cash Values,976659 / F / NS / 00,The mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-001
Plan Values,Cash Values,976659 / M / NS / 00,The mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-001
Plan Values,Cash Values,977ADB / M / SM / 00,The mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-001
Plan Values,Cash Values,980JPO / M / SM / 00,The mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-001
Plan Values,Cash Values,982JPO / M / SM / 00,The mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-001
Plan Values,Cash Values,9896WP / F / 00,The mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-001
Plan Values,Cash Values,9896WP / M / 00,The mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-001
Plan Values,Cash Values,996ADB / F / PR / 00,The mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-001
Plan Values,Cash Values,996ADB / M / PR / 00,The mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-001
Plan Values,Cash Values,9ADB10 / F / PR / 00,The mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-001
Plan Values,Cash Values,9ADB10 / M / PR / 00,The mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-001
Plan Values,Cash Values,9CDTWP / M / PR / 00,The mortality table was not found in Mortality Table Setup.,,A mortality table defined in Mortality Table Setup,Data Problem,DG-PLANVALUES-001
