POLICY_NUMBER,MLOANDATE_MISSING,MLOANIDT_MISSING,SEVERITY,ACCRUAL_DATE,LAST_REPAY_DATE,CAPITALIZED_DATE
9010381745,False,True,MEDIUM,20200121,0,0
9010391876,False,True,MEDIUM,20090901,0,0
9010787668,False,True,MEDIUM,20200317,0,0
9010813414,False,True,MEDIUM,20170924,0,0
9010814167,False,True,MEDIUM,20231008,0,0
9010834414,False,True,MEDIUM,20210626,0,0
9010851847,False,True,MEDIUM,20191007,0,0
9011100907,False,True,MEDIUM,20200101,0,0
9011105385,False,True,MEDIUM,20190115,0,0
9011190668,True,True,HIGH,0,0,0
9011209469,False,True,MEDIUM,20190417,0,0
9011261640,False,True,MEDIUM,20260215,0,0
