SOURCE_POLICY,MPOLICY,CROSSWALK_STATUS,PLAN_CODE,QLA_PLAN,LOAN_BALANCE,MLOANPRIN_SOURCE,MLOANINT_SCALE_NOTE,MLOANINTX_SOURCE,MLOANINTX_RAW_QUIKPLAN,MLOANIDT_SOURCE,INTEREST_TYPE,INT_METHOD,BALANCE_CLASS,MLOANPRIN,MLOANBAL,MLOANINT,MLOANINTX,MLOANIDT,MLOANDATE,MLOANACCR,MLOANBILL
9010300689,010300689C,CROSSWALK_APPLIED,960 PO,1960PO,0.00,LOAN_BALANCE,AS_PERCENT,default,22,ACCRUAL_DATE,F,D,ZERO_BALANCE_HOLD,0.00,0.00,5.00,A,20100801,20100801,0.00,0.00
9010310404,010310404C,CROSSWALK_APPLIED,960 PO,1960PO,0.00,LOAN_BALANCE,AS_PERCENT,default,22,ACCRUAL_DATE,F,D,ZERO_BALANCE_HOLD,0.00,0.00,5.00,A,20131216,20131216,0.00,0.00
9010331768,010331768C,CROSSWALK_APPLIED,960 PO,1960PO,3707.11,LOAN_BALANCE,AS_PERCENT,default,22,ACCRUAL_DATE,F,D,ACTIVE_CANDIDATE,3707.11,3707.11,5.00,A,20250725,20250725,0.00,0.00
9010346921,010346921C,CROSSWALK_APPLIED,980 END65,280END,1452.76,LOAN_BALANCE,AS_PERCENT,default,22,ACCRUAL_DATE,F,D,ACTIVE_CANDIDATE,1452.76,1452.76,5.00,A,20251230,20251230,0.00,0.00
9010363098,010363098C,CROSSWALK_APPLIED,960 LP85-M,196085,0.08,LOAN_BALANCE,AS_PERCENT,default,22,ACCRUAL_DATE,F,D,ACTIVE_CANDIDATE,0.08,0.08,5.00,A,20181005,20181005,0.00,0.00
9010367438,010367438C,CROSSWALK_APPLIED,670 GL85-M,17085M,0.00,LOAN_BALANCE,AS_PERCENT,default,22,ACCRUAL_DATE,F,D,ZERO_BALANCE_HOLD,0.00,0.00,5.00,A,20211110,20211110,0.00,0.00
9010374099,010374099C,CROSSWALK_APPLIED,960 PO,1960PO,0.00,LOAN_BALANCE,AS_PERCENT,default,22,ACCRUAL_DATE,F,D,ZERO_BALANCE_HOLD,0.00,0.00,5.00,A,20090921,20090921,0.00,0.00
9010376522,010376522C,CROSSWALK_APPLIED,960 PO,1960PO,0.00,LOAN_BALANCE,AS_PERCENT,default,22,ACCRUAL_DATE,F,D,ZERO_BALANCE_HOLD,0.00,0.00,5.00,A,20211006,20211006,0.00,0.00
9010376529,010376529C,CROSSWALK_APPLIED,670 GL85-8,170858,0.00,LOAN_BALANCE,AS_PERCENT,default,22,ACCRUAL_DATE,F,D,ZERO_BALANCE_HOLD,0.00,0.00,5.00,A,20190614,20190614,0.00,0.00
9010377918,010377918C,CROSSWALK_APPLIED,670 GL85-M,17085M,0.00,LOAN_BALANCE,AS_PERCENT,default,22,ACCRUAL_DATE,F,D,ZERO_BALANCE_HOLD,0.00,0.00,5.00,A,20031106,20031106,0.00,0.00
9010378485,010378485C,CROSSWALK_APPLIED,960 LP65,196065,0.00,LOAN_BALANCE,AS_PERCENT,default,22,ACCRUAL_DATE,F,D,ZERO_BALANCE_HOLD,0.00,0.00,5.00,A,20171021,20171021,0.00,0.00
9010380049,010380049C,CROSSWALK_APPLIED,960 PO,1960PO,5299.98,LOAN_BALANCE,AS_PERCENT,default,22,ACCRUAL_DATE,F,D,ACTIVE_CANDIDATE,5299.98,5299.98,5.00,A,20251113,20251113,0.00,0.00
9010380627,010380627C,CROSSWALK_APPLIED,960 LP65,196065,157.65,LOAN_BALANCE,AS_PERCENT,default,22,ACCRUAL_DATE,F,D,ACTIVE_CANDIDATE,157.65,157.65,5.00,A,20251125,20251125,0.00,0.00
9010381745,010381745C,CROSSWALK_APPLIED,670 GL85-M,17085M,7199.96,LOAN_BALANCE,AS_PERCENT,default,22,ACCRUAL_DATE,F,D,ACTIVE_CANDIDATE,7199.96,7199.96,5.00,A,20200121,20200121,0.00,0.00
9010382426,010382426C,CROSSWALK_APPLIED,960 PO,1960PO,2722.38,LOAN_BALANCE,AS_PERCENT,default,22,ACCRUAL_DATE,F,D,ACTIVE_CANDIDATE,2722.38,2722.38,5.00,A,20260227,20260227,0.00,0.00
9010382520,010382520C,CROSSWALK_APPLIED,960 LP65,196065,0.00,LOAN_BALANCE,AS_PERCENT,default,22,ACCRUAL_DATE,F,D,ZERO_BALANCE_HOLD,0.00,0.00,5.00,A,20110114,20110114,0.00,0.00
9010382931,010382931C,CROSSWALK_APPLIED,960 PO,1960PO,0.00,LOAN_BALANCE,AS_PERCENT,default,22,ACCRUAL_DATE,F,D,ZERO_BALANCE_HOLD,0.00,0.00,5.00,A,20220210,20220210,0.00,0.00
9010385636,010385636C,CROSSWALK_APPLIED,960 PO,1960PO,0.00,LOAN_BALANCE,AS_PERCENT,default,22,ACCRUAL_DATE,F,D,ZERO_BALANCE_HOLD,0.00,0.00,5.00,A,20180507,20180507,0.00,0.00
9010391004,010391004C,CROSSWALK_APPLIED,670 GL85-8,170858,4621.16,LOAN_BALANCE,AS_PERCENT,default,22,ACCRUAL_DATE,F,D,ACTIVE_CANDIDATE,4621.16,4621.16,5.00,A,20260520,20260520,0.00,0.00
9010391228,010391228C,CROSSWALK_APPLIED,970 JEB,1970JB,0.00,LOAN_BALANCE,AS_PERCENT,default,22,ACCRUAL_DATE,F,D,ZERO_BALANCE_HOLD,0.00,0.00,5.00,A,20240319,20240319,0.00,0.00
