Old_Value,New_Value
9010143726,010143726C
9010148272,010148272C
9010148856,010148856C
9010149295,010149295C
9010149834,010149834C
9010150031,010150031C
9010150740,010150740C
9010150910,010150910C
9010154425,010154425C
9010157076,010157076C
9010158001,010158001C
9010161748,010161748C
9010165095,010165095C
9010171334,010171334C
9010185592,010185592C
9010235370,010235370C
9010264207,010264207C
9010300689,010300689C
9010310404,010310404C
9010331157,010331157C
9010331768,010331768C
9010335038,010335038C
9010335095,010335095C
9010346921,010346921C
9010348734,010348734C
9010350577,010350577C
9010360289,010360289C
9010360290,010360290C
9010363098,010363098C
9010367131,010367131C
9010367132,010367132C
9010367133,010367133C
9010367438,010367438C
9010367704,010367704C
9010367705,010367705C
9010368703,010368703C
9010371171,010371171C
9010371356,010371356C
9010373918,010373918C
9010374099,010374099C
9010374779,010374779C
9010374837,010374837C
9010374838,010374838C
9010376522,010376522C
9010376529,010376529C
9010376540,010376540C
9010377918,010377918C
9010378485,010378485C
9010378710,010378710C
9010378829,010378829C
9010378830,010378830C
9010379405,010379405C
9010379477,010379477C
9010379478,010379478C
9010380049,010380049C
9010380550,010380550C
9010380625,010380625C
9010380627,010380627C
9010380808,010380808C
9010381516,010381516C
9010381745,010381745C
9010382426,010382426C
9010382448,010382448C
9010382520,010382520C
9010382931,010382931C
9010385491,010385491C
9010385636,010385636C
9010388767,010388767C
9010389651,010389651C
9010389802,010389802C
9010390061,010390061C
9010390251,010390251C
9010391004,010391004C
9010391228,010391228C
9010391355,010391355C
9010391359,010391359C
9010391411,010391411C
9010391422,010391422C
9010391582,010391582C
9010391679,010391679C
9010391840,010391840C
9010391841,010391841C
9010391876,010391876C
9010391878,010391878C
9010391895,010391895C
9010392117,010392117C
9010392138,010392138C
9010392493,010392493C
9010392763,010392763C
9010392930,010392930C
9010393142,010393142C
9010393143,010393143C
9010393158,010393158C
9010393181,010393181C
9010393401,010393401C
9010393899,010393899C
9010393931,010393931C
9010394249,010394249C
9010394353,010394353C
9010394662,010394662C
9010395098,010395098C
9010395211,010395211C
9010395382,010395382C
9010395411,010395411C
9010395761,010395761C
9010395878,010395878C
9010395879,010395879C
9010396147,010396147C
9010396186,010396186C
9010396425,010396425C
9010397118,010397118C
9010397318,010397318C
9010397493,010397493C
9010397528,010397528C
9010397583,010397583C
9010397945,010397945C
9010398274,010398274C
9010398471,010398471C
9010398475,010398475C
9010398591,010398591C
9010399927,010399927C
9010400462,010400462C
9010401087,010401087C
9010401181,010401181C
9010401210,010401210C
9010401534,010401534C
9010401565,010401565C
9010402010,010402010C
9010402014,010402014C
9010402060,010402060C
9010402061,010402061C
9010402105,010402105C
9010402899,010402899C
9010403109,010403109C
9010403117,010403117C
9010403222,010403222C
9010403516,010403516C
9010403789,010403789C
9010403872,010403872C
9010403916,010403916C
9010403922,010403922C
9010404600,010404600C
9010404602,010404602C
9010404604,010404604C
9010404605,010404605C
9010404857,010404857C
9010405175,010405175C
9010405440,010405440C
9010405642,010405642C
9010405802,010405802C
9010405858,010405858C
9010406576,010406576C
9010406795,010406795C
9010406962,010406962C
9010407023,010407023C
9010407237,010407237C
9010407533,010407533C
9010407534,010407534C
9010407670,010407670C
9010407925,010407925C
9010408371,010408371C
9010410566,010410566C
9010410616,010410616C
9010410714,010410714C
9010411499,010411499C
9010411577,010411577C
9010411727,010411727C
9010411920,010411920C
9010412522,010412522C
9010412525,010412525C
9010412526,010412526C
9010412640,010412640C
9010412641,010412641C
9010413417,010413417C
9010413421,010413421C
9010413628,010413628C
9010413745,010413745C
9010414235,010414235C
9010415834,010415834C
9010417200,010417200C
9010417838,010417838C
9010418088,010418088C
9010418562,010418562C
9010419054,010419054C
9010420853,010420853C
9010420983,010420983C
9010422033,010422033C
9010422221,010422221C
9010422417,010422417C
9010422722,010422722C
9010422977,010422977C
9010423540,010423540C
9010424185,010424185C
9010424798,010424798C
9010425718,010425718C
