lifepro_coverage_id,ql_plan_code,ql_form_number,ql_plan_description,ql_friendly_name,authority_source,mapping_status,crosswalk_ql_plan_code,crosswalk_ql_form_number,crosswalk_ql_plan_description,crosswalk_ql_friendly_name,governance_notes
0822 620,920ADB,0822,Accidental Death Benefit,Accidental Death Benefit,STABLE_MASTER_CROSSWALK_EMIT,STABLE_EMIT,920ADB,0822 620,Accidental Death Benefit,Accidental DB - 621 END85,Catalog seeded from stable emit
0822 665,965ADB,0822,Accidental Death Benefit,Accidental Death Benefit,STABLE_MASTER_CROSSWALK_EMIT,STABLE_EMIT,965ADB,0822 665,Accidental Death Benefit,Accidental DB - 665 STME95,Catalog seeded from stable emit
0822 960,960ADB,0822,Accidental Death Benefit,Accidental Death Benefit,STABLE_MASTER_CROSSWALK_EMIT,STABLE_EMIT,960ADB,0822 960,Accidental Death Benefit,"Accidental DB - 960 LP85-M, 960 OL",Catalog seeded from stable emit
0822 960PO,9POADB,0822,Accidental Death Benefit,Accidental Death Benefit,STABLE_MASTER_CROSSWALK_EMIT,STABLE_EMIT,9POADB,0822 960PO,Accidental Death Benefit,Accidental Death Benefit - 960 PO,Catalog seeded from stable emit
0823 665,9665WP,0823,Waiver of Premium,Waiver of Premium,STABLE_MASTER_CROSSWALK_EMIT,STABLE_EMIT,9665WP,0823 665,Waiver of Premium,Waiver of Prem - 665 STME95,Catalog seeded from stable emit
0823 896,9896WP,0823,Waiver of Premium,Waiver of Premium,STABLE_MASTER_CROSSWALK_EMIT,STABLE_EMIT,9896WP,0823 896,Waiver of Premium,Waiver of Premium - 665 STME95,Catalog seeded from stable emit
0823 96085,9085WP,0823,Waiver of Premium - LPU at 85/88,Waiver of Premium - LPU at 85/88,STABLE_MASTER_CROSSWALK_EMIT,STABLE_EMIT,9085WP,0823 96085,Waiver of Premium - LPU at 85/88,Waiver of Premium - 960 LP85-M,Catalog seeded from stable emit
0823 960CH,0823 960CH,0823,Waiver of Premium - Child,Waiver of Premium - Child,STABLE_MASTER_CROSSWALK_EMIT,CROSSWALK_DIVERGENT,960CWP,0823 960CH,Waiver of Premium - Child,Waiver of Premium - Child,Catalog seeded from stable emit; crosswalk proposes PLAN=960CWP
0823 960LP,9065WP,0823,Waiver of Premium,Waiver of Premium,STABLE_MASTER_CROSSWALK_EMIT,STABLE_EMIT,9065WP,0823 960LP,Waiver of Premium,Waiver of Premium - 960 LP65,Catalog seeded from stable emit
0823 960OL,90OLWP,0823,Waiver of Premium,Waiver of Premium,STABLE_MASTER_CROSSWALK_EMIT,STABLE_EMIT,90OLWP,0823 960OL,Waiver of Premium,Waiver of Premium - 960 OL,Catalog seeded from stable emit
0823 960PO,90POWP,0823,Waiver of Premium,Waiver of Premium,STABLE_MASTER_CROSSWALK_EMIT,STABLE_EMIT,90POWP,0823 960PO,Waiver of Premium,Waiver of Premium - 960 PO,Catalog seeded from stable emit
0823 960SP,960SWP,0823,Waiver of Premium - Spouse,Waiver of Premium - Spouse,STABLE_MASTER_CROSSWALK_EMIT,STABLE_EMIT,960SWP,0823 960SP,Waiver of Premium - Spouse,"Spouse Waiv of Prem - 960 LP85-M, 960 PO",Catalog seeded from stable emit
0824 P DIS,0824 P DIS,0824,& Payor Disability Rider,& Payor Disability Rider,STABLE_MASTER_CROSSWALK_EMIT,CROSSWALK_DIVERGENT,94PDIS,0824 P DIS,& Payor Disability Rider,& Payor Disability Rider,Catalog seeded from stable emit; crosswalk proposes PLAN=94PDIS
0824 P DTH,90PDTH,0824,Payor Death,Payor Death,STABLE_MASTER_CROSSWALK_EMIT,STABLE_EMIT,90PDTH,0824 P DTH,Payor Death,Payor Death - 960 OL,Catalog seeded from stable emit
10827 CSI3,17CSI3,10827,CSI Life $3000,CSI Life $3000,STABLE_MASTER_CROSSWALK_EMIT,STABLE_EMIT,17CSI3,10827 CSI3,CSI Life $3000,Graded Death Benefit WL - 100% after Yr2,Catalog seeded from stable emit
10827 CSI5,17CSI5,10827,CSI Life $5000,CSI Life $5000,STABLE_MASTER_CROSSWALK_EMIT,STABLE_EMIT,17CSI5,10827 CSI5,CSI Life $5000,Graded Death Benefit WL - 100% after Yr2,Catalog seeded from stable emit
10827 CSI7,17CSI7,10827,CSI Life $7500,CSI Life $7500,STABLE_MASTER_CROSSWALK_EMIT,STABLE_EMIT,17CSI7,10827 CSI7,CSI Life $7500,Graded Death Benefit WL - 100% after Yr2,Catalog seeded from stable emit
