LIFEPRO_COVERAGE_ID,QL_PLAN,ANNL,SEMI,QTRL,MTHD,MTHB
L17 1,10L171,100.0000,50.0000,25.0035,8.3298,8.3298
L17 2+,10L172,100.0000,50.0000,25.0035,8.3298,8.3298
L17 1 JPO,117JPO,100.0000,50.0000,25.0035,8.3298,8.3298
658 CEN I,1658C1,100.0000,52.5047,27.0032,9.1987,8.7971
658 CEN SD,1658CS,100.0000,52.5031,27.0001,9.2000,9.2000
659 CEN II,1659C2,100.0000,52.5000,27.0000,9.1999,8.8018
659 CEN SR,1659CR,100.0000,52.5017,27.0007,9.1997,8.7966
659 CEN SD,1659CS,100.0000,52.5016,26.9974,9.1996,9.2013
659 SR GD,1659SR,100.0000,52.5017,27.0007,8.8030,8.8030
960 65 PUA,165PUA,100.0000,52.0039,26.4956,9.0030,8.6960
897 666,1666AI,100.0000,52.0056,26.5077,9.0042,9.0042
666 WL,1666WL,100.0000,52.0056,26.5077,9.0042,9.0042
668 SPWL,1668SP,100.0000,52.5017,27.0007,9.1997,8.7966
679 CEN SD,1679CS,100.0000,52.5017,27.0007,9.1997,8.7966
670 GL8588,170588,100.0000,52.0000,26.5000,9.0000,8.3333
670 GL85-8,170858,100.0000,52.0000,26.5000,9.0000,8.3333
670 GL85-M,17085M,100.0000,52.0000,26.5000,9.0000,8.3333
670 PUA,170PUA,100.0000,52.0000,26.5000,9.0000,8.3333
10827 CSI3,17CSI3,100.0000,50.0000,25.0026,8.3307,8.3307
10827 CSI5,17CSI5,100.0000,50.0021,24.9989,8.3344,8.3344
10827 CSI7,17CSI7,100.0000,50.0000,24.9980,8.3327,8.3327
L17 2+ JPO,17MJPO,100.0000,50.0000,25.0035,8.3298,8.3298
960 LP PUA,185PUA,100.0000,52.0039,26.4956,9.0030,8.6960
960 LP65,196065,100.0000,51.9988,26.5028,9.0021,8.6957
960 LP85-M,196085,100.0000,51.9988,26.5022,9.0030,8.6960
960 OL,1960OL,100.0000,52.0039,26.4956,9.0030,8.6960
960 PO,1960PO,100.0000,52.0000,26.5000,9.0000,8.7019
991 PWL,1991PL,100.0000,52.0039,26.4956,9.0030,8.6960
L10 LP95,1L1095,100.0000,50.0000,25.0035,8.3298,8.3298
L10 SR OLD,1L10SO,100.0000,50.0000,25.0016,8.3328,8.3328
L10 LP95SR,1L10SR,100.0000,50.0000,25.0000,8.3333,8.3333
L14,1L14SC,100.0000,50.0000,25.0000,8.3333,8.3333
960 OL PUA,1OLPUA,100.0000,52.0039,26.4956,9.0030,8.6960
960 PO PUA,1POPUA,100.0000,52.0039,26.4956,9.0030,8.6960
SAL MULTPL,1SALMI,100.0000,62.8866,37.8866,12.8866,12.8866
SAL ML,1SALML,100.0000,62.8866,37.8866,12.8866,12.8866
SAL OL,1SALOL,100.0000,54.9603,29.9603,4.9603,4.9603
621 END85,221END,100.0000,51.0140,26.0010,8.9964,8.9989
622 END85,222END,100.0000,51.0140,26.0010,8.9964,8.9989
665 PUA,265PUA,100.0000,52.0025,26.4963,9.0001,9.0001
665 STME95,2665ST,100.0000,52.0025,26.4963,9.0001,9.0001
980 END65,280END,100.0000,51.9979,26.4995,9.0015,8.7113
980 PUA,280PUA,100.0000,51.9979,26.4995,9.0015,8.7113
828,528CTR,100.0000,51.9988,26.5028,9.0021,8.6957
8042 STR,542STR,100.0000,52.5047,27.0032,9.1987,8.7971
8043 CTR,543CTR,100.0000,52.5047,27.0032,9.1987,8.7971
826,560STR,100.0000,51.9988,26.5022,9.0030,8.6960
667 ART,5667AT,100.0000,52.5000,27.0000,9.2002,8.8007
1578 CTR,578CTR,100.0000,52.5047,27.0032,9.1987,8.7971
L10 CDT,5CDT10,100.0000,50.0000,25.0035,8.3298,8.3298
L01 10Y LT,5L0110,100.0000,52.4993,26.9994,9.1999,8.7999
L05 10Y LT,5L0510,100.0000,52.5000,27.0000,9.2000,8.8002
L07 5Y LT,5L075Y,100.0000,52.5000,27.0000,9.1998,9.1998
619 DT CH,719CDT,100.0000,50.0000,25.0000,9.0000,8.3333
619 DT SP,719SDT,100.0000,50.0000,25.0000,9.0000,8.3333
619 DT,7619DT,100.0000,50.0000,25.0000,9.0000,8.3333
619 SPS PU,7619PU,100.0000,50.0000,25.0000,9.0000,8.3333
647 FLP CH,7647CH,100.0000,50.0000,25.0000,8.3269,8.3269
647 FLP,7647FP,100.0000,50.0000,25.0000,8.3269,8.3269
647 FLP SP,7647SP,100.0000,50.0000,25.0000,8.3269,8.3269
1578 FTR,778FTR,100.0000,52.5047,27.0032,9.1987,8.7971
L10 SDT,7SDT10,100.0000,50.0000,25.0035,8.3298,8.3298
1596 L01,901ADB,100.0000,52.4993,26.9994,9.1999,8.7999
0823 960LP,9065WP,100.0000,51.9988,26.5028,9.0021,8.6957
0823 96085,9085WP,100.0000,51.9988,26.5028,9.0021,8.6957
0823 960OL,90OLWP,100.0000,51.9988,26.5028,9.0021,8.6957
0824 P DTH,90PDTH,100.0000,52.0039,26.4956,9.0030,8.6960
0823 960PO,90POWP,100.0000,51.9988,26.5028,9.0021,8.6957
0822 620,920ADB,100.0000,51.0140,26.0010,8.9964,8.9989
1595,9595WP,100.0000,52.5000,27.0000,9.2002,8.8007
0822 960,960ADB,100.0000,51.9988,26.5028,9.0021,8.6957
889 960,960GIO,100.0000,51.9988,26.5028,9.0021,8.6957
0823 960SP,960SWP,100.0000,51.9988,26.5028,9.0021,8.6957
0822 665,965ADB,100.0000,52.0025,26.4963,9.0001,9.0001
0823 665,9665WP,100.0000,52.0025,26.4963,9.0001,9.0001
1576 658,976658,100.0000,52.5000,27.0000,9.1999,8.8018
1576 659,976659,100.0000,52.5000,27.0000,9.1999,8.8018
1577 ADB,977ADB,100.0000,52.5000,27.0000,9.1999,8.8018
1580 JPO,980JPO,100.0000,52.5000,27.0000,9.1999,8.8018
8286 GI 2+,982JPO,100.0000,50.0000,25.0035,8.3298,8.3298
8286 GI 1,986JPO,100.0000,50.0000,25.0035,8.3298,8.3298
0823 896,9896WP,100.0000,52.0025,26.4963,9.0001,9.0001
1596,996ADB,100.0000,52.5000,27.0000,9.2000,8.8002
L10 ADB,9ADB10,100.0000,50.0000,25.0035,8.3298,8.3298
L15 ADB,9ADB15,100.0000,50.0000,25.0035,8.3298,8.3298
L10 WP CDT,9CDTWP,100.0000,50.0000,25.0035,8.3298,8.3298
1578CTR WP,9CTRWP,100.0000,52.5000,27.0000,9.1999,8.8018
1578FTR WP,9FTRWP,100.0000,52.5000,27.0000,9.1999,8.8018
L10 GPO,9GPO10,100.0000,50.0000,25.0035,8.3298,8.3298
L10 JPO,9JPO10,100.0000,50.0000,25.0035,8.3298,8.3298
8115 L01,9L01WP,100.0000,52.4993,26.9994,9.1999,8.7999
8115,9L05WP,100.0000,52.4993,26.9994,9.1999,8.7999
L10 WP OLD,9OLDWP,100.0000,50.0000,25.0035,8.3298,8.3298
0822 960PO,9POADB,100.0000,51.9988,26.5028,9.0021,8.6957
SAL ADB,9SLADB,100.0000,62.8866,37.8866,12.8866,12.8866
8042STR WP,9STRWP,100.0000,52.5000,27.0000,9.1999,8.8018
L10 WP,9WPL10,100.0000,50.0000,25.0035,8.3298,8.3298
863,A60MIR,100.0000,51.9988,26.5028,9.0021,8.6957
896 DAR,A96DAR,100.0000,52.0025,26.4963,9.0001,9.0001
L15,1L15GD,100.0000,50.0000,25.0000,8.3333,8.3333
L16,1L16GD,100.0000,50.0000,25.0035,8.3298,8.3298
L16POLFEE,9L16PF,100.0000,50.0000,25.0035,8.3298,8.3298
L17 BASE,1L17SP,100.0000,50.0000,25.0035,8.3298,8.3298
0823 960CH,960CWP,100.0000,51.9988,26.5028,9.0021,8.6957
0824 P DIS,94PDIS,100.0000,51.9988,26.5028,9.0021,8.6957
10827 MN5K,1CSIMN,100.0000,50.0000,25.0026,8.3307,8.3307
1578 SPSPU,578STR,100.0000,52.5000,27.0000,9.1999,8.8018
1579 GPO,9GPO79,100.0000,52.5000,27.0000,9.1999,8.8018
1596 667,967ADB,100.0000,52.5000,27.0000,9.2002,8.8007
619 CH PU,719CTR,100.0000,50.0000,25.0000,9.0000,8.3333
621 PUA,121PUA,100.0000,51.0140,26.0010,8.9964,8.9989
630 JEB,130JEB,100.0000,51.0140,26.0010,8.9964,8.9989
646 ART,5646AT,100.0000,52.5000,27.0000,9.2002,8.8007
667 ART CR,57ATCR,100.0000,52.5000,27.0000,9.2002,8.8007
669 SR GD,1669SR,100.0000,52.5017,27.0007,9.1997,8.7966
686S 30MRG,7686S3,100.0000,52.5017,27.0007,9.1997,8.7966
687J 30MRG,7687J3,100.0000,52.5017,27.0007,9.1997,8.7966
690 DT 65,7690DT,100.0000,51.9988,26.5028,9.0021,8.6957
8034 30MRG,934SWP,100.0000,51.9988,26.5028,9.0021,8.6957
8034 J30MT,934JWP,100.0000,51.9988,26.5028,9.0021,8.6957
8043CTR WP,943CWP,100.0000,51.9988,26.5028,9.0021,8.6957
8046 JPO,9JPO46,100.0000,51.9988,26.5028,9.0021,8.6957
961 ME65,2961ME,100.0000,51.9988,26.5028,9.0021,8.6957
961 PUA,261PUA,100.0000,51.9988,26.5028,9.0021,8.6957
970 JEB,1970JB,100.0000,51.9988,26.5028,9.0021,8.6957
970 PUA,1970PA,100.0000,51.9988,26.5028,9.0021,8.6957
L01 10Y MA,5L01MA,100.0000,52.4993,26.9994,9.1999,8.7999
L10 PRE97,1L10OD,100.0000,50.0000,25.0000,8.3345,8.3345
L10 PREUNI,1L10PR,100.0000,50.0000,25.0035,8.3298,8.3298
L10 SPSWP,910SWP,100.0000,50.0000,25.0035,8.3298,8.3298
L10 WP SRN,910RWP,100.0000,50.0000,25.0035,8.3298,8.3298
WP 646,9WP646,100.0000,50.0000,25.0035,8.3298,8.3298
DISCHO20 B,9DIS20,100.0000,52.5017,27.0007,9.1997,8.7966
DISCHO2475,9DIS24,100.0000,52.5017,27.0007,9.1997,8.7966
DISCHO247B,9DS24B,100.0000,52.5017,27.0007,9.1997,8.7966
DISCHO247C,9DS24C,100.0000,52.5017,27.0007,9.1997,8.7966
DISCHO25,9DIS25,100.0000,52.5017,27.0007,9.1997,8.7966
DISCHO29,9DIS29,100.0000,52.5017,27.0007,9.1997,8.7966
DISCHO70,9DIS70,100.0000,52.5017,27.0007,9.1997,8.7966
DISCHO80,9DIS80,100.0000,52.5017,27.0007,9.1997,8.7966
DISCHO90,9DIS90,100.0000,52.5017,27.0007,9.1997,8.7966
