Source_Code,QLA_Result
BF_1,1
BF_DIR,1
BF_2,2
BF_PAC,2
BF_ACH,2
BF_3,3
BF_GRP,3
BF_4,4
BF_APL,4
BF_A,A
BF_C,C
BF_X,X
PM_1,01
PM_3,03
PM_6,06
PM_12,12
PM_13,13
PM_24,24
PM_26,26
PM_52,52
A,22
D,53
L,54
S,55
P,41
W,32
T,56
RU,21
IN,INSD
PO,OWNR
PA,PAYR
AS,ASGN
B1,BENP
B2,BENC
PE,BENP
BK,BANK
SA,SERV
ML,MAIL
GU,GUAR
TR,TRST
WA,WAIT
GP,GRUP
CU,CUST
JE,JOIN
P1,P1
O1,O1
PW,PW
TRUE,T
FALSE,F
N,T
Y,F
DV_0,0
DV_1,1
DV_2,2
DV_3,3
DV_4,4
DV_5,5
DV_6,0
DV_7,0
DV_8,0
DV_9,0
NFO_APL,1
NFO_API,1
NFO_ETI,2
NFO_ET,2
NFO_RPU,3
NFO_RU,3
NFO_4,0
NFO_5,0
NFO_NONE,0
NFO_BLANK,0
NFO_,0
NFO_PU,0
NFO_LE,0
NFO_SP,0
NFO_LP,0
NFO_UM,0
NF_APL,1
NF_API,1
NF_ETI,2
NF_ET,2
NF_RPU,3
NF_RU,3
NF_4,0
NF_5,0
NF_NONE,0
NF_BLANK,0
NF_,0
NF_PU,0
NF_LE,0
NF_SP,0
NF_LP,0
NF_UM,0
ST_A_,22
ST_A_RS,22
ST_A_RI,22
ST_T_DC,53
ST_T_SR,55
ST_T_LP,54
ST_T_MA,57
ST_T_EX,56
ST_T_CV,90
ST_S_DP,50
ST_A_SP,42
ST_P_,41
ST_P_PUP,41
ST_P_RPU,45
ST_P_ETI,44
ST_I_,10
ST_I_PND,10
ST_I_INP,12
ST_D_,53
ST_D_DTH,53
ST_D_PND,50
ST_PUT_PU,41
ST_PUT_RU,45
ST_PUT_ET,44
ST_PUT_LE,44
ST_PUT_LP,54
ST_PUT_SP,42
NF_RU,3
NF_ET,2
NF_LE,2
DV_RU,0
PAR_P,1
PAR_N,0
PAR_X,0
PAR_F,0
AG_A,Active
AG_INACTIVE,Inactive
AG_PENDING,Pending
AG_T,Terminated
