MPOLICY,MPHASE,MPLAN_BEFORE,MPLAN_OPTION_B,LIFEPRO_PLAN,MUNIT,FACE,MAGE,PAAGERAT_CV_ROWS,CATALOG_IN_QUIKPLAN,CATALOG_QUIKCVS_ROWS,SYNTH_QUIKCVS_ROWS,OPTION_B_CHANGES_MPLAN
010335095C,3,261PUA,261PUA,961 PUA,.83564,835.64,17,132,Y,486,486,N
010150910C,3,221EPA,121PUA,621 PUA,.12752,127.52,67,71,Y,0,0,Y
010235370C,2,280EPA,280PUA,980 PUA,1.47721,1477.21,11,132,Y,496,0,Y
010264207C,2,280EPA,280PUA,980 PUA,6.80753,6807.53,06,132,Y,496,0,Y
010310404C,2,1960PA,1POPUA,960 PO PUA,5.94278,5942.78,68,200,Y,0,0,Y
010331768C,2,1960PA,1POPUA,960 PO PUA,9.56508,9565.08,22,200,Y,0,0,Y
010350577C,2,1960PA,1POPUA,960 PO PUA,7.98439,7984.39,02,200,Y,0,0,Y
010360289C,2,1708PA,170PUA,670 PUA,4.37185,4371.85,07,175,Y,0,0,Y
010360290C,2,1708PA,170PUA,670 PUA,4.59996,4599.96,05,175,Y,0,0,Y
010363098C,5,1960PA,185PUA,960 LP PUA,2.76573,2765.73,26,175,Y,0,0,Y
010367131C,2,1708PA,170PUA,670 PUA,4.45272,4452.72,05,175,Y,0,0,Y
010367132C,2,1708PA,170PUA,670 PUA,4.49266,4492.66,08,175,Y,0,0,Y
010367133C,2,1708PA,170PUA,670 PUA,4.25349,4253.49,09,175,Y,0,0,Y
010367438C,2,1708PA,170PUA,670 PUA,2.46499,2464.99,44,175,Y,0,0,Y
010367704C,2,1708PA,170PUA,670 PUA,4.03869,4038.69,12,175,Y,0,0,Y
010367705C,2,1708PA,170PUA,670 PUA,4.27529,4275.29,09,175,Y,0,0,Y
010368703C,2,1708PA,170PUA,670 PUA,6.01986,6019.86,26,175,Y,0,0,Y
010371171C,2,1708PA,170PUA,670 PUA,6.38168,6381.68,28,175,Y,0,0,Y
010371356C,2,1708PA,170PUA,670 PUA,3.79350,3793.50,16,175,Y,0,0,Y
010373918C,2,1708PA,170PUA,670 PUA,8.10745,8107.45,07,175,Y,0,0,Y
010374779C,2,1708PA,170PUA,670 PUA,4.00543,4005.43,39,175,Y,0,0,Y
010374837C,2,1708PA,170PUA,670 PUA,3.86716,3867.16,18,175,Y,0,0,Y
010374838C,2,1708PA,170PUA,670 PUA,4.03918,4039.18,16,175,Y,0,0,Y
010376522C,2,1960PA,1POPUA,960 PO PUA,5.78474,5784.74,16,200,Y,0,0,Y
010376529C,2,1708PA,170PUA,670 PUA,2.91932,2919.32,04,175,Y,0,0,Y
010376540C,2,1708PA,170PUA,670 PUA,2.50261,2502.61,46,175,Y,0,0,Y
010377918C,2,1708PA,170PUA,670 PUA,6.48262,6482.62,24,175,Y,0,0,Y
010378485C,2,1960PA,165PUA,960 65 PUA,5.10744,5107.44,12,66,Y,0,0,Y
010378710C,2,1960PA,165PUA,960 65 PUA,1.71585,1715.85,43,66,Y,0,0,Y
010378829C,2,1960PA,165PUA,960 65 PUA,2.17445,2174.45,35,66,Y,0,0,Y
010379405C,6,1960PA,1POPUA,960 PO PUA,8.18536,8185.36,29,200,Y,0,0,Y
010380049C,2,1960PA,1POPUA,960 PO PUA,7.00484,7004.84,12,200,Y,0,0,Y
010380550C,2,1960PA,165PUA,960 65 PUA,1.47131,1471.31,32,66,Y,0,0,Y
010380627C,2,1960PA,165PUA,960 65 PUA,1.91130,1911.30,10,66,Y,0,0,Y
010381745C,2,1708PA,170PUA,670 PUA,7.00064,7000.64,03,175,Y,0,0,Y
010382520C,3,1960PA,165PUA,960 65 PUA,2.80724,2807.24,27,66,Y,0,0,Y
010382931C,2,1960PA,1POPUA,960 PO PUA,7.60340,7603.40,26,200,Y,0,0,Y
010385491C,2,1708PA,170PUA,670 PUA,2.33302,2333.02,50,175,Y,0,0,Y
010385636C,2,1960PA,1POPUA,960 PO PUA,5.22314,5223.14,29,200,Y,0,0,Y
010388767C,2,1708PA,170PUA,670 PUA,6.64704,6647.04,29,175,Y,0,0,Y
010389651C,2,1708PA,170PUA,670 PUA,11.42118,11421.18,34,175,Y,0,0,Y
010389802C,2,1960PA,1POPUA,960 PO PUA,2.02820,2028.20,42,200,Y,0,0,Y
010390061C,2,1708PA,170PUA,670 PUA,3.79101,3791.01,19,175,Y,0,0,Y
010391004C,2,1708PA,170PUA,670 PUA,6.68293,6682.93,28,175,Y,0,0,Y
010391228C,2,1970PA,1970PA,970 PUA,4.47443,4474.43,08,86,Y,0,0,N
010391355C,2,1708PA,170PUA,670 PUA,4.29952,4299.52,15,175,Y,0,0,Y
010391359C,2,280EPA,280PUA,980 PUA,1.11865,1118.65,12,132,Y,496,0,Y
010391411C,2,1708PA,170PUA,670 PUA,4.25934,4259.34,41,175,Y,0,0,Y
010391422C,2,1708PA,170PUA,670 PUA,2.51488,2514.88,17,175,Y,0,0,Y
010391582C,2,1708PA,170PUA,670 PUA,10.72377,10723.77,35,175,Y,0,0,Y
010391840C,2,1708PA,170PUA,670 PUA,4.24189,4241.89,12,175,Y,0,0,Y
010391876C,2,1708PA,170PUA,670 PUA,1.86175,1861.75,04,175,Y,0,0,Y
010391878C,2,1708PA,170PUA,670 PUA,1.92939,1929.39,09,175,Y,0,0,Y
010391895C,2,1708PA,170PUA,670 PUA,3.48937,3489.37,19,175,Y,0,0,Y
010392117C,2,1708PA,170PUA,670 PUA,8.39034,8390.34,42,175,Y,0,0,Y
010392138C,2,1708PA,170PUA,670 PUA,8.05836,8058.36,38,175,Y,0,0,Y
010392493C,2,1708PA,170PUA,670 PUA,3.07527,3075.27,46,175,Y,0,0,Y
010392763C,2,1708PA,170PUA,670 PUA,.91001,910.01,40,175,Y,0,0,Y
010392930C,2,1708PA,170PUA,670 PUA,1.48528,1485.28,18,175,Y,0,0,Y
010393142C,2,1708PA,170PUA,670 PUA,6.61393,6613.93,31,175,Y,0,0,Y
010393143C,2,1708PA,170PUA,670 PUA,4.11884,4118.84,09,175,Y,0,0,Y
010393158C,2,1708PA,170PUA,670 PUA,5.29597,5295.97,33,175,Y,0,0,Y
010393181C,2,1708PA,170PUA,670 PUA,1.42300,1423.00,54,175,Y,0,0,Y
010393401C,2,1708PA,170PUA,670 PUA,7.54440,7544.40,21,175,Y,0,0,Y
010393899C,2,1708PA,170PUA,670 PUA,6.72214,6722.14,27,175,Y,0,0,Y
010393931C,2,1708PA,170PUA,670 PUA,4.91719,4917.19,16,175,Y,0,0,Y
010394249C,2,1708PA,170PUA,670 PUA,6.14286,6142.86,26,175,Y,0,0,Y
010394353C,2,1708PA,170PUA,670 PUA,7.37892,7378.92,22,175,Y,0,0,Y
010394662C,2,1708PA,170PUA,670 PUA,2.01140,2011.40,49,175,Y,0,0,Y
010395098C,2,1708PA,170PUA,670 PUA,1.68236,1682.36,10,175,Y,0,0,Y
010395211C,2,1708PA,170PUA,670 PUA,7.54374,7543.74,24,175,Y,0,0,Y
010395382C,2,1708PA,170PUA,670 PUA,9.79500,9795.00,35,175,Y,0,0,Y
010395411C,2,1708PA,170PUA,670 PUA,.54150,541.50,86,175,Y,0,0,Y
010395761C,2,1708PA,170PUA,670 PUA,5.54424,5544.24,40,175,Y,0,0,Y
010395878C,2,1708PA,170PUA,670 PUA,3.28962,3289.62,42,175,Y,0,0,Y
010395879C,2,1708PA,170PUA,670 PUA,.56826,568.26,42,175,Y,0,0,Y
010396147C,2,1708PA,170PUA,670 PUA,5.11783,5117.83,38,175,Y,0,0,Y
010396186C,2,1708PA,170PUA,670 PUA,5.87585,5875.85,15,175,Y,0,0,Y
010396425C,2,1708PA,170PUA,670 PUA,6.13762,6137.62,30,175,Y,0,0,Y
010397118C,2,1708PA,170PUA,670 PUA,12.97564,12975.64,18,175,Y,0,0,Y
010397318C,2,1708PA,170PUA,670 PUA,2.76026,2760.26,24,175,Y,0,0,Y
010397493C,2,1708PA,170PUA,670 PUA,7.54947,7549.47,18,175,Y,0,0,Y
010397528C,2,1708PA,170PUA,670 PUA,3.58127,3581.27,18,175,Y,0,0,Y
010397583C,2,1708PA,170PUA,670 PUA,9.32759,9327.59,23,175,Y,0,0,Y
010397945C,2,1708PA,170PUA,670 PUA,1.17956,1179.56,80,175,Y,0,0,Y
010398274C,2,1708PA,170PUA,670 PUA,7.07378,7073.78,24,175,Y,0,0,Y
010398471C,2,1708PA,170PUA,670 PUA,8.12615,8126.15,16,175,Y,0,0,Y
010398475C,2,1708PA,170PUA,670 PUA,5.96304,5963.04,32,175,Y,0,0,Y
010398591C,2,1708PA,170PUA,670 PUA,5.45811,5458.11,44,175,Y,0,0,Y
010399927C,2,1708PA,170PUA,670 PUA,6.77612,6776.12,30,175,Y,0,0,Y
010400462C,2,1708PA,170PUA,670 PUA,4.40268,4402.68,22,175,Y,0,0,Y
010401087C,2,1708PA,170PUA,670 PUA,6.12802,6128.02,21,175,Y,0,0,Y
010401181C,2,1708PA,170PUA,670 PUA,3.93732,3937.32,37,175,Y,0,0,Y
010401210C,2,1708PA,170PUA,670 PUA,7.67859,7678.59,23,175,Y,0,0,Y
010401565C,2,1708PA,170PUA,670 PUA,1.08233,1082.33,09,175,Y,0,0,Y
010402010C,2,1708PA,170PUA,670 PUA,2.64157,2641.57,41,175,Y,0,0,Y
010402014C,2,1708PA,170PUA,670 PUA,4.96557,4965.57,30,175,Y,0,0,Y
010402105C,2,1708PA,170PUA,670 PUA,10.17913,10179.13,24,175,Y,0,0,Y
010402899C,2,1708PA,170PUA,670 PUA,4.24206,4242.06,19,175,Y,0,0,Y
010403109C,2,1708PA,170PUA,670 PUA,.85785,857.85,29,175,Y,0,0,Y
010403117C,2,1708PA,170PUA,670 PUA,4.39272,4392.72,02,175,Y,0,0,Y
010403222C,2,1708PA,170PUA,670 PUA,5.47081,5470.81,34,175,Y,0,0,Y
010403516C,2,1708PA,170PUA,670 PUA,4.15403,4154.03,11,175,Y,0,0,Y
010403872C,2,1708PA,170PUA,670 PUA,2.25578,2255.78,18,175,Y,0,0,Y
010403922C,2,1708PA,170PUA,670 PUA,4.83578,4835.78,36,175,Y,0,0,Y
010404600C,2,1708PA,170PUA,670 PUA,13.02983,13029.83,30,175,Y,0,0,Y
010404602C,2,1708PA,170PUA,670 PUA,2.99856,2998.56,21,175,Y,0,0,Y
010404857C,2,1708PA,170PUA,670 PUA,3.14008,3140.08,19,175,Y,0,0,Y
010405440C,2,1708PA,170PUA,670 PUA,8.67328,8673.28,02,175,Y,0,0,Y
010405802C,2,1708PA,170PUA,670 PUA,2.52357,2523.57,34,175,Y,0,0,Y
010405858C,2,1708PA,170PUA,670 PUA,4.73641,4736.41,33,175,Y,0,0,Y
010406576C,2,1708PA,170PUA,670 PUA,4.01530,4015.30,11,175,Y,0,0,Y
010406795C,2,1708PA,170PUA,670 PUA,3.36151,3361.51,55,175,Y,0,0,Y
010407533C,2,1708PA,170PUA,670 PUA,4.54817,4548.17,40,175,Y,0,0,Y
010407534C,2,1708PA,170PUA,670 PUA,3.58883,3588.83,18,175,Y,0,0,Y
010407670C,2,1708PA,170PUA,670 PUA,3.52139,3521.39,35,175,Y,0,0,Y
010407925C,2,1708PA,170PUA,670 PUA,11.71942,11719.42,31,175,Y,0,0,Y
010408371C,2,1708PA,170PUA,670 PUA,5.13648,5136.48,35,175,Y,0,0,Y
010410566C,2,1708PA,170PUA,670 PUA,2.16248,2162.48,49,175,Y,0,0,Y
010410616C,2,1708PA,170PUA,670 PUA,5.96245,5962.45,32,175,Y,0,0,Y
010410714C,2,1708PA,170PUA,670 PUA,2.69525,2695.25,45,175,Y,0,0,Y
010411499C,2,1708PA,170PUA,670 PUA,4.86564,4865.64,32,175,Y,0,0,Y
010411577C,2,1708PA,170PUA,670 PUA,12.78121,12781.21,31,175,Y,0,0,Y
010411920C,4,1960PA,1POPUA,960 PO PUA,8.30972,8309.72,22,200,Y,0,0,Y
010412522C,2,1960PA,1POPUA,960 PO PUA,8.42678,8426.78,36,200,Y,0,0,Y
010412525C,2,1708PA,170PUA,670 PUA,6.10020,6100.20,34,175,Y,0,0,Y
010412526C,2,1708PA,170PUA,670 PUA,4.35463,4354.63,36,175,Y,0,0,Y
010412640C,2,1708PA,170PUA,670 PUA,5.75554,5755.54,20,175,Y,0,0,Y
010412641C,2,1708PA,170PUA,670 PUA,5.69167,5691.67,19,175,Y,0,0,Y
010413417C,2,1708PA,170PUA,670 PUA,4.63220,4632.20,46,175,Y,0,0,Y
010413421C,2,1708PA,170PUA,670 PUA,8.12504,8125.04,19,175,Y,0,0,Y
010413628C,2,1708PA,170PUA,670 PUA,4.61322,4613.22,32,175,Y,0,0,Y
010414235C,2,1708PA,170PUA,670 PUA,4.23907,4239.07,37,175,Y,0,0,Y
010415834C,2,1708PA,170PUA,670 PUA,4.35463,4354.63,36,175,Y,0,0,Y
010417200C,2,1708PA,170PUA,670 PUA,5.83613,5836.13,35,175,Y,0,0,Y
010417838C,2,1708PA,170PUA,670 PUA,6.46121,6461.21,32,175,Y,0,0,Y
010418562C,2,1708PA,170PUA,670 PUA,3.08941,3089.41,46,175,Y,0,0,Y
010419054C,2,1708PA,170PUA,670 PUA,5.80113,5801.13,36,175,Y,0,0,Y
010420853C,2,1708PA,170PUA,670 PUA,6.28732,6287.32,33,175,Y,0,0,Y
010420983C,2,1708PA,170PUA,670 PUA,3.05794,3057.94,20,175,Y,0,0,Y
010422033C,2,1708PA,170PUA,670 PUA,5.99755,5997.55,18,175,Y,0,0,Y
010422221C,2,1708PA,170PUA,670 PUA,4.05075,4050.75,13,175,Y,0,0,Y
010422722C,2,1708PA,170PUA,670 PUA,6.02834,6028.34,28,175,Y,0,0,Y
010422977C,3,1960PA,1POPUA,960 PO PUA,13.00995,13009.95,35,200,Y,0,0,Y
010423540C,2,1708PA,170PUA,670 PUA,6.55828,6558.28,27,175,Y,0,0,Y
010424185C,2,1708PA,170PUA,670 PUA,1.98932,1989.32,05,175,Y,0,0,Y
010424798C,2,1708PA,170PUA,670 PUA,4.04172,4041.72,42,175,Y,0,0,Y
010425718C,2,1708PA,170PUA,670 PUA,2.88799,2887.99,47,175,Y,0,0,Y
010425720C,2,1708PA,170PUA,670 PUA,4.14512,4145.12,41,175,Y,0,0,Y
