SIDE,TABLE,FIELD,VALUE,COUNT
EX,QuikPlSt,MLOANINT,,968
EX,QuikPlSt,MLOANINT,0.00,830
EX,QuikPlSt,MLOANINTX,,1798
EX,QuikPlSt,CNTRYTXT,ALL (OTHER),1749
EX,QuikPlSt,CNTRYTXT,N/A,49
EX,QuikPlSt,STATETXT,ALL (OTHER),1749
EX,QuikPlSt,STATETXT,N/A,49
EX,QuikPlSt,ISSCNTRY,0000,1798
EX,QuikPlSt,ISSUEST,00,1798
OUR,QuikPlSt,MLOANINT,,126
OUR,QuikPlSt,MLOANINTX,,126
OUR,QuikPlSt,CNTRYTXT,ALL (OTHER),126
OUR,QuikPlSt,STATETXT,ALL (OTHER),126
OUR,QuikPlSt,ISSCNTRY,0000,126
OUR,QuikPlSt,ISSUEST,00,126
EX,QuikPlBd,BDCODE,00,1577
EX,QuikPlBd,BDCODE,01,181
EX,QuikPlBd,BDCODE,02,181
EX,QuikPlBd,BDCODE,03,169
EX,QuikPlBd,BDCODE,04,72
EX,QuikPlBd,BDCODE,05,32
EX,QuikPlBd,BDCODE,MX,29
EX,QuikPlBd,BDCODE,10,4
EX,QuikPlBd,BDLOWVAL,0.000,1331
EX,QuikPlBd,BDLOWVAL,,297
EX,QuikPlBd,BDLOWVAL,25.000,158
EX,QuikPlBd,BDLOWVAL,10.000,119
EX,QuikPlBd,BDLOWVAL,100.000,74
EX,QuikPlBd,BDLOWVAL,1.000,56
EX,QuikPlBd,BDLOWVAL,5.000,53
EX,QuikPlBd,BDLOWVAL,50.000,42
OUR,QuikPlBd,BDCODE,00,126
OUR,QuikPlBd,BDLOWVAL,0.0,126
