PLAN,HAS_FACTOR_RATES,ACTUAL_PLANVALOPT,EXP_M1_R7_PLANVALOPT,EXP_M2_UI_PLANVALOPT,M1_GAP_COUNT,M2_GAP_COUNT,M1_GAPS,M2_GAPS,FAMILIES_PRESENT
10L171,N,F,N,N,3,3,PLANVALOPT:F->N;GDVARYGP:0->N;GDVARYDB:0->N,PLANVALOPT:F->N;GDVARYGP:0->N;GDVARYDB:0->N,
10L172,N,F,N,N,3,3,PLANVALOPT:F->N;GDVARYGP:0->N;GDVARYDB:0->N,PLANVALOPT:F->N;GDVARYGP:0->N;GDVARYDB:0->N,
117JPO,N,F,N,N,3,3,PLANVALOPT:F->N;GDVARYGP:0->N;GDVARYDB:0->N,PLANVALOPT:F->N;GDVARYGP:0->N;GDVARYDB:0->N,
121PUA,N,N,N,N,0,0,,,
130JEB,Y,Y,Y,Y,4,2,BDVARYGP:Y->N;BDVARYCV:Y->N;BDVARYTV:Y->N;BDVARYDV:Y->N,BDVARYDB:N->Y;STVARYGP:N->Y,"GP,DB,CV,TV,DV"
1658C1,Y,Y,Y,Y,2,2,BDVARYCV:Y->N;BDVARYTV:Y->N,BDVARYGP:N->Y;STVARYGP:N->Y,"GP,CV,TV"
1658CS,Y,Y,Y,Y,3,1,BDVARYGP:Y->N;BDVARYCV:Y->N;BDVARYTV:Y->N,STVARYGP:N->Y,"GP,CV,TV"
1659C2,Y,Y,Y,Y,2,2,BDVARYCV:Y->N;BDVARYTV:Y->N,BDVARYGP:N->Y;STVARYGP:N->Y,"GP,CV,TV"
1659CR,Y,Y,Y,Y,2,2,BDVARYCV:Y->N;BDVARYTV:Y->N,BDVARYGP:N->Y;STVARYGP:N->Y,"GP,CV,TV"
1659CS,Y,Y,Y,Y,2,2,BDVARYCV:Y->N;BDVARYTV:Y->N,BDVARYGP:N->Y;STVARYGP:N->Y,"GP,CV,TV"
1659SR,Y,Y,Y,Y,3,2,BDVARYDB:Y->N;BDVARYCV:Y->N;BDVARYTV:Y->N,BDVARYGP:N->Y;STVARYGP:N->Y,"GP,DB,CV,TV"
165PUA,N,N,N,N,0,0,,,
1666AI,Y,Y,Y,Y,1,3,BDVARYGP:Y->N,BDVARYCV:N->Y;BDVARYTV:N->Y;STVARYGP:N->Y,"GP,CV,TV"
