SOURCE_PLAN_CODE,IN_TRACKER,IN_PLAN_DBF,QLPLAN,GROUPED_WITH,COVERAGE_INTERPRETATION,NOTES
010G,Y,Y,10010G,010G,WORKING_PARTIAL_MAP — not full universe,Crosswalk is incomplete subset; grouped sex/smoker codes common
011G,Y,Y,10011G,011G,WORKING_PARTIAL_MAP — not full universe,Crosswalk is incomplete subset; grouped sex/smoker codes common
012G,Y,Y,10012G,012G,WORKING_PARTIAL_MAP — not full universe,Crosswalk is incomplete subset; grouped sex/smoker codes common
013G,Y,Y,10013G,013G,WORKING_PARTIAL_MAP — not full universe,Crosswalk is incomplete subset; grouped sex/smoker codes common
014G,Y,Y,10014G,014G,WORKING_PARTIAL_MAP — not full universe,Crosswalk is incomplete subset; grouped sex/smoker codes common
051G,Y,Y,9051G,051G,WORKING_PARTIAL_MAP — not full universe,Crosswalk is incomplete subset; grouped sex/smoker codes common
052G,Y,Y,9052G,052G,WORKING_PARTIAL_MAP — not full universe,Crosswalk is incomplete subset; grouped sex/smoker codes common
053G,Y,Y,9053G,053G,WORKING_PARTIAL_MAP — not full universe,Crosswalk is incomplete subset; grouped sex/smoker codes common
054G,Y,Y,9054G,054G,WORKING_PARTIAL_MAP — not full universe,Crosswalk is incomplete subset; grouped sex/smoker codes common
057G,Y,Y,9057G,057G,WORKING_PARTIAL_MAP — not full universe,Crosswalk is incomplete subset; grouped sex/smoker codes common
100,Y,Y,100100,100,WORKING_PARTIAL_MAP — not full universe,Crosswalk is incomplete subset; grouped sex/smoker codes common
100V,N,Y,,100V,WORKING_PARTIAL_MAP — not full universe,Crosswalk is incomplete subset; grouped sex/smoker codes common
1015,Y,Y,101015,1015,WORKING_PARTIAL_MAP — not full universe,Crosswalk is incomplete subset; grouped sex/smoker codes common
101G,Y,Y,10101G,101G,WORKING_PARTIAL_MAP — not full universe,Crosswalk is incomplete subset; grouped sex/smoker codes common
101M,Y,Y,10101M,101M,WORKING_PARTIAL_MAP — not full universe,Crosswalk is incomplete subset; grouped sex/smoker codes common
101X,Y,Y,10101X,101X,WORKING_PARTIAL_MAP — not full universe,Crosswalk is incomplete subset; grouped sex/smoker codes common
165,Y,Y,100165,165,WORKING_PARTIAL_MAP — not full universe,Crosswalk is incomplete subset; grouped sex/smoker codes common
3ALF,Y,Y,103ALF,3ALF,WORKING_PARTIAL_MAP — not full universe,Crosswalk is incomplete subset; grouped sex/smoker codes common
3ALM,Y,Y,103ALM,3ALM,WORKING_PARTIAL_MAP — not full universe,Crosswalk is incomplete subset; grouped sex/smoker codes common
3PFN,Y,Y,"103PFN,103PFS, 103PMN, 103PMS","3PFN,3PFS,3PMN,3PMS",WORKING_PARTIAL_MAP — not full universe,Crosswalk is incomplete subset; grouped sex/smoker codes common
3PFS,Y,Y,"103PFN,103PFS, 103PMN, 103PMS","3PFN,3PFS,3PMN,3PMS",WORKING_PARTIAL_MAP — not full universe,Crosswalk is incomplete subset; grouped sex/smoker codes common
3PMN,Y,Y,"103PFN,103PFS, 103PMN, 103PMS","3PFN,3PFS,3PMN,3PMS",WORKING_PARTIAL_MAP — not full universe,Crosswalk is incomplete subset; grouped sex/smoker codes common
3PMS,Y,Y,"103PFN,103PFS, 103PMN, 103PMS","3PFN,3PFS,3PMN,3PMS",WORKING_PARTIAL_MAP — not full universe,Crosswalk is incomplete subset; grouped sex/smoker codes common
3R2G,Y,Y,103R2G,3R2G,WORKING_PARTIAL_MAP — not full universe,Crosswalk is incomplete subset; grouped sex/smoker codes common
3RWG,Y,Y,103RWG,3RWG,WORKING_PARTIAL_MAP — not full universe,Crosswalk is incomplete subset; grouped sex/smoker codes common
3X1F,Y,Y,103X1F,"3X1F,3X5M",WORKING_PARTIAL_MAP — not full universe,Crosswalk is incomplete subset; grouped sex/smoker codes common
3X5M,Y,Y,103X1F,"3X1F,3X5M",WORKING_PARTIAL_MAP — not full universe,Crosswalk is incomplete subset; grouped sex/smoker codes common
8021,Y,Y,108021,8021,WORKING_PARTIAL_MAP — not full universe,Crosswalk is incomplete subset; grouped sex/smoker codes common
8022,Y,Y,108022,8022,WORKING_PARTIAL_MAP — not full universe,Crosswalk is incomplete subset; grouped sex/smoker codes common
8023,Y,Y,108023,8023,WORKING_PARTIAL_MAP — not full universe,Crosswalk is incomplete subset; grouped sex/smoker codes common
