RECONCILIATION_ID,SOURCE_PLAN_CODE,NORMALIZED_PLAN_CODE,SOURCE_PLAN_NAME,NORMALIZED_PLAN_NAME,PRODUCT_FAMILY,BASE_OR_RIDER,ACTIVE_OR_HISTORICAL,ISSUE_DATE_FROM,ISSUE_DATE_TO,IN_TRACKER,IN_PLAN_DBF,IN_CROSSWALK,IN_RATE_REQUIREMENTS,IN_RESERVE_STAGING,IN_DRAFT_QUIK_OUTPUT,IN_ACCESS_EXTRACT,IN_PRODUCT_DOCUMENTS,IN_CASH_VALUE_ARCHIVES,IN_GROSS_PREMIUM_SOURCE,HAS_POLICY_POPULATION_EVIDENCE,HAS_RATE_REQUIREMENT,HAS_RATE_SOURCE,HAS_QLADMIN_MAPPING,POSSIBLE_ALIAS,POSSIBLE_PARENT_PLAN,POSSIBLE_RIDER_RELATIONSHIP,POSSIBLE_STATE_VARIATION,POSSIBLE_ISSUE_ERA_VARIATION,POSSIBLE_DUPLICATE,POSSIBLE_TYPO,PROPOSED_SCOPE_STATUS,PROPOSED_AUTHORITY_STATUS,RECONCILIATION_STATUS,CONFIDENCE,REQUIRED_DECISION,RELATED_DECISION_ID,NOTES
CIT-PR-0001,$GS2,$GS2,,,,BASE,UNKNOWN,,,N,Y,N,N,N,N,N,N,N,N,UNKNOWN,N,N,N,,,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_BASE_PLAN,PENDING_REVIEW,DBF_ONLY,MEDIUM,CIT-DEC-003,CIT-DEC-003,
CIT-PR-0002,.822,.822,,,,BASE,UNKNOWN,,,N,N,N,N,Y,Y,N,N,N,N,UNKNOWN,N,Y,N,,,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_PENDING_SOURCE,PENDING_REVIEW,RESERVE_STAGING_ONLY,LOW,,,
CIT-PR-0003,0000,0000,,,,BASE,UNKNOWN,,,N,N,N,N,Y,Y,N,N,N,N,UNKNOWN,N,Y,N,,,N,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_PENDING_SOURCE,PENDING_REVIEW,RESERVE_STAGING_ONLY,LOW,,,
CIT-PR-0004,010G,010G,WAIVER OF PREMIUM,WAIVER OF PREMIUM,Rider,RIDER,UNKNOWN,,,Y,Y,Y,Y,N,N,N,N,N,N,UNKNOWN,Y,N,Y,,,Y,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_RIDER,PENDING_REVIEW,FULLY_MATCHED,HIGH,,,
CIT-PR-0005,011G,011G,WAIVER OF PREMIUM,WAIVER OF PREMIUM,Rider,RIDER,UNKNOWN,,,Y,Y,Y,Y,N,N,N,N,N,N,UNKNOWN,Y,N,Y,,,Y,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_RIDER,PENDING_REVIEW,FULLY_MATCHED,HIGH,,,
CIT-PR-0006,012G,012G,WAIVER OF PREMIUM,WAIVER OF PREMIUM,Rider,RIDER,UNKNOWN,,,Y,Y,Y,Y,N,N,N,N,N,N,UNKNOWN,Y,N,Y,,,Y,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_RIDER,PENDING_REVIEW,FULLY_MATCHED,HIGH,,,
CIT-PR-0007,013G,013G,WAIVER OF PREMIUM,WAIVER OF PREMIUM,Rider,RIDER,UNKNOWN,,,Y,Y,Y,Y,N,N,N,N,N,N,UNKNOWN,Y,N,Y,,,Y,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_RIDER,PENDING_REVIEW,FULLY_MATCHED,HIGH,,,
CIT-PR-0008,014G,014G,WAIVER OF PREMIUM,WAIVER OF PREMIUM,Rider,RIDER,UNKNOWN,,,Y,Y,Y,Y,N,N,N,N,N,N,UNKNOWN,Y,N,Y,,,Y,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_RIDER,PENDING_REVIEW,FULLY_MATCHED,HIGH,,,
CIT-PR-0009,020G,020G,WAVIER OF PREMIUM,WAVIER OF PREMIUM,Rider,RIDER,UNKNOWN,,,Y,Y,N,Y,N,N,N,N,N,N,UNKNOWN,Y,N,N,,,Y,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_RIDER,PENDING_REVIEW,MISSING_MAPPING,HIGH,CIT-DEC-004,CIT-DEC-004,
CIT-PR-0010,021G,021G,WPOB D/D,WPOB D/D,Rider,RIDER,UNKNOWN,,,Y,Y,N,Y,N,N,N,N,N,N,UNKNOWN,Y,N,N,,,Y,UNKNOWN,UNKNOWN,N,N,IN_SCOPE_RIDER,PENDING_REVIEW,MISSING_MAPPING,HIGH,CIT-DEC-004,CIT-DEC-004,
