RELATIONSHIP_ID,PLAN_CODE_A,PLAN_CODE_B,RELATIONSHIP_TYPE,EVIDENCE,CONFIDENCE,CANONICAL_CODE_RECOMMENDATION,IMPACT_ON_PLAN_COUNT,IMPACT_ON_RATE_MAPPING,APPROVAL_REQUIRED,NOTES
CIT-REL-0001,3PFN,3PFS,SMOKER_VARIATION,"Shared stem 3P; codes ['3PFN', '3PFS', '3PMN', '3PMS']",MEDIUM,KEEP_SEPARATE — typically distinct rate grids,Do not collapse; count as separate plans,May share QLAdmin plan with sex/smoker members,Y,"Crosswalk often groups these (e.g. P7FN,P7FS,P7MN,P7MS)"
CIT-REL-0002,3PFS,3PMN,SEX_VARIATION,"Shared stem 3P; codes ['3PFN', '3PFS', '3PMN', '3PMS']",MEDIUM,KEEP_SEPARATE — typically distinct rate grids,Do not collapse; count as separate plans,May share QLAdmin plan with sex/smoker members,Y,"Crosswalk often groups these (e.g. P7FN,P7FS,P7MN,P7MS)"
CIT-REL-0003,3PMN,3PMS,SMOKER_VARIATION,"Shared stem 3P; codes ['3PFN', '3PFS', '3PMN', '3PMS']",MEDIUM,KEEP_SEPARATE — typically distinct rate grids,Do not collapse; count as separate plans,May share QLAdmin plan with sex/smoker members,Y,"Crosswalk often groups these (e.g. P7FN,P7FS,P7MN,P7MS)"
CIT-REL-0004,9PFN,9PFS,SMOKER_VARIATION,"Shared stem 9P; codes ['9PFN', '9PFS', '9PMN', '9PMS']",MEDIUM,KEEP_SEPARATE — typically distinct rate grids,Do not collapse; count as separate plans,May share QLAdmin plan with sex/smoker members,Y,"Crosswalk often groups these (e.g. P7FN,P7FS,P7MN,P7MS)"
CIT-REL-0005,9PFS,9PMN,SEX_VARIATION,"Shared stem 9P; codes ['9PFN', '9PFS', '9PMN', '9PMS']",MEDIUM,KEEP_SEPARATE — typically distinct rate grids,Do not collapse; count as separate plans,May share QLAdmin plan with sex/smoker members,Y,"Crosswalk often groups these (e.g. P7FN,P7FS,P7MN,P7MS)"
CIT-REL-0006,9PMN,9PMS,SMOKER_VARIATION,"Shared stem 9P; codes ['9PFN', '9PFS', '9PMN', '9PMS']",MEDIUM,KEEP_SEPARATE — typically distinct rate grids,Do not collapse; count as separate plans,May share QLAdmin plan with sex/smoker members,Y,"Crosswalk often groups these (e.g. P7FN,P7FS,P7MN,P7MS)"
CIT-REL-0007,ABFN,ABFS,SMOKER_VARIATION,"Shared stem AB; codes ['ABFN', 'ABFS', 'ABMN', 'ABMS']",MEDIUM,KEEP_SEPARATE — typically distinct rate grids,Do not collapse; count as separate plans,May share QLAdmin plan with sex/smoker members,Y,"Crosswalk often groups these (e.g. P7FN,P7FS,P7MN,P7MS)"
CIT-REL-0008,ABFS,ABMN,SEX_VARIATION,"Shared stem AB; codes ['ABFN', 'ABFS', 'ABMN', 'ABMS']",MEDIUM,KEEP_SEPARATE — typically distinct rate grids,Do not collapse; count as separate plans,May share QLAdmin plan with sex/smoker members,Y,"Crosswalk often groups these (e.g. P7FN,P7FS,P7MN,P7MS)"
CIT-REL-0009,ABMN,ABMS,SMOKER_VARIATION,"Shared stem AB; codes ['ABFN', 'ABFS', 'ABMN', 'ABMS']",MEDIUM,KEEP_SEPARATE — typically distinct rate grids,Do not collapse; count as separate plans,May share QLAdmin plan with sex/smoker members,Y,"Crosswalk often groups these (e.g. P7FN,P7FS,P7MN,P7MS)"
CIT-REL-0010,B1FN,B1FS,SMOKER_VARIATION,"Shared stem B1; codes ['B1FN', 'B1FS', 'B1MN', 'B1MS']",MEDIUM,KEEP_SEPARATE — typically distinct rate grids,Do not collapse; count as separate plans,May share QLAdmin plan with sex/smoker members,Y,"Crosswalk often groups these (e.g. P7FN,P7FS,P7MN,P7MS)"
CIT-REL-0011,B1FS,B1MN,SEX_VARIATION,"Shared stem B1; codes ['B1FN', 'B1FS', 'B1MN', 'B1MS']",MEDIUM,KEEP_SEPARATE — typically distinct rate grids,Do not collapse; count as separate plans,May share QLAdmin plan with sex/smoker members,Y,"Crosswalk often groups these (e.g. P7FN,P7FS,P7MN,P7MS)"
CIT-REL-0012,B1MN,B1MS,SMOKER_VARIATION,"Shared stem B1; codes ['B1FN', 'B1FS', 'B1MN', 'B1MS']",MEDIUM,KEEP_SEPARATE — typically distinct rate grids,Do not collapse; count as separate plans,May share QLAdmin plan with sex/smoker members,Y,"Crosswalk often groups these (e.g. P7FN,P7FS,P7MN,P7MS)"
CIT-REL-0013,B2FN,B2FS,SMOKER_VARIATION,"Shared stem B2; codes ['B2FN', 'B2FS', 'B2MN', 'B2MS']",MEDIUM,KEEP_SEPARATE — typically distinct rate grids,Do not collapse; count as separate plans,May share QLAdmin plan with sex/smoker members,Y,"Crosswalk often groups these (e.g. P7FN,P7FS,P7MN,P7MS)"
