zip,product,filename,path_in_zip,size_bytes,naming_pattern,skip_extraction
802M_CV.zip,802M,Directions.pdf,802M/Directions.pdf,260310,directions,True
802M_CV.zip,802M,Exiry Age 86.pdf,802M/Exiry Age 86.pdf,1253939,expiry_age,False
802M_CV.zip,802M,Exiry Age 87.pdf,802M/Exiry Age 87.pdf,2511617,expiry_age,False
802M_CV.zip,802M,Exiry Age 88.pdf,802M/Exiry Age 88.pdf,2388201,expiry_age,False
802M_CV.zip,802M,Exiry Age 89.pdf,802M/Exiry Age 89.pdf,2476614,expiry_age,False
802M_CV.zip,802M,Exiry Age 90.pdf,802M/Exiry Age 90.pdf,2378918,expiry_age,False
802M_CV.zip,802M,Exiry Age 91.pdf,802M/Exiry Age 91.pdf,2510965,expiry_age,False
802M_CV.zip,802M,Exiry Age 92.pdf,802M/Exiry Age 92.pdf,2532865,expiry_age,False
802M_CV.zip,802M,Exiry Age 93.pdf,802M/Exiry Age 93.pdf,2506660,expiry_age,False
802M_CV.zip,802M,Exiry Age 94.pdf,802M/Exiry Age 94.pdf,2254197,expiry_age,False
802M_CV.zip,802M,Exiry Age 95.pdf,802M/Exiry Age 95.pdf,2544984,expiry_age,False
802M_CV.zip,802M,Exiry Age 96.pdf,802M/Exiry Age 96.pdf,2565325,expiry_age,False
802M_CV.zip,802M,Exiry Age 97.pdf,802M/Exiry Age 97.pdf,2542070,expiry_age,False
802M_CV.zip,802M,Exiry Age 98.pdf,802M/Exiry Age 98.pdf,2559953,expiry_age,False
802M_CV.zip,802M,Exiry Age 99.pdf,802M/Exiry Age 99.pdf,2532256,expiry_age,False
802M_CV.zip,802M,Expiry Age 02.pdf,802M/Expiry Age 02.pdf,1312957,other,False
802M_CV.zip,802M,Expiry Age 03.pdf,802M/Expiry Age 03.pdf,1422572,other,False
802M_CV.zip,802M,Expiry Age 04.pdf,802M/Expiry Age 04.pdf,1455439,other,False
802M_CV.zip,802M,Expiry Age 05.pdf,802M/Expiry Age 05.pdf,1259544,other,False
802M_CV.zip,802M,Expiry Age 06.pdf,802M/Expiry Age 06.pdf,1145117,other,False
802M_CV.zip,802M,Expiry Age 07.pdf,802M/Expiry Age 07.pdf,1161509,other,False
802M_CV.zip,802M,Expiry Age 08.pdf,802M/Expiry Age 08.pdf,1101874,other,False
802M_CV.zip,802M,Expiry Age 09.pdf,802M/Expiry Age 09.pdf,1159985,other,False
802M_CV.zip,802M,Expiry Age 10.pdf,802M/Expiry Age 10.pdf,1116919,other,False
802M_CV.zip,802M,Expiry Age 11.pdf,802M/Expiry Age 11.pdf,1183128,other,False
802M_CV.zip,802M,Expiry Age 12.pdf,802M/Expiry Age 12.pdf,1115298,other,False
802M_CV.zip,802M,Expiry Age 13.pdf,802M/Expiry Age 13.pdf,1136667,other,False
802M_CV.zip,802M,Expiry Age 14.pdf,802M/Expiry Age 14.pdf,1109325,other,False
802M_CV.zip,802M,Expiry Age 15.pdf,802M/Expiry Age 15.pdf,1172817,other,False
802M_CV.zip,802M,Expiry Age 16.pdf,802M/Expiry Age 16.pdf,1105858,other,False
802M_CV.zip,802M,Expiry Age 17.pdf,802M/Expiry Age 17.pdf,1157141,other,False
802M_CV.zip,802M,Expiry Age 18.pdf,802M/Expiry Age 18.pdf,1147549,other,False
802M_CV.zip,802M,Expiry Age 19.pdf,802M/Expiry Age 19.pdf,1179782,other,False
802M_CV.zip,802M,Expiry Age 20.pdf,802M/Expiry Age 20.pdf,1137546,other,False
802M_CV.zip,802M,Expiry Age 21.pdf,802M/Expiry Age 21.pdf,1190643,other,False
802M_CV.zip,802M,Expiry Age 22.pdf,802M/Expiry Age 22.pdf,1054684,other,False
802M_CV.zip,802M,Expiry Age 23.pdf,802M/Expiry Age 23.pdf,1157405,other,False
802M_CV.zip,802M,Expiry Age 24.pdf,802M/Expiry Age 24.pdf,1006155,other,False
802M_CV.zip,802M,Expiry Age 25.pdf,802M/Expiry Age 25.pdf,1162858,other,False
