PLAN,BDCODE,BDDESCR,BDLOWVAL
10.822,00,NOT APPLICABLE,0.0
10057,00,NOT APPLICABLE,0.0
100GDB,00,NOT APPLICABLE,0.0
1010,00,NOT APPLICABLE,0.0
10101G,00,NOT APPLICABLE,0.0
103PFN,00,NOT APPLICABLE,0.0
103PFS,00,NOT APPLICABLE,0.0
103PMN,00,NOT APPLICABLE,0.0
103PMS,00,NOT APPLICABLE,0.0
103R1F,00,NOT APPLICABLE,0.0
103R1M,00,NOT APPLICABLE,0.0
103R2G,00,NOT APPLICABLE,0.0
103R5F,00,NOT APPLICABLE,0.0
103R5M,00,NOT APPLICABLE,0.0
103R6G,00,NOT APPLICABLE,0.0
103RWG,00,NOT APPLICABLE,0.0
103X1F,00,NOT APPLICABLE,0.0
103X1M,00,NOT APPLICABLE,0.0
103X5F,00,NOT APPLICABLE,0.0
103X5M,00,NOT APPLICABLE,0.0
109PFN,00,NOT APPLICABLE,0.0
109PFS,00,NOT APPLICABLE,0.0
109PMN,00,NOT APPLICABLE,0.0
109PMS,00,NOT APPLICABLE,0.0
109R2G,00,NOT APPLICABLE,0.0
109R6G,00,NOT APPLICABLE,0.0
109RWG,00,NOT APPLICABLE,0.0
10A6N,00,NOT APPLICABLE,0.0
10ABFN,00,NOT APPLICABLE,0.0
10ABFS,00,NOT APPLICABLE,0.0
10ABMN,00,NOT APPLICABLE,0.0
10ABMS,00,NOT APPLICABLE,0.0
10ALP2,00,NOT APPLICABLE,0.0
10ALP6,00,NOT APPLICABLE,0.0
10B1FN,00,NOT APPLICABLE,0.0
10B1FS,00,NOT APPLICABLE,0.0
10B1MN,00,NOT APPLICABLE,0.0
10B1MS,00,NOT APPLICABLE,0.0
10B2FN,00,NOT APPLICABLE,0.0
10B2FS,00,NOT APPLICABLE,0.0
10B2MN,00,NOT APPLICABLE,0.0
10B2MS,00,NOT APPLICABLE,0.0
10BA5N,00,NOT APPLICABLE,0.0
10BA6B,00,NOT APPLICABLE,0.0
10BA6N,00,NOT APPLICABLE,0.0
10BLFN,00,NOT APPLICABLE,0.0
10BLFS,00,NOT APPLICABLE,0.0
10BLMN,00,NOT APPLICABLE,0.0
10BLMS,00,NOT APPLICABLE,0.0
10CP05,00,NOT APPLICABLE,0.0
10CP10,00,NOT APPLICABLE,0.0
10CP20,00,NOT APPLICABLE,0.0
10CPSP,00,NOT APPLICABLE,0.0
10DPFN,00,NOT APPLICABLE,0.0
10DPFS,00,NOT APPLICABLE,0.0
10DPMN,00,NOT APPLICABLE,0.0
10DPMS,00,NOT APPLICABLE,0.0
10DR2G,00,NOT APPLICABLE,0.0
10DR6G,00,NOT APPLICABLE,0.0
10DRWG,00,NOT APPLICABLE,0.0
10DX1F,00,NOT APPLICABLE,0.0
10DX1M,00,NOT APPLICABLE,0.0
10DX5F,00,NOT APPLICABLE,0.0
10DX5M,00,NOT APPLICABLE,0.0
10FW5,00,NOT APPLICABLE,0.0
10HPFN,00,NOT APPLICABLE,0.0
10HPFS,00,NOT APPLICABLE,0.0
10HPMN,00,NOT APPLICABLE,0.0
10HPMS,00,NOT APPLICABLE,0.0
10HR2G,00,NOT APPLICABLE,0.0
10HR6G,00,NOT APPLICABLE,0.0
10HRWG,00,NOT APPLICABLE,0.0
10IFF1,00,NOT APPLICABLE,0.0
10IFF5,00,NOT APPLICABLE,0.0
10IFFS,00,NOT APPLICABLE,0.0
10LPI2,00,NOT APPLICABLE,0.0
10LPI6,00,NOT APPLICABLE,0.0
10LPIS,00,NOT APPLICABLE,0.0
10P7FN,00,NOT APPLICABLE,0.0
10P7FS,00,NOT APPLICABLE,0.0
10P7MN,00,NOT APPLICABLE,0.0
10P7MS,00,NOT APPLICABLE,0.0
10P8FJ,00,NOT APPLICABLE,0.0
10P8FN,00,NOT APPLICABLE,0.0
10P8FS,00,NOT APPLICABLE,0.0
10P8MJ,00,NOT APPLICABLE,0.0
10P8MN,00,NOT APPLICABLE,0.0
10P8MS,00,NOT APPLICABLE,0.0
10P9FJ,00,NOT APPLICABLE,0.0
10P9FN,00,NOT APPLICABLE,0.0
10P9FS,00,NOT APPLICABLE,0.0
10P9MJ,00,NOT APPLICABLE,0.0
10P9MN,00,NOT APPLICABLE,0.0
10P9MS,00,NOT APPLICABLE,0.0
10PLP,00,NOT APPLICABLE,0.0
10PLP6,00,NOT APPLICABLE,0.0
10Q1FN,00,NOT APPLICABLE,0.0
10Q1FS,00,NOT APPLICABLE,0.0
10Q1MN,00,NOT APPLICABLE,0.0
10Q1MS,00,NOT APPLICABLE,0.0
10Q2FN,00,NOT APPLICABLE,0.0
10Q2FS,00,NOT APPLICABLE,0.0
10Q2MN,00,NOT APPLICABLE,0.0
10Q2MS,00,NOT APPLICABLE,0.0
10Q3FN,00,NOT APPLICABLE,0.0
10Q3FS,00,NOT APPLICABLE,0.0
10Q3MN,00,NOT APPLICABLE,0.0
10Q3MS,00,NOT APPLICABLE,0.0
10QLFN,00,NOT APPLICABLE,0.0
10QLFS,00,NOT APPLICABLE,0.0
10QLMN,00,NOT APPLICABLE,0.0
10QLMS,00,NOT APPLICABLE,0.0
