PLAN,GDCODE,GDDESCR
10.822,0,NOT APPLICABLE
10057,0,NOT APPLICABLE
100GDB,0,NOT APPLICABLE
1010,0,NOT APPLICABLE
10101G,0,NOT APPLICABLE
103PFN,F,FEMALE
103PFS,F,FEMALE
103PMN,M,MALE
103PMS,M,MALE
103R1F,0,NOT APPLICABLE
103R1M,0,NOT APPLICABLE
103R2G,0,NOT APPLICABLE
103R5F,0,NOT APPLICABLE
103R5M,0,NOT APPLICABLE
103R6G,0,NOT APPLICABLE
103RWG,0,NOT APPLICABLE
103X1F,0,NOT APPLICABLE
103X1M,0,NOT APPLICABLE
103X5F,0,NOT APPLICABLE
103X5M,0,NOT APPLICABLE
109PFN,F,FEMALE
109PFS,F,FEMALE
109PMN,M,MALE
109PMS,M,MALE
109R2G,0,NOT APPLICABLE
109R6G,0,NOT APPLICABLE
109RWG,0,NOT APPLICABLE
10A6N,0,NOT APPLICABLE
10ABFN,F,FEMALE
10ABFS,F,FEMALE
10ABMN,M,MALE
10ABMS,M,MALE
10ALP2,0,NOT APPLICABLE
10ALP6,0,NOT APPLICABLE
10B1FN,F,FEMALE
10B1FS,F,FEMALE
10B1MN,M,MALE
10B1MS,M,MALE
10B2FN,F,FEMALE
10B2FS,F,FEMALE
10B2MN,M,MALE
10B2MS,M,MALE
10BA5N,0,NOT APPLICABLE
10BA6B,0,NOT APPLICABLE
10BA6N,0,NOT APPLICABLE
10BLFN,F,FEMALE
10BLFS,F,FEMALE
10BLMN,M,MALE
10BLMS,M,MALE
10CP05,0,NOT APPLICABLE
10CP10,0,NOT APPLICABLE
10CP20,0,NOT APPLICABLE
10CPSP,0,NOT APPLICABLE
10DPFN,F,FEMALE
10DPFS,F,FEMALE
10DPMN,M,MALE
10DPMS,M,MALE
10DR2G,0,NOT APPLICABLE
10DR6G,0,NOT APPLICABLE
10DRWG,0,NOT APPLICABLE
10DX1F,0,NOT APPLICABLE
10DX1M,0,NOT APPLICABLE
10DX5F,0,NOT APPLICABLE
10DX5M,0,NOT APPLICABLE
10FW5,0,NOT APPLICABLE
10HPFN,F,FEMALE
10HPFS,F,FEMALE
10HPMN,M,MALE
10HPMS,M,MALE
10HR2G,0,NOT APPLICABLE
10HR6G,0,NOT APPLICABLE
10HRWG,0,NOT APPLICABLE
10IFF1,0,NOT APPLICABLE
10IFF5,0,NOT APPLICABLE
10IFFS,F,FEMALE
10LPI2,0,NOT APPLICABLE
10LPI6,0,NOT APPLICABLE
10LPIS,0,NOT APPLICABLE
10P7FN,F,FEMALE
10P7FS,F,FEMALE
10P7MN,M,MALE
10P7MS,M,MALE
10P8FJ,F,FEMALE
10P8FN,F,FEMALE
10P8FS,F,FEMALE
10P8MJ,M,MALE
10P8MN,M,MALE
10P8MS,M,MALE
10P9FJ,F,FEMALE
10P9FN,F,FEMALE
10P9FS,F,FEMALE
10P9MJ,M,MALE
10P9MN,M,MALE
10P9MS,M,MALE
10PLP,0,NOT APPLICABLE
10PLP6,0,NOT APPLICABLE
10Q1FN,F,FEMALE
10Q1FS,F,FEMALE
10Q1MN,M,MALE
10Q1MS,M,MALE
10Q2FN,F,FEMALE
10Q2FS,F,FEMALE
10Q2MN,M,MALE
10Q2MS,M,MALE
10Q3FN,F,FEMALE
10Q3FS,F,FEMALE
10Q3MN,M,MALE
10Q3MS,M,MALE
10QLFN,F,FEMALE
10QLFS,F,FEMALE
10QLMN,M,MALE
10QLMS,M,MALE
10R28,0,NOT APPLICABLE
10R28A,0,NOT APPLICABLE
10R28G,0,NOT APPLICABLE
10R29G,0,NOT APPLICABLE
10R68,0,NOT APPLICABLE
10R68G,0,NOT APPLICABLE
10R69G,0,NOT APPLICABLE
10RW18,0,NOT APPLICABLE
10RW28,0,NOT APPLICABLE
10RW8,0,NOT APPLICABLE
10RW8A,0,NOT APPLICABLE
10RW8G,0,NOT APPLICABLE
10RW9G,0,NOT APPLICABLE
10S28G,0,NOT APPLICABLE
10SLPW,0,NOT APPLICABLE
10TAFA,0,NOT APPLICABLE
10TAFB,0,NOT APPLICABLE
10TAFC,0,NOT APPLICABLE
10TAFD,0,NOT APPLICABLE
9057G,0,NOT APPLICABLE
