PLAN,ISSCNTRY,ISSUEST,EFFDATE,TERMDATE
10.822,0000,00,19000101,
10057,0000,00,19000101,
100GDB,0000,00,19000101,
1010,0000,00,19000101,
10101G,0000,00,19000101,
103PFN,0000,00,19000101,
103PFS,0000,00,19000101,
103PMN,0000,00,19000101,
103PMS,0000,00,19000101,
103R1F,0000,00,19000101,
103R1M,0000,00,19000101,
103R2G,0000,00,19000101,
103R5F,0000,00,19000101,
103R5M,0000,00,19000101,
103R6G,0000,00,19000101,
103RWG,0000,00,19000101,
103X1F,0000,00,19000101,
103X1M,0000,00,19000101,
103X5F,0000,00,19000101,
103X5M,0000,00,19000101,
109PFN,0000,00,19000101,
109PFS,0000,00,19000101,
109PMN,0000,00,19000101,
109PMS,0000,00,19000101,
109R2G,0000,00,19000101,
109R6G,0000,00,19000101,
109RWG,0000,00,19000101,
10A6N,0000,00,19000101,
10ABFN,0000,00,19000101,
10ABFS,0000,00,19000101,
10ABMN,0000,00,19000101,
10ABMS,0000,00,19000101,
10ALP2,0000,00,19000101,
10ALP6,0000,00,19000101,
10B1FN,0000,00,19000101,
10B1FS,0000,00,19000101,
10B1MN,0000,00,19000101,
10B1MS,0000,00,19000101,
10B2FN,0000,00,19000101,
10B2FS,0000,00,19000101,
10B2MN,0000,00,19000101,
10B2MS,0000,00,19000101,
10BA5N,0000,00,19000101,
10BA6B,0000,00,19000101,
10BA6N,0000,00,19000101,
10BLFN,0000,00,19000101,
10BLFS,0000,00,19000101,
10BLMN,0000,00,19000101,
10BLMS,0000,00,19000101,
10CP05,0000,00,19000101,
10CP10,0000,00,19000101,
10CP20,0000,00,19000101,
10CPSP,0000,00,19000101,
10DPFN,0000,00,19000101,
10DPFS,0000,00,19000101,
10DPMN,0000,00,19000101,
10DPMS,0000,00,19000101,
10DR2G,0000,00,19000101,
10DR6G,0000,00,19000101,
10DRWG,0000,00,19000101,
10DX1F,0000,00,19000101,
10DX1M,0000,00,19000101,
10DX5F,0000,00,19000101,
10DX5M,0000,00,19000101,
10FW5,0000,00,19000101,
10HPFN,0000,00,19000101,
10HPFS,0000,00,19000101,
10HPMN,0000,00,19000101,
10HPMS,0000,00,19000101,
10HR2G,0000,00,19000101,
10HR6G,0000,00,19000101,
10HRWG,0000,00,19000101,
10IFF1,0000,00,19000101,
10IFF5,0000,00,19000101,
10IFFS,0000,00,19000101,
10LPI2,0000,00,19000101,
10LPI6,0000,00,19000101,
10LPIS,0000,00,19000101,
10P7FN,0000,00,19000101,
10P7FS,0000,00,19000101,
10P7MN,0000,00,19000101,
10P7MS,0000,00,19000101,
10P8FJ,0000,00,19000101,
10P8FN,0000,00,19000101,
10P8FS,0000,00,19000101,
10P8MJ,0000,00,19000101,
10P8MN,0000,00,19000101,
10P8MS,0000,00,19000101,
10P9FJ,0000,00,19000101,
10P9FN,0000,00,19000101,
10P9FS,0000,00,19000101,
10P9MJ,0000,00,19000101,
10P9MN,0000,00,19000101,
10P9MS,0000,00,19000101,
10PLP,0000,00,19000101,
10PLP6,0000,00,19000101,
10Q1FN,0000,00,19000101,
10Q1FS,0000,00,19000101,
10Q1MN,0000,00,19000101,
10Q1MS,0000,00,19000101,
10Q2FN,0000,00,19000101,
10Q2FS,0000,00,19000101,
10Q2MN,0000,00,19000101,
10Q2MS,0000,00,19000101,
10Q3FN,0000,00,19000101,
10Q3FS,0000,00,19000101,
10Q3MN,0000,00,19000101,
10Q3MS,0000,00,19000101,
10QLFN,0000,00,19000101,
10QLFS,0000,00,19000101,
10QLMN,0000,00,19000101,
10QLMS,0000,00,19000101,
10R28,0000,00,19000101,
10R28A,0000,00,19000101,
10R28G,0000,00,19000101,
10R29G,0000,00,19000101,
10R68,0000,00,19000101,
10R68G,0000,00,19000101,
10R69G,0000,00,19000101,
10RW18,0000,00,19000101,
10RW28,0000,00,19000101,
10RW8,0000,00,19000101,
10RW8A,0000,00,19000101,
10RW8G,0000,00,19000101,
10RW9G,0000,00,19000101,
10S28G,0000,00,19000101,
10SLPW,0000,00,19000101,
10TAFA,0000,00,19000101,
10TAFB,0000,00,19000101,
10TAFC,0000,00,19000101,
10TAFD,0000,00,19000101,
9057G,0000,00,19000101,
