MPOLICY,MSTATUS
010143726C,22
010148272C,22
010148856C,22
010149295C,44
010157076C,22
010158001C,22
010161748C,22
010165095C,45
010171334C,41
010264207C,22
010310404C,22
010331768C,22
010346921C,22
010348734C,22
010350577C,22
010367131C,22
010367132C,22
010367133C,22
010367704C,22
010371356C,22
010374099C,44
010374837C,22
010374838C,22
010378830C,22
010379477C,45
010379478C,45
010380049C,22
010380550C,41
010380627C,22
010380808C,22
010381516C,45
010382426C,22
010382448C,44
010388767C,22
010390061C,22
010390251C,44
010391004C,22
010391355C,44
010391411C,41
010391582C,41
010391679C,22
010391840C,22
010391876C,44
010391878C,44
010391895C,22
010392117C,41
010392930C,44
010393142C,22
010393143C,22
010393401C,22
010393899C,22
010394353C,22
010395098C,44
010395211C,22
010395411C,41
010396186C,22
010396425C,22
010397118C,22
010397493C,22
010397528C,22
010398471C,22
010398475C,22
010399927C,22
010401087C,22
010401210C,22
010401565C,44
010402105C,22
010402899C,44
010403109C,22
010403117C,22
010403222C,41
010403516C,22
010403789C,22
010403872C,44
010403916C,45
010404600C,22
010404602C,44
010405175C,45
010405440C,22
010405802C,41
010406576C,22
010407023C,22
010407237C,45
010407534C,22
010407670C,45
010407925C,22
010408371C,41
010410616C,22
010411577C,22
010411920C,22
010412525C,22
010412641C,22
010413421C,22
010417838C,22
010419054C,41
010420853C,22
010422221C,22
010422417C,41
010422722C,22
010422977C,22
010423540C,22
010424185C,44
010425941C,22
010425944C,22
010426859C,22
010427442C,45
010427456C,41
010428259C,44
010428688C,44
010428747C,45
010429066C,22
010429417C,41
010430017C,22
010430993C,22
010431301C,22
010431510C,22
010432254C,41
010432414C,22
010432631C,22
010433471C,45
010433630C,22
010434092C,41
010434418C,22
010434421C,22
010434422C,41
010434544C,41
010434659C,41
010435244C,22
010435609C,22
010435671C,22
010435672C,41
010435673C,22
010436082C,22
010436083C,22
010436406C,45
010436541C,22
010436712C,45
010436782C,22
010436959C,22
010437076C,22
010437232C,22
010438063C,22
010438073C,22
010438523C,22
010438524C,44
010438525C,44
010438554C,22
010438556C,22
010438820C,22
010438861C,45
010438926C,41
010438938C,41
010439128C,22
010439156C,22
010439277C,41
010439435C,41
010439999C,22
010440000C,41
010440371C,41
010440631C,22
010441082C,41
010441084C,22
010441085C,22
010442216C,22
010442222C,22
010442906C,22
010443032C,41
010443287C,22
010443296C,41
010443389C,45
010443432C,41
010443433C,45
