lp,qla,cc,cr,put,cur_key,prop_key,sim_before,sim_after,output_before,output_visible_change
901122D991,01122D991C,A,,LP,PUT_LP,A_,54,22,54,Y
9014FG8217,014FG8217C,A,,LP,PUT_LP,A_,54,22,54,Y
9016FG8217,016FG8217C,A,,LP,PUT_LP,A_,54,22,54,Y
9018252,018252C,A,,LP,PUT_LP,A_,54,22,22,N
9018253,018253C,A,,LP,PUT_LP,A_,54,22,22,N
9018253A,018253AC,A,,LP,PUT_LP,A_,54,22,22,N
9018253B,018253BC,A,,LP,PUT_LP,A_,54,22,22,N
9018499C,018499CC,A,,LP,PUT_LP,A_,54,22,22,N
9018645B,018645BC,A,,LP,PUT_LP,A_,54,22,22,N
9018737A,018737AC,A,RS,LP,PUT_LP,A_,54,22,22,N
9018737B,018737BC,A,,LP,PUT_LP,A_,54,22,22,N
901FG8033C,01FG8033CC,A,,LP,PUT_LP,A_,54,22,22,N
901FG8217A,01FG8217AC,A,,LP,PUT_LP,A_,54,22,22,N
901FG8217B,01FG8217BC,A,,LP,PUT_LP,A_,54,22,22,N
901FG8217C,01FG8217CC,A,,LP,PUT_LP,A_,54,22,22,N
901FG8217D,01FG8217DC,A,,LP,PUT_LP,A_,54,22,22,N
901FG8563,01FG8563C,A,,LP,PUT_LP,A_,54,22,22,N
901FG8801,01FG8801C,A,,LP,PUT_LP,A_,54,22,22,N
901ML4012A,01ML4012AC,A,,LP,PUT_LP,A_,54,22,22,N
901ML4054,01ML4054C,A,RS,LP,PUT_LP,A_,54,22,22,N
901ML4107,01ML4107C,A,,LP,PUT_LP,A_,54,22,22,N
901ML8007,01ML8007C,A,,LP,PUT_LP,A_,54,22,22,N
901ML8143,01ML8143C,A,,LP,PUT_LP,A_,54,22,22,N
901ML8171,01ML8171C,A,,LP,PUT_LP,A_,54,22,54,Y
901ML8225,01ML8225C,A,,LP,PUT_LP,A_,54,22,22,N
901ML8246,01ML8246C,A,,LP,PUT_LP,A_,54,22,22,N
901ML8250,01ML8250C,A,,LP,PUT_LP,A_,54,22,54,Y
901ML8267,01ML8267C,A,,LP,PUT_LP,A_,54,22,22,N
901ML8303,01ML8303C,A,,LP,PUT_LP,A_,54,22,22,N
901ML8307,01ML8307C,A,,LP,PUT_LP,A_,54,22,22,N
901ML8464,01ML8464C,A,,LP,PUT_LP,A_,54,22,22,N
901ML8493,01ML8493C,A,,LP,PUT_LP,A_,54,22,22,N
901ML8501,01ML8501C,A,,LP,PUT_LP,A_,54,22,22,N
901ML8515,01ML8515C,A,,LP,PUT_LP,A_,54,22,22,N
901ML8522,01ML8522C,A,,LP,PUT_LP,A_,54,22,54,Y
901ML8535,01ML8535C,A,,LP,PUT_LP,A_,54,22,22,N
901ML8556,01ML8556C,A,,LP,PUT_LP,A_,54,22,22,N
901ML8565,01ML8565C,A,,LP,PUT_LP,A_,54,22,22,N
901ML8584,01ML8584C,A,RS,LP,PUT_LP,A_,54,22,22,N
901ML8678,01ML8678C,A,,LP,PUT_LP,A_,54,22,22,N
901ML8772,01ML8772C,A,,LP,PUT_LP,A_,54,22,22,N
9010521213,010521213C,S,DP,PU,PUT_PU,S_DP,41,50,41,Y
