ID	Status	Short Name 	Description	Date Raised	Priority (Go-No Go)	Issue Owner	Assigned 	Date Resolved	Notes
75	Closed	Bank Acct / MBANKNO QLA validation	QL error on policy change: Invalid routing number (//) / bank account not correct. Example 010161748C Bank Acct shows bad routing/account. Conversion emits quikmstr.MBANKNO as ABA/ACCOUNT; many values still have truncated ABA (<9 digits), account punctuation, or extra slashes that fail QLA routing validation. Related #21H/#45. REOPEN 2026-07-25: PPCOM extract available for full ABA recovery; leading zeros on 8-digit accounts under review.	2026-07-15	Go-No Go	Warren	Warren	2026-07-25	CLOSED v58.35. Resolution: Bank-draft quikmstr.MBANKNO is rebuilt from June PPCOM routing joined by account digits, emitting only a checksum-valid 9-digit ABA and a digits-only account (source leading zeros kept). Stats: bank-draft policies 2132; populated QLA-safe 2081; still blank 51; invalid filled 0; all-policy MBANKNO populated 2706. Loaded examples: 9010161748C (010161748C)=091303855/0000002000581; 9010157076C=104910135/212919; 9010348734C=081518113/208787; 9010713704C=104000016/47374579 (unchanged). Still missing 51: 49 no PPCOM routing match (e.g. 9010428747C acct 111260; 9010451385C acct 6822704792; 9010464590C acct 7562700387); 2 account too short (<4 digits) 9010550564C and 9010919258C acct 238. G7 met: validate_issue75_mbankno PASS, accountability #75 IN_DATA, Test_Validation/quikmstr.csv. Detail: Issue_Log_Items/Issue_75/Issue_75_Resolution_Summary.md
108A	Closed	NFO save fields carry post-NFO values	QuikRidr phase-1 MSAVEAGE/MSAVEUNIT/MSAVEVPU/MSAVEPREM/MSAVESTAT were populated with the current post-nonforfeiture values on all 400 ETI/RPU policies (MSAVESTAT emitted 44 or 45). These fields exist so QLAdmin can restore a policy if it is reinstated from ETI/RPU, so as emitted a reinstatement would have restored the policy back into its NFO state. Robert recommended blank for conversion.	2026-07-25	High — Go	Robert	Warren	2026-07-25	FIXED v58.32. All five MSAVE* fields now blank on all 400 NFO phase-1 rows; the v57.96 mirror still applies to every non-NFO row. G7 met: validate_issue72_mnfopt_status v2.0 PASS on full Output, accountability IN_DATA, quikridr published to Output/Test_Validation. Now also guarded by governance rule DG-QUIKMSTR-032. Detail: Issue_Log_Items/Issue_108/Issue_108_Resolution_Summary.md
108B	Closed	NFO phase-1 age and duration wrong	QuikRidr phase-1 MAGE was the issue age rather than the attained age at the paid-to date on 400 of 400 ETI/RPU policies (median gap 24.5 years, maximum 55). MLASTANN was one year high on 167 policies because duration used calendar-year subtraction, and it read the system date rather than the valuation date so it changed between reruns. MCV1/MCV2 are blank on all 400 and MCV0 on 348, so QLAdmin rebuilds the cash values from these drivers — the net single premium was being evaluated at a mortality age decades too young across the whole NFO book.	2026-07-25	Critical — Go	Robert	Warren	2026-07-25	FIXED v58.32. MAGE corrected on 400/400 (e.g. 9010374099C 00 to 39); MLASTANN corrected on 312 and now anniversary-accurate against the valuation date, so it is stable across reruns. Sequencing guard held: MPHDOB changed on 0 of 400 rows. G7 met: validate_issue76_eti_rpu_payup v2.0 PASS (candidates=400, payup_fail=0, mlast_fail=0), accountability IN_DATA. ACTION STILL OPEN: cash values and reserves move on these 400 — send Robert before/after before UAT reload. Detail: Issue_Log_Items/Issue_108/Issue_108_Resolution_Summary.md
108C	Closed	ETI premium not zeroed	QuikRidr phase-1 MPREM was not set to 0.00 on Extended Term policies. 204 of 206 ETI phase-1 rows carried a non-zero premium per unit. Per the QLAdmin ETI/RPU specification MPREM is zeroed on ETI. RPU is intentionally excluded — the specification does not zero MPREM for RPU and the client RPU example retains it.	2026-07-25	Medium — Go	Robert	Warren	2026-07-25	FIXED v58.32. ETI phase-1 rows with non-zero MPREM after: 0 of 206. RPU MPREM changed on 0 of 194, preserving Issue #26. G7 met: validate_issue60_pua_phase v2.0 PASS with zero MPREM drift on non-NFO rows, accountability IN_DATA. The ETI-only asymmetry is now encoded in governance rule DG-QUIKMSTR-032 with a test asserting RPU keeps its premium. Open question to Robert on whether the asymmetry is intentional — does not block closure. Detail: Issue_Log_Items/Issue_108/Issue_108_Resolution_Summary.md
108D	Closed	PUA not terminated on NFO policies	Paid-up addition riders on ETI/RPU policies emitted MPHSTAT 41 (Paid Up) instead of 54 (terminated), 27 rows. Root cause was a rule collision — Issue #60 forces PUA to 41 whenever the base coverage status is under 50, and NFO statuses 44 and 45 are under 50 so they were caught by a rule not intended for them. The specification terminates the PUA coverage at 54 on both ETI and RPU.	2026-07-25	Medium — Go	Robert	Warren	2026-07-25	FIXED v58.32. 27 PUA rows on NFO bases now 54; the 467 non-NFO PUA rows are unchanged (238 at 56, 228 at 41, 1 at 22), so Issue #60 is preserved. G7 met: validate_issue60_pua_phase v2.0 rewritten with the NFO carve-out, PASS on full Output, accountability IN_DATA. Now also guarded by governance rule DG-QUIKMSTR-032. NOT included: folding PUA units into the base — still blocked pending client confirmation that LifePRO has not already folded them, tracked under 108E. Detail: Issue_Log_Items/Issue_108/Issue_108_Resolution_Summary.md
108E	Blocked — Awaiting Client Clarification	Riders in force on NFO policies	Robert check: phases 2+ with an in-force status on an ETI/RPU policy. Now 82 rows on 81 policies after 108D cleared the 27 PUA rows. 77 are SAL ML policies where the phase-1 base coverage carries zero units and the face amount sits on the phase-2 1SALMI rider — terminating those would zero the entire in-force amount on 77 RPU policies, so they need source confirmation before any rule is applied. 5 rows on 4 policies (9010779553C, 9010820645C, 9011001302C, 9011136641C, all plan 5667AT — 3 waiver of premium, 2 accidental death) look like genuine leftovers. Separately, 92 of 206 ETI policies carry an expiry at attained age 95+ which looks like the original maturity rather than a calculated ETI expiry.	2026-07-25	Medium — No-Go pending SME	Robert	Warren		No code until answered. Three questions to Robert: is the 1SALML zero-unit base structure legitimate; should the 5667AT riders terminate at 54 (note 9010779553C has waiver at 56 but accidental death at 22 on the same policy); were the 92 ETI expiries ever recalculated on the source side. Now visible in every governance run as DG-QUIKMSTR-029 — 5 advisory warnings with the 77 1SALMI rows excluded and counted separately, so the answer can be applied by changing one exclusion set. Detail: Issue_Log_Items/Issue_108/
108F	Closed	NFO election lost — MNFOPT empty fleet-wide	QuikMstr MNFOPT was 0 on 4,683 of 5,083 policies. 4,346 policies hold a real non-forfeiture election in PPBENTYP and 1,933 of those are still in force, so the election was being dropped for all of them. Every non-zero MNFOPT in the prior output came from the Issue #72 rule that forced MNFOPT from the policy status, not from the source election. Root cause was a policy-key regression from Issue #2 (v58.29, 2026-07-23) which adopted source+C at width 11 and superseded the Issue #25 strip-9 crosswalk; reverse_cw_map was still built from the retired crosswalk New_Value column and resolved 0 of 5,083 live keys, so the PPBENTYP enrichment never fired.	2026-07-25	High — Go	Robert	Warren	2026-07-25	FIXED v58.33. Cache repointed to the source POLICY_NUMBER; 3,946 elections recovered (0/empty 4,683 to 737). Independently corroborated — all six Issue #57 client trace policies now carry exactly their specified value. Only MNFOPT changed on quikmstr; every other column byte-identical across all 5,083 policies. G7 met: validate_issue72_mnfopt_status v2.0 and validate_issue57_mnfopt v1.1 both PASS, accountability IN_DATA, quikmstr published to Output/Test_Validation. Consequences tracked under 108H. Detail: Issue_Log_Items/Issue_108/Issue_108_Resolution_Summary.md
108H	Open — Client Decision	NFO policies with no source election	Consequence of 108F and the Issue #72 downgrade. With the force removed, 277 of 400 ETI/RPU policies now show an election that does not match the policy status. 166 of those have no election in PPBENTYP at all and so emit MNFOPT 0, where previously they carried a forced 2 or 3. The remaining 111 carry an election that genuinely contradicts the status (12 ETI with APL, 55 RPU with APL, 44 RPU with ETI). All 277 are listed in QLA_Migration/Reports/nfo_election_status_mismatch.csv.	2026-07-25	Medium — Client	Robert	Warren		Decision needed: is a blank election acceptable on an ETI/RPU policy, or should a status-derived default be restored for the 166 missing-election policies only? The 111 genuine disagreements should be checked against LifePRO either way. Now reported two ways every run — the batch report plus governance rule DG-QUIKMSTR-031 (277 advisory warnings), and validate_issue72_mnfopt_status v2.0 asserts the report matches the output exactly. Detail: Issue_Log_Items/Issue_108/
109	Closed — Not a Defect	Issue #71 provisional status cache inert	Intake reported that the Issue #71 phase-1 provisional status cache resolved 0 of 5,194 keys, leaving the fix silently inactive and phase-1 MPHSTAT falling back to the post-Issue-#49 policy status. The suspected cause was the same Issue #2 policy-key regression as 108F and 110.	2026-07-25	Medium	Warren	Warren	2026-07-25	NOT A DEFECT — Issue #71 is working. Measured against v58.34: the cache holds 5,083 keys with 100% overlap against emitted MPOLICY. On the 36 policies where Issue #49 overrode the status (54 to 22 on 35, 50 to 22 on 1), phase-1 MPHSTAT carries the PROVISIONAL value on all 36 and the final status on 0 — exactly what Issue #71 was written to do. Intake analysed the fallback branch and missed that it is unreachable: MPOLICY is the first field written to row_data, so the primary branch always supplies the correct 11-character key. Block unchanged since v58.12 and not in the v58.32-34 diff, so nothing fixed it incidentally. No code change; the latent stale key in the dead fallback is documented for opportunistic cleanup rather than touched before Omaha. Detail: Issue_Log_Items/Issue_109/Issue_109_Planning_Report.md
110	Closed	MDIVOPT empty fleet-wide	QuikMstr MDIVOPT was 0 on all 5,083 policies. The dividend option is enriched from the PPBENTYP cache on the same code path as MNFOPT and failed for the same reason — reverse_cw_map is built from the retired crosswalk New_Value column and resolves no live keys after the Issue #2 key change. The dividend option was being dropped for the entire book.	2026-07-25	High	Warren	Warren	2026-07-25	FIXED v58.34. 811 dividend options recovered (4 on 479 policies, 3 on 292, 1 on 33, 2 on 7); the remaining 4,272 zeros are policies with no source value plus values that correctly translate to 0 via DV_. MDIVOPT is the only quikmstr column that moved; MNFOPT unchanged and quikridr byte-identical to v58.33. G7 met: new validate_issue110_mdivopt.py rebuilds the expected election from PPBENTYP rather than trusting the output and reconciles 5,083 of 5,083 with zero mismatches; accountability IN_DATA; quikmstr published to Output/Test_Validation. Expedited Intake to Development by user for the Omaha deadline; Planning/Risk done inline. Detail: Issue_Log_Items/Issue_110/Issue_110_Resolution_Summary.md
111	Closed — Not a Defect	PUA plans missing from QuikPlan; MPAR inherited	validate_issue105_mpar reported 493 quikridr rows where the plan is not marked participating in quikplan but MPAR is emitted as 1. All are PUA rider plans (1705PA, 1708PA, 1960PA, 221EPA, 2665PA, 280EPA). Intake framed this as a product-row orphan — a quikridr plan code with no quikplan entry — on the assumption that PUA coverages are supposed to have plan rows.	2026-07-25	Medium	Eric	Warren	2026-07-25	NOT A DEFECT — Warren confirmed 2026-07-25 that QLAdmin does not create plans for paid-up additions, so PUA codes correctly have no quikplan row. Emitted data was already right: all 6 unmatched codes are PUA and there are ZERO non-PUA plan codes without a product row, so nothing was hiding behind the failure; and all 493 PUA rows already carry the same PAR as the base plan they inherit from, with 0 disagreements. Validators only, no conversion code touched and no re-batch: validate_issue105_mpar v1.1 now resolves PUA participation through the policy phase-1 base plan (a real assertion, not a skip — non-PUA codes with no product row remain an error), and the accountability #105 spot-check got the same fix since it duplicated the lookup inline. Detection is narrow (6 chars ending PA) so the genuine 121PUA/165PUA/170PUA plans are untouched. This was the last accountability GAP belonging to an open issue: IN_DATA 36 to 38, GAP 11 to 9, and the remaining 9 are all the #112 stale-key class. Note the batch still logs P3E MPLAN AUTHORITY FAILED for the same rows — report-only, gates no emission, carve-out deferred to the 108G part-two release which already needs a batch. Detail: Issue_Log_Items/Issue_111/Issue_111_Resolution_Summary.md
113	Closed	Multi-source rate file load	Rate load must use all dated PAAGE/PAAGERAT/PDAGE extracts under QLA_Migration/Source. Prior resolver picked one hardcoded dated file per family and dropped rows only present in older drops; PAAGE was not wired.	2026-07-25	Go-No Go	Warren	Warren	2026-07-25	FIXED 2026-07-25. Discover all dated files per family; merge to Staging/*_dated_merged.csv with filename YYYYMMDD newest wins on duplicate keys; older-only keys kept. Wired via plan_source_paths + rate_pipeline; PAAGE included. Smoke: PAAGE 527 / PAAGERAT 31653 / PDAGE 352395 merged rows; unit tests 4/4 PASS. No app.py bump (qla_core only). Detail: Issue_Log_Items/Issue_113/Issue_113_Resolution_Summary.md
