POLICY_NUMBER,ORIG_LOAN_AMOUNT,LOAN_AMT_ADDED,LOAN_BALANCE,MLOANPRIN_STAGING,MLOANBAL_STAGING,BA_REVIEW_FLAG
9010300689,8202.29,-8202.29,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010310404,81.8,-81.8,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010331768,3522.25,184.86,3707.11,3707.11,3707.11,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010346921,1388.29,64.47,1452.76,1452.76,1452.76,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010363098,76.67,-76.59,0.08,0.08,0.08,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010367438,1575.62,-1575.62,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010374099,2274.18,-2274.18,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010376522,7753.11,-7753.11,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010376529,3482.37,-3482.37,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010377918,0.24,-0.24,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010378485,8945.64,-8945.64,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010380049,5034.98,265.0,5299.98,5299.98,5299.98,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010380627,149.77,7.88,157.65,157.65,157.65,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010381745,7199.96,-7199.96,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010382426,2580.02,118.29,2698.31,2698.31,2698.31,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010382520,89.31,-89.31,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010382931,339.1,-339.1,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010385636,13865.03,-13865.03,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010391004,3990.72,198.84,4189.56,4189.56,4189.56,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010391228,2188.14,-2188.14,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010391359,1859.45,-1859.45,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010391422,1538.84,-1538.84,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010391876,1544.26,-1544.26,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010391878,1515.31,-1515.31,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010391895,85.9,-85.9,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010392138,15687.1,-15687.1,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010392763,2090.62,-2090.62,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010393181,1714.79,-1714.79,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
9010395098,1114.12,-1114.12,0.0,0.00,0.00,MLOANPRIN=LOAN_BALANCE per Issue #32 v1.2
