reconstructed_claim_id,policy_number,claim_family,chain_status,funding_total,offset_total,payout_total,orphan_reason,allow_delayed_disbursement,confidence_level
RC-9010149834-1-SURRENDER_CLAIM-C0-20180302,9010149834,SURRENDER_CLAIM,FUNDED_NO_DISBURSEMENT,831.92,0.0,0.0,Funding/offset without payout linkage,Y,INFERRED
RC-9010150910-3-DEATH_CLAIM-C0-20200423,9010150910,DEATH_CLAIM,FUNDED_NO_DISBURSEMENT,127.52,0.0,0.0,Funding/offset without payout linkage,N,LOW_CONFIDENCE
RC-9010185592-1-SURRENDER_CLAIM-C0-20191211,9010185592,SURRENDER_CLAIM,FUNDED_NO_DISBURSEMENT,851.9,0.0,0.0,Funding/offset without payout linkage,Y,INFERRED
RC-9010331768-1-SURRENDER_CLAIM-C0-20180724,9010331768,SURRENDER_CLAIM,FUNDED_NO_DISBURSEMENT,0.0,602.44,0.0,Funding/offset without payout linkage,Y,INFERRED
RC-9010331768-1-SURRENDER_CLAIM-C1-20190724,9010331768,SURRENDER_CLAIM,FUNDED_NO_DISBURSEMENT,0.0,629.65,0.0,Funding/offset without payout linkage,Y,INFERRED
RC-9010331768-1-SURRENDER_CLAIM-C2-20200724,9010331768,SURRENDER_CLAIM,FUNDED_NO_DISBURSEMENT,0.0,634.15,0.0,Funding/offset without payout linkage,Y,INFERRED
RC-9010331768-1-SURRENDER_CLAIM-C3-20210724,9010331768,SURRENDER_CLAIM,FUNDED_NO_DISBURSEMENT,0.0,610.51,0.0,Funding/offset without payout linkage,Y,INFERRED
RC-9010331768-1-SURRENDER_CLAIM-C4-20220724,9010331768,SURRENDER_CLAIM,FUNDED_NO_DISBURSEMENT,0.0,635.4,0.0,Funding/offset without payout linkage,Y,INFERRED
RC-9010331768-1-SURRENDER_CLAIM-C5-20230721,9010331768,SURRENDER_CLAIM,FUNDED_NO_DISBURSEMENT,0.0,202.33,0.0,Funding/offset without payout linkage,Y,INFERRED
RC-9010331768-1-SURRENDER_CLAIM-C6-20240724,9010331768,SURRENDER_CLAIM,FUNDED_NO_DISBURSEMENT,0.0,603.83,0.0,Funding/offset without payout linkage,Y,INFERRED
RC-9010331768-1-SURRENDER_CLAIM-C7-20250724,9010331768,SURRENDER_CLAIM,FUNDED_NO_DISBURSEMENT,0.0,589.3,0.0,Funding/offset without payout linkage,Y,INFERRED
RC-9010346921-1-SURRENDER_CLAIM-C0-20181118,9010346921,SURRENDER_CLAIM,FUNDED_NO_DISBURSEMENT,0.0,70.9,0.0,Funding/offset without payout linkage,Y,INFERRED
RC-9010346921-1-SURRENDER_CLAIM-C1-20191118,9010346921,SURRENDER_CLAIM,FUNDED_NO_DISBURSEMENT,0.0,214.74,0.0,Funding/offset without payout linkage,Y,INFERRED
RC-9010346921-1-SURRENDER_CLAIM-C2-20201118,9010346921,SURRENDER_CLAIM,FUNDED_NO_DISBURSEMENT,0.0,218.24,0.0,Funding/offset without payout linkage,Y,INFERRED
RC-9010346921-1-SURRENDER_CLAIM-C3-20211118,9010346921,SURRENDER_CLAIM,FUNDED_NO_DISBURSEMENT,0.0,74.64,0.0,Funding/offset without payout linkage,Y,INFERRED
RC-9010346921-1-SURRENDER_CLAIM-C4-20221118,9010346921,SURRENDER_CLAIM,FUNDED_NO_DISBURSEMENT,0.0,224.83,0.0,Funding/offset without payout linkage,Y,INFERRED
RC-9010346921-1-SURRENDER_CLAIM-C5-20230221,9010346921,SURRENDER_CLAIM,FUNDED_NO_DISBURSEMENT,0.0,109.78,0.0,Funding/offset without payout linkage,Y,INFERRED
RC-9010346921-1-SURRENDER_CLAIM-C6-20231118,9010346921,SURRENDER_CLAIM,FUNDED_NO_DISBURSEMENT,0.0,204.43,0.0,Funding/offset without payout linkage,Y,INFERRED
RC-9010346921-1-SURRENDER_CLAIM-C7-20241118,9010346921,SURRENDER_CLAIM,FUNDED_NO_DISBURSEMENT,0.0,213.9,0.0,Funding/offset without payout linkage,Y,INFERRED
RC-9010346921-1-SURRENDER_CLAIM-C8-20251118,9010346921,SURRENDER_CLAIM,FUNDED_NO_DISBURSEMENT,0.0,208.75,0.0,Funding/offset without payout linkage,Y,INFERRED
RC-9010360289-1-SURRENDER_CLAIM-C0-20260401,9010360289,SURRENDER_CLAIM,FUNDED_NO_DISBURSEMENT,3129.06,0.0,0.0,Funding/offset without payout linkage,Y,INFERRED
RC-9010360290-1-SURRENDER_CLAIM-C0-20260326,9010360290,SURRENDER_CLAIM,FUNDED_NO_DISBURSEMENT,3104.07,0.0,0.0,Funding/offset without payout linkage,Y,INFERRED
RC-9010363098-1-SURRENDER_CLAIM-C0-20180201,9010363098,SURRENDER_CLAIM,FUNDED_NO_DISBURSEMENT,0.0,258.25,0.0,Funding/offset without payout linkage,Y,INFERRED
RC-9010363098-5-DEATH_CLAIM-C0-20220917,9010363098,DEATH_CLAIM,FUNDED_NO_DISBURSEMENT,2765.73,0.0,0.0,Funding/offset without payout linkage,N,LOW_CONFIDENCE
RC-9010367438-1-SURRENDER_CLAIM-C0-20180628,9010367438,SURRENDER_CLAIM,FUNDED_NO_DISBURSEMENT,0.0,74.67,0.0,Funding/offset without payout linkage,Y,INFERRED
RC-9010367438-1-SURRENDER_CLAIM-C1-20190701,9010367438,SURRENDER_CLAIM,FUNDED_NO_DISBURSEMENT,0.0,77.32,0.0,Funding/offset without payout linkage,Y,INFERRED
RC-9010367438-1-SURRENDER_CLAIM-C2-20200701,9010367438,SURRENDER_CLAIM,FUNDED_NO_DISBURSEMENT,0.0,81.39,0.0,Funding/offset without payout linkage,Y,INFERRED
RC-9010367438-1-SURRENDER_CLAIM-C3-20210701,9010367438,SURRENDER_CLAIM,FUNDED_NO_DISBURSEMENT,0.0,403.33,0.0,Funding/offset without payout linkage,Y,INFERRED
RC-9010367438-2-DEATH_CLAIM-C0-20211110,9010367438,DEATH_CLAIM,FUNDED_NO_DISBURSEMENT,2464.99,0.0,0.0,Funding/offset without payout linkage,N,LOW_CONFIDENCE
RC-9010367705-1-SURRENDER_CLAIM-C0-20250626,9010367705,SURRENDER_CLAIM,FUNDED_NO_DISBURSEMENT,3043.61,0.0,0.0,Funding/offset without payout linkage,Y,INFERRED
RC-9010368703-2-DEATH_CLAIM-C0-20210114,9010368703,DEATH_CLAIM,FUNDED_NO_DISBURSEMENT,6019.86,0.0,0.0,Funding/offset without payout linkage,N,LOW_CONFIDENCE
RC-9010371171-2-DEATH_CLAIM-C0-20240624,9010371171,DEATH_CLAIM,FUNDED_NO_DISBURSEMENT,6381.68,0.0,0.0,Funding/offset without payout linkage,N,LOW_CONFIDENCE
RC-9010373918-1-SURRENDER_CLAIM-C0-20210412,9010373918,SURRENDER_CLAIM,FUNDED_NO_DISBURSEMENT,11120.23,0.0,0.0,Funding/offset without payout linkage,Y,INFERRED
RC-9010374779-2-DEATH_CLAIM-C0-20200530,9010374779,DEATH_CLAIM,FUNDED_NO_DISBURSEMENT,4005.43,0.0,0.0,Funding/offset without payout linkage,N,LOW_CONFIDENCE
RC-9010376522-1-SURRENDER_CLAIM-C0-20181006,9010376522,SURRENDER_CLAIM,FUNDED_NO_DISBURSEMENT,0.0,1107.16,0.0,Funding/offset without payout linkage,Y,INFERRED
RC-9010376522-1-SURRENDER_CLAIM-C1-20191006,9010376522,SURRENDER_CLAIM,FUNDED_NO_DISBURSEMENT,0.0,1176.01,0.0,Funding/offset without payout linkage,Y,INFERRED
RC-9010376522-1-SURRENDER_CLAIM-C2-20201006,9010376522,SURRENDER_CLAIM,FUNDED_NO_DISBURSEMENT,0.0,1248.5,0.0,Funding/offset without payout linkage,Y,INFERRED
RC-9010376522-1-SURRENDER_CLAIM-C3-20211006,9010376522,SURRENDER_CLAIM,FUNDED_NO_DISBURSEMENT,5408.9,816.12,0.0,Funding/offset without payout linkage,Y,INFERRED
RC-9010376529-1-SURRENDER_CLAIM-C0-20180914,9010376529,SURRENDER_CLAIM,FUNDED_NO_DISBURSEMENT,0.0,2532.23,0.0,Funding/offset without payout linkage,Y,INFERRED
RC-9010376529-1-SURRENDER_CLAIM-C1-20190614,9010376529,SURRENDER_CLAIM,FUNDED_NO_DISBURSEMENT,2512.06,60.72,0.0,Funding/offset without payout linkage,Y,INFERRED
RC-9010376540-2-DEATH_CLAIM-C0-20181014,9010376540,DEATH_CLAIM,FUNDED_NO_DISBURSEMENT,7507.83,0.0,0.0,Funding/offset without payout linkage,N,LOW_CONFIDENCE
RC-9010377918-1-SURRENDER_CLAIM-C0-20250331,9010377918,SURRENDER_CLAIM,FUNDED_NO_DISBURSEMENT,15878.94,0.0,0.0,Funding/offset without payout linkage,Y,INFERRED
RC-9010378710-2-DEATH_CLAIM-C0-20210210,9010378710,DEATH_CLAIM,FUNDED_NO_DISBURSEMENT,1715.85,0.0,0.0,Funding/offset without payout linkage,N,LOW_CONFIDENCE
RC-9010378829-2-DEATH_CLAIM-C0-20210829,9010378829,DEATH_CLAIM,FUNDED_NO_DISBURSEMENT,2174.45,0.0,0.0,Funding/offset without payout linkage,N,LOW_CONFIDENCE
RC-9010379405-1-SURRENDER_CLAIM-C0-20230526,9010379405,SURRENDER_CLAIM,FUNDED_NO_DISBURSEMENT,7437.83,0.0,0.0,Funding/offset without payout linkage,Y,INFERRED
RC-9010380049-1-SURRENDER_CLAIM-C0-20181113,9010380049,SURRENDER_CLAIM,FUNDED_NO_DISBURSEMENT,0.0,189.9,0.0,Funding/offset without payout linkage,Y,INFERRED
RC-9010380049-1-SURRENDER_CLAIM-C1-20191113,9010380049,SURRENDER_CLAIM,FUNDED_NO_DISBURSEMENT,0.0,199.89,0.0,Funding/offset without payout linkage,Y,INFERRED
RC-9010380049-1-SURRENDER_CLAIM-C2-20201113,9010380049,SURRENDER_CLAIM,FUNDED_NO_DISBURSEMENT,0.0,989.66,0.0,Funding/offset without payout linkage,Y,INFERRED
RC-9010380049-1-SURRENDER_CLAIM-C3-20211113,9010380049,SURRENDER_CLAIM,FUNDED_NO_DISBURSEMENT,0.0,215.97,0.0,Funding/offset without payout linkage,Y,INFERRED
RC-9010380049-1-SURRENDER_CLAIM-C4-20221113,9010380049,SURRENDER_CLAIM,FUNDED_NO_DISBURSEMENT,0.0,774.1,0.0,Funding/offset without payout linkage,Y,INFERRED
RC-9010380049-1-SURRENDER_CLAIM-C5-20231113,9010380049,SURRENDER_CLAIM,FUNDED_NO_DISBURSEMENT,0.0,244.15,0.0,Funding/offset without payout linkage,Y,INFERRED
RC-9010380049-1-SURRENDER_CLAIM-C6-20241113,9010380049,SURRENDER_CLAIM,FUNDED_NO_DISBURSEMENT,0.0,735.82,0.0,Funding/offset without payout linkage,Y,INFERRED
RC-9010380049-1-SURRENDER_CLAIM-C7-20251113,9010380049,SURRENDER_CLAIM,FUNDED_NO_DISBURSEMENT,0.0,265.0,0.0,Funding/offset without payout linkage,Y,INFERRED
RC-9010380627-1-SURRENDER_CLAIM-C0-20181125,9010380627,SURRENDER_CLAIM,FUNDED_NO_DISBURSEMENT,0.0,2.3,0.0,Funding/offset without payout linkage,Y,INFERRED
RC-9010380627-1-SURRENDER_CLAIM-C1-20190813,9010380627,SURRENDER_CLAIM,FUNDED_NO_DISBURSEMENT,0.0,1.3,0.0,Funding/offset without payout linkage,Y,INFERRED
RC-9010380627-1-SURRENDER_CLAIM-C10-20251125,9010380627,SURRENDER_CLAIM,FUNDED_NO_DISBURSEMENT,0.0,7.88,0.0,Funding/offset without payout linkage,Y,INFERRED
RC-9010380627-1-SURRENDER_CLAIM-C2-20191125,9010380627,SURRENDER_CLAIM,FUNDED_NO_DISBURSEMENT,0.0,2.42,0.0,Funding/offset without payout linkage,Y,INFERRED
RC-9010380627-1-SURRENDER_CLAIM-C3-20200825,9010380627,SURRENDER_CLAIM,FUNDED_NO_DISBURSEMENT,0.0,42.7,0.0,Funding/offset without payout linkage,Y,INFERRED
RC-9010380627-1-SURRENDER_CLAIM-C4-20201125,9010380627,SURRENDER_CLAIM,FUNDED_NO_DISBURSEMENT,0.0,4.73,0.0,Funding/offset without payout linkage,Y,INFERRED
RC-9010380627-1-SURRENDER_CLAIM-C5-20211125,9010380627,SURRENDER_CLAIM,FUNDED_NO_DISBURSEMENT,0.0,4.98,0.0,Funding/offset without payout linkage,Y,INFERRED
