reconstructed_claim_id,policy_number,name_id,relate_code,benefit_seq,priority_rank,has_address,has_tax_id,payout_event_count,payee_distribution_status
RC-9010150740-1-DEATH_CLAIM-C0-20230509,9010150740,696234,B1,0,1,Y,Y,1,SINGLE_PAYEE_MATCH
RC-9010150740-1-DEATH_CLAIM-C0-20230509,9010150740,696235,B2,0,2,Y,Y,1,SINGLE_PAYEE_MATCH
RC-9010150740-1-DEATH_CLAIM-C0-20230509,9010150740,696236,B2,0,2,Y,Y,1,SINGLE_PAYEE_MATCH
RC-9010150740-1-DEATH_CLAIM-C0-20230509,9010150740,696237,B2,0,2,Y,Y,1,SINGLE_PAYEE_MATCH
RC-9010150910-1-DEATH_CLAIM-C0-20200423,9010150910,710185,B1,0,1,Y,Y,4,MULTI_BENEFICIARY_SPLIT
RC-9010150910-1-DEATH_CLAIM-C0-20200423,9010150910,710186,B1,0,1,Y,Y,4,MULTI_BENEFICIARY_SPLIT
RC-9010150910-1-DEATH_CLAIM-C0-20200423,9010150910,710187,B1,0,1,Y,Y,4,MULTI_BENEFICIARY_SPLIT
RC-9010150910-1-DEATH_CLAIM-C0-20200423,9010150910,710188,B1,0,1,Y,Y,4,MULTI_BENEFICIARY_SPLIT
RC-9010150910-3-DEATH_CLAIM-C0-20200423,9010150910,710185,B1,0,1,Y,Y,0,PAYEE_UNRESOLVED
RC-9010150910-3-DEATH_CLAIM-C0-20200423,9010150910,710186,B1,0,1,Y,Y,0,PAYEE_UNRESOLVED
RC-9010150910-3-DEATH_CLAIM-C0-20200423,9010150910,710187,B1,0,1,Y,Y,0,PAYEE_UNRESOLVED
RC-9010150910-3-DEATH_CLAIM-C0-20200423,9010150910,710188,B1,0,1,Y,Y,0,PAYEE_UNRESOLVED
RC-9010331157-1-DEATH_CLAIM-C0-20190315,9010331157,709555,B1,0,1,Y,Y,5,MULTI_BENEFICIARY_SPLIT
RC-9010331157-1-DEATH_CLAIM-C0-20190315,9010331157,709556,B1,0,1,Y,Y,5,MULTI_BENEFICIARY_SPLIT
RC-9010331157-1-DEATH_CLAIM-C0-20190315,9010331157,709557,B1,0,1,Y,Y,5,MULTI_BENEFICIARY_SPLIT
RC-9010331157-1-DEATH_CLAIM-C0-20190315,9010331157,709558,B1,0,1,Y,Y,5,MULTI_BENEFICIARY_SPLIT
RC-9010331157-1-DEATH_CLAIM-C0-20190315,9010331157,709559,B1,0,1,Y,Y,5,MULTI_BENEFICIARY_SPLIT
RC-9010335038-1-DEATH_CLAIM-C0-20180422,9010335038,581281,B1,0,1,Y,Y,1,SINGLE_PAYEE_MATCH
RC-9010335038-1-DEATH_CLAIM-C0-20180422,9010335038,696358,B2,0,2,Y,Y,1,SINGLE_PAYEE_MATCH
RC-9010363098-1-DEATH_CLAIM-C0-20220917,9010363098,696406,B1,0,1,Y,Y,1,SINGLE_PAYEE_MATCH
RC-9010363098-5-DEATH_CLAIM-C0-20220917,9010363098,696406,B1,0,1,Y,Y,0,PAYEE_UNRESOLVED
RC-9010367438-1-DEATH_CLAIM-C0-20211110,9010367438,696432,B1,0,1,Y,Y,3,MULTI_BENEFICIARY_SPLIT
RC-9010367438-1-DEATH_CLAIM-C0-20211110,9010367438,696433,B2,0,2,Y,Y,3,MULTI_BENEFICIARY_SPLIT
RC-9010367438-1-DEATH_CLAIM-C0-20211110,9010367438,711405,B2,0,2,Y,Y,3,MULTI_BENEFICIARY_SPLIT
RC-9010367438-1-DEATH_CLAIM-C0-20211110,9010367438,711406,B2,0,2,Y,Y,3,MULTI_BENEFICIARY_SPLIT
RC-9010367438-2-DEATH_CLAIM-C0-20211110,9010367438,696432,B1,0,1,Y,Y,0,PAYEE_UNRESOLVED
RC-9010367438-2-DEATH_CLAIM-C0-20211110,9010367438,696433,B2,0,2,Y,Y,0,PAYEE_UNRESOLVED
RC-9010367438-2-DEATH_CLAIM-C0-20211110,9010367438,711405,B2,0,2,Y,Y,0,PAYEE_UNRESOLVED
RC-9010367438-2-DEATH_CLAIM-C0-20211110,9010367438,711406,B2,0,2,Y,Y,0,PAYEE_UNRESOLVED
RC-9010368703-1-DEATH_CLAIM-C0-20210114,9010368703,696436,B1,0,1,Y,Y,1,SINGLE_PAYEE_MATCH
RC-9010368703-1-DEATH_CLAIM-C0-20210114,9010368703,696437,B2,0,2,Y,Y,1,SINGLE_PAYEE_MATCH
RC-9010368703-2-DEATH_CLAIM-C0-20210114,9010368703,696436,B1,0,1,Y,Y,0,PAYEE_UNRESOLVED
RC-9010368703-2-DEATH_CLAIM-C0-20210114,9010368703,696437,B2,0,2,Y,Y,0,PAYEE_UNRESOLVED
RC-9010371171-1-DEATH_CLAIM-C0-20240624,9010371171,696442,B1,0,1,Y,Y,1,SINGLE_PAYEE_MATCH
RC-9010371171-1-DEATH_CLAIM-C0-20240624,9010371171,696443,B2,0,2,Y,Y,1,SINGLE_PAYEE_MATCH
RC-9010371171-1-DEATH_CLAIM-C0-20240624,9010371171,696444,B2,0,2,Y,Y,1,SINGLE_PAYEE_MATCH
RC-9010371171-2-DEATH_CLAIM-C0-20240624,9010371171,696442,B1,0,1,Y,Y,0,PAYEE_UNRESOLVED
RC-9010371171-2-DEATH_CLAIM-C0-20240624,9010371171,696443,B2,0,2,Y,Y,0,PAYEE_UNRESOLVED
RC-9010371171-2-DEATH_CLAIM-C0-20240624,9010371171,696444,B2,0,2,Y,Y,0,PAYEE_UNRESOLVED
RC-9010374779-1-DEATH_CLAIM-C0-20200530,9010374779,696461,B1,0,1,Y,Y,1,SINGLE_PAYEE_MATCH
RC-9010374779-1-DEATH_CLAIM-C0-20200530,9010374779,702145,B2,0,2,Y,Y,1,SINGLE_PAYEE_MATCH
RC-9010374779-2-DEATH_CLAIM-C0-20200530,9010374779,696461,B1,0,1,Y,Y,0,PAYEE_UNRESOLVED
RC-9010374779-2-DEATH_CLAIM-C0-20200530,9010374779,702145,B2,0,2,Y,Y,0,PAYEE_UNRESOLVED
RC-9010376540-1-DEATH_CLAIM-C0-20181014,9010376540,701011,B1,0,1,Y,Y,2,MULTI_BENEFICIARY_SPLIT
RC-9010376540-1-DEATH_CLAIM-C1-20190220,9010376540,701011,B1,0,1,Y,Y,1,SINGLE_PAYEE_MATCH
RC-9010376540-2-DEATH_CLAIM-C0-20181014,9010376540,701011,B1,0,1,Y,Y,0,PAYEE_UNRESOLVED
RC-9010378710-1-DEATH_CLAIM-C0-20210210,9010378710,696488,B1,0,1,Y,N,1,SINGLE_PAYEE_MATCH
RC-9010378710-2-DEATH_CLAIM-C0-20210210,9010378710,696488,B1,0,1,Y,N,0,PAYEE_UNRESOLVED
RC-9010378829-1-DEATH_CLAIM-C0-20210829,9010378829,600763,B1,0,1,Y,Y,1,SINGLE_PAYEE_MATCH
RC-9010378829-1-DEATH_CLAIM-C0-20210829,9010378829,600767,B2,0,2,Y,Y,1,SINGLE_PAYEE_MATCH
RC-9010378829-2-DEATH_CLAIM-C0-20210829,9010378829,600763,B1,0,1,Y,Y,0,PAYEE_UNRESOLVED
RC-9010378829-2-DEATH_CLAIM-C0-20210829,9010378829,600767,B2,0,2,Y,Y,0,PAYEE_UNRESOLVED
RC-9010382520-1-DEATH_CLAIM-C0-20200820,9010382520,696555,B1,0,1,Y,Y,1,SINGLE_PAYEE_MATCH
RC-9010382520-1-DEATH_CLAIM-C0-20200820,9010382520,696556,B2,0,2,Y,Y,1,SINGLE_PAYEE_MATCH
RC-9010382520-3-DEATH_CLAIM-C0-20200820,9010382520,696555,B1,0,1,Y,Y,0,PAYEE_UNRESOLVED
RC-9010382520-3-DEATH_CLAIM-C0-20200820,9010382520,696556,B2,0,2,Y,Y,0,PAYEE_UNRESOLVED
RC-9010382931-1-DEATH_CLAIM-C0-20220210,9010382931,696558,B1,0,1,Y,Y,1,SINGLE_PAYEE_MATCH
RC-9010382931-2-DEATH_CLAIM-C0-20220210,9010382931,696558,B1,0,1,Y,Y,0,PAYEE_UNRESOLVED
RC-9010385491-1-DEATH_CLAIM-C0-20190501,9010385491,710975,B1,0,1,Y,Y,4,MULTI_BENEFICIARY_SPLIT
RC-9010385491-1-DEATH_CLAIM-C0-20190501,9010385491,696568,B2,0,2,Y,Y,4,MULTI_BENEFICIARY_SPLIT
RC-9010385491-1-DEATH_CLAIM-C0-20190501,9010385491,696569,B2,0,2,Y,Y,4,MULTI_BENEFICIARY_SPLIT
RC-9010385491-1-DEATH_CLAIM-C0-20190501,9010385491,696570,B2,0,2,Y,Y,4,MULTI_BENEFICIARY_SPLIT
RC-9010385491-1-DEATH_CLAIM-C1-20210707,9010385491,710975,B1,0,1,Y,Y,1,SINGLE_PAYEE_MATCH
RC-9010385491-1-DEATH_CLAIM-C1-20210707,9010385491,696568,B2,0,2,Y,Y,1,SINGLE_PAYEE_MATCH
RC-9010385491-1-DEATH_CLAIM-C1-20210707,9010385491,696569,B2,0,2,Y,Y,1,SINGLE_PAYEE_MATCH
RC-9010385491-1-DEATH_CLAIM-C1-20210707,9010385491,696570,B2,0,2,Y,Y,1,SINGLE_PAYEE_MATCH
RC-9010385491-2-DEATH_CLAIM-C0-20190501,9010385491,710975,B1,0,1,Y,Y,0,PAYEE_UNRESOLVED
