CHECK,RESULT,DETAIL
rowcount_quikmstr,PASS,got=5083 expected=5083
rowcount_quikridr,PASS,got=6934 expected=6934
rowcount_quikprmh,PASS,got=209470 expected=209470
rowcount_quikplan,PASS,got=141 expected=141
rowcount_quikclid,PASS,got=34449 expected=34449
rowcount_quikclnt,PASS,got=13597 expected=13597
rowcount_quikbenf,PASS,got=5916 expected=5916
rowcount_quikdvdp,PASS,got=5083 expected=5083
rowcount_quikagts,PASS,got=4843 expected=4843
schema_field_order,PASS,after=45 base=45
fleet_MSTATUS_unchanged,PASS,drift=0
fleet_MDIVOPT_unchanged,PASS,drift=0
option_b_mnfopt_match,PASS,mismatches=0
mnfopt_changed_count,PASS,changed=2721
eric_010367131C,PASS,got=2 want=2
eric_010148272C,PASS,got=2 want=2
eric_010143726C,PASS,got=2 want=2
eric_010392763C,PASS,got=3 want=3
eric_011221309C,PASS,got=1 want=1
issue25_mpolicy_width,PASS,not_len10=0
issue26_mprem_010310404C,PASS,MPREM=13.20000 want=13.20
issue26_mprem_010331768C,PASS,MPREM=10.96000 want=10.96
issue26_mprem_010367131C,PASS,MPREM=9.12000 want=9.12
trans_NF_1,PASS,got=1
trans_NF_2,PASS,got=1
trans_NF_9,PASS,got=0
trans_NF_3,PASS,got=1
trans_NF_4,PASS,got=2
trans_NF_5,PASS,got=3
rulebook_no_PUT_MNFOPT,PASS,
put_le_010516211C,PASS,MSTATUS=54 MNFOPT=0 LP=0
put_le_010761450C,PASS,MSTATUS=54 MNFOPT=0 LP=0
put_le_010764158C,PASS,MSTATUS=44 MNFOPT=0 LP=0
