MPOLICY,LIFEPRO,LP_CODE,TYPE_CODE,SOURCE_FIELD,PAID_UP_TYPE,BEFORE_MNFOPT,PRED_BEFORE,AFTER_MNFOPT,CHANGED,MDIVOPT,MSTATUS
010143726C,9010143726,4,BA,NF,,0,0,2,Y,1,22
010148272C,9010148272,4,BA,NF,,0,0,2,Y,3,22
010148856C,9010148856,4,BA,NF,,0,0,2,Y,3,22
010149295C,9010149295,4,BA,NF,ET,2,2,2,N,0,44
010149834C,9010149834,4,BA,NF,,0,0,2,Y,3,55
010150031C,9010150031,4,BA,NF,ET,2,2,2,N,0,57
010150740C,9010150740,4,BA,NF,,0,0,2,Y,3,53
010150910C,9010150910,4,BA,NF,,0,0,2,Y,4,53
010154425C,9010154425,4,BA,NF,,0,0,2,Y,3,57
010157076C,9010157076,4,BA,NF,,0,0,2,Y,3,22
010158001C,9010158001,4,BA,NF,,0,0,2,Y,3,22
010161748C,9010161748,4,BA,NF,,0,0,2,Y,3,22
010165095C,9010165095,4,BA,NF,RU,3,3,3,N,0,45
010171334C,9010171334,4,BA,NF,PU,0,0,0,N,0,41
010185592C,9010185592,4,BA,NF,PU,0,0,0,N,0,55
010235370C,9010235370,1,BA,NF,,1,1,1,N,4,57
010264207C,9010264207,1,BA,NF,,1,1,1,N,4,22
010300689C,9010300689,1,BA,NF,ET,2,2,2,N,3,57
010310404C,9010310404,1,BA,NF,,1,1,1,N,4,22
010331157C,9010331157,1,BA,NF,,1,1,1,N,3,53
010331768C,9010331768,4,BA,NF,,0,0,2,Y,4,22
010335038C,9010335038,1,BA,NF,,1,1,1,N,3,53
010335095C,9010335095,4,BA,NF,,0,0,2,Y,4,57
010346921C,9010346921,1,BA,NF,,1,1,1,N,3,22
010348734C,9010348734,1,BA,NF,,1,1,1,N,1,22
010350577C,9010350577,1,BA,NF,,1,1,1,N,4,22
010360289C,9010360289,4,BA,NF,,0,0,2,Y,4,55
010360290C,9010360290,4,BA,NF,,0,0,2,Y,4,55
010363098C,9010363098,1,BA,NF,,1,1,1,N,4,53
010367131C,9010367131,4,BA,NF,,0,0,2,Y,4,22
010367132C,9010367132,4,BA,NF,,0,0,2,Y,4,22
