relative_path,file_size,sha256,expected_to_change
qla_core/__init__.py,265,c7d5465d1161417f5b9fee09c0611b715c5d000e1f2da6f44a00b87d2a2fc49e,Y
qla_core/claims_emit_enhancements.py,16164,2bbf2532d627f5bd3c89af85ccfe1972d0e688471d744ca830be40840db7753e,N
qla_core/crosswalk_enrichment.py,4923,9f042c1038352c600b84d0674e5ac13900ccd61d7a815e36dec25be65f0f7de5,N
qla_core/cso_mortality_crosswalk.py,10021,e37319270d9429a575e8b5f2b14a367210ba04d9d1fe616232fc246d105ad54a,N
qla_core/cv_inheritance_loader.py,8184,aa269e698c1da58a4a720781ea89e27a42ea3496b89a8b7eb4f12bfd4f9d3341,N
qla_core/issue21_open_item_decisions.py,10049,417b1b3778e35477f5483cd380bee3effdd42380bfd0f72c94aa910d365fa724,N
qla_core/issue21f_premium_adjustment.py,14864,0becc6c971edcb888d4b1f5c428292f8f29d3ab66808642f24e2d93f7e85d7fb,N
qla_core/lifepro_source_resolver.py,13684,06e3448a6b394df65e99009461ea700ea1f2903858106c0f9fd67d867303ff25,N
qla_core/lookup_loader.py,1818,33f9dfe70da4879bcdfc4b29176c9cb1d414e457398a38bc92ed2010f1910847,N
qla_core/modal_premium_factors.py,14597,7a913a51334a859310c62cd2b7963a070cbec26a158ae7dfe48c018d200d7b6f,N
qla_core/mplan_authority.py,16347,e6df72f2a3bb538d852bb9bdb198706ee27d771f74cca78381376f79f6b336a6,N
qla_core/non_product_row_governance.py,6147,75a4f9b4f8e3d46530b7cdf7c209df98257393c9cd48ef7d5bf65b45dec1874c,N
qla_core/normalize_utils.py,1169,e36ac8fdc3a5793a2a84a1a866e3b9130426bf430d3b54fa982e9e43abf28f98,N
qla_core/p3g_completeness.py,11488,fdab48867cd1edfa6ef352793cda5e1fe29f413f46f3c273e7e5f758de45092e,N
qla_core/paagerat_bp_loader.py,3106,d824bf2d3f61353f8806cf67ead8b6b1dc93450c6bdf756b2a1bc99bbf37ab84,N
qla_core/paagerat_pr_loader.py,10301,51bda9ce80160a7a1d2d07023ed231e0e33c1e8c6f25b9bce27b274ac069ab8d,N
qla_core/paagerat_ul_coi_loader.py,11285,054f75e69f5521e6adf88fd2c8885ba93d516c08a8864e35fc3714da9cf6b677,N
qla_core/plan_source_paths.py,2292,69ed0dae1300161cdfdc832d8ce875f7e5651053737390fdc761a4806f652d9a,N
qla_core/product_authority_diagnostics.py,23597,b4b85106110238e08640a3bb4cd2d3cd4d4d1d6e0acf558317c69c9a8498424c,N
qla_core/product_business_test_cut.py,22357,3e334b31907eff7117a1b737abdab567d717b6574cfd5f72904ae724dc4162a9,N
qla_core/product_catalog_authority.py,18721,cabd417cd51ec41a230dc38721c3d76f91a794d08295390c9042a3b803542c57,N
