mpolicy,claimstat,mpaid,mface,dividends,loan,netdb,premium,suspense,mintrate,mintamt,adjust,pddate_blank,payee_rows,payee_sum,mpaid_payee_delta,recon_class
010154425C,99,0.0,0.0,0.0,0.0,2107.95,0.0,0.0,0.0,0.0,0.0,Y,1,2107.95,-2107.95,HEADER_ZERO_HAS_PAYEE
010235370C,99,0.0,0.0,0.0,0.0,3517.03,0.0,0.0,0.0,0.0,0.0,Y,1,3517.03,-3517.03,HEADER_ZERO_HAS_PAYEE
010335095C,99,0.0,0.0,0.0,0.0,2474.02,0.0,0.0,0.0,0.0,0.0,Y,1,2474.02,-2474.02,HEADER_ZERO_HAS_PAYEE
010348734C,99,0.0,0.0,0.0,0.0,56.85,0.0,0.0,0.0,0.0,0.0,Y,1,56.85,-56.85,HEADER_ZERO_HAS_PAYEE
010391359C,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,1,1260.06,-1260.06,HEADER_ZERO_HAS_PAYEE
010392493C,99,3422.27,0.0,0.0,0.0,18738.3,0.0,0.0,0.0,0.0,0.0,Y,3,18738.3,-15316.03,MISMATCH
010393181C,99,2685.0,0.0,0.0,0.0,2393.21,0.0,0.0,0.0,0.0,0.0,Y,1,2393.21,291.79,MISMATCH
010393931C,99,9141.86,0.0,0.0,0.0,9141.86,0.0,0.0,0.0,0.0,0.0,Y,3,27425.58,-18283.72,MISMATCH
010397118C,99,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,Y,1,30.0,-30.0,HEADER_ZERO_HAS_PAYEE
010397318C,2,3626.03,3626.03,0.0,0.0,3626.03,0.0,0.0,0.0,0.0,0.0,N,2,3626.03,0.0,MATCH
010402010C,2,10700.73,10700.73,0.0,0.0,10700.73,0.0,0.0,0.0,1780.58,0.0,N,1,8920.15,1780.58,MISMATCH
010402014C,2,4290.22,4290.22,0.0,0.0,4290.22,0.0,0.0,0.0,0.0,0.0,N,1,4290.22,0.0,MATCH
010403109C,99,0.0,0.0,0.0,0.0,24.42,0.0,0.0,0.0,0.0,0.0,Y,1,24.42,-24.42,HEADER_ZERO_HAS_PAYEE
