POLICY_NUMBER,BANK_ROUTING_NUMBER
010157076C,10491013
010158001C,9290168
010161748C,09130385
010348734C,08151811
010350577C,9140844
010367704C,10490280
010371356C,09140851
010374837C,07392208
010374838C,07392208
010379477C,10110468
010379478C,10110468
010380550C,10190798
010391411C,10410261
010391582C,10490884
010391840C,10210131
010391876C,073914864
010391878C,073914864
010392117C,10400001
010395211C,08100021
010395411C,10490171
010397118C,7392243
010397493C,8290087
010398471C,104913912
010401210C,10190551
010402105C,10190551
010403117C,10210136
010403222C,08151772
010405440C,7390872
010407023C,8290257
010407670C,08150635
010407925C,10110535
010410616C,07392143
010411920C,08410141
010412525C,07392143
010413421C,07391837
010419054C,08300131
010427456C,08390389
010428747C,10700503
010430017C,4420250
010430993C,4210289
010431510C,8150701
010433630C,04410716
010434421C,04210594
010434422C,04210594
010434544C,4420250
010434659C,04210594
010435609C,09140945
010436082C,04210594
010436083C,04210594
010436541C,101100223
010436959C,04210325
010437076C,10191630
010438063C,04210594
010438073C,07111290
010438525C,10410162
010438554C,04210594
010439128C,07392116
010439999C,9140846
010440000C,9140846
010440371C,07111290
010440631C,09140227
010443296C,04210017
010443432C,10110468
010443433C,10110468
010444917C,042101475
010447475C,29147935
010448828C,04210014
010449013C,8200764
010449417C,30117837
010450174C,9140717
010450809C,9140717
010450811C,9140717
010450906C,07300022
010451148C,7590057
010451149C,7590057
010451385C,09130113
010451650C,09130664
010452575C,7391845
010457623C,10120186
010459814C,09130164
010462057C,07110207
010463553C,09140226
010466706C,7590057
010467025C,09130002
010468945C,09140226
010469579C,9131076
010474317C,09140048
010474318C,09140048
010480683C,09140004
010483386C,09140948
010484578C,09100002
010495120C,09140869
010499349C,4120274
010503391C,30408344
010506408C,09140851
010516466C,09140776
010518051C,09140851
010518545C,09140951
010520451C,10121751
010524282C,7590057
010527102C,9130504
010527103C,9130504
010529993C,28658287
010540774C,9140851
010540781C,32507076
010546964C,09140055
010547021C,09140114
010552856C,09140850
010555054C,10191151
010555714C,10491391
010556736C,09140846
010565013C,09140004
010580685C,29148004
010598049C,09140817
010598050C,09140817
010615191C,09140817
010615192C,09140817
010718309C,08151809
010721849C,10190551
