PLAN,FORM,DESCR,PAR,SEX,BASIS,NFOINT,LOANINT,LOANINTX,DEPINT,VARDB,VARGP,LOAGE,HIAGE,RENEW,PAYYRS,PAYAGE,INSYRS,INSAGE,ANNL,SEMI,QTRL,MTHD,MTHB,ANNLFEE,SEMIFEE,QTRLFEE,MTHDFEE,MTHBFEE,INITVAL,MKTG,PRODUCT,CALCADV,COMMID,MINUNIT,MAXUNIT,BPOLFEE,BACTIVE,RRULE,AGTRSV,AUTONFO,PLANTYPE,INTMETHTV,INTMETHCV,DEFICIENCY,HDEDMETHOD,PLANVALOPT,GDVARYGP,GDVARYDB,GDVARYCV,GDVARYTV,GDVARYDV,UWVARYGP,UWVARYDB,UWVARYCV,UWVARYTV,UWVARYDV,BDVARYGP,BDVARYDB,BDVARYCV,BDVARYTV,BDVARYDV,STVARYGP,STVARYDB,STVARYCV,STVARYTV,STVARYDV,CONVCOMM,PLANNAME,HRENEW,HLOB,HCOMMIP,HRIGPKEY,SIMPLEINT,MLAPSE,MNOTE10,MNAICLOB,MNFOANNV,MGTDANNV
920ADB,0822 620,ACCIDENTAL DEATH BENEFIT,1,,,,0.00,A,0.00,0,4,15,55,N,00,65,00,65,100.0000,51.0140,26.0010,8.9964,8.9989,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,03,N,,1,200,,N,B,0.00,0,,,A,N,,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,N,N,N,N,,ACCIDENTAL DB - 621 END85,,,F,F,,0,,NAPLAN,,
965ADB,0822 665,ACCIDENTAL DEATH BENEFIT,1,,,,0.00,A,0.00,0,4,15,50,N,00,65,00,65,100.0000,52.0025,26.4963,9.0001,9.0001,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,03,N,,1,200,,N,B,0.00,0,,,A,N,,Y,Y,Y,Y,Y,Y,N,N,N,N,N,Y,Y,Y,Y,Y,Y,N,N,N,N,,ACCIDENTAL DB - 665 STME95,,,F,F,,0,,NAPLAN,,
960ADB,0822 960,ACCIDENTAL DEATH BENEFIT,1,,,,0.00,A,0.00,0,4,00,65,N,00,65,00,65,100.0000,51.9988,26.5028,9.0021,8.6957,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,03,N,,1,200,,N,B,0.00,0,,,A,N,,Y,Y,Y,Y,Y,Y,N,N,N,N,N,Y,Y,Y,Y,Y,Y,N,N,N,N,,"ACCIDENTAL DB - 960 LP85-M, 960 OL",,,F,F,,0,,NAPLAN,,
9POADB,0822 960PO,ACCIDENTAL DEATH BENEFIT,1,,,,0.00,A,0.00,0,4,15,55,N,00,65,00,65,100.0000,51.9988,26.5028,9.0021,8.6957,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,03,N,,1,200,,N,B,0.00,0,,,A,N,,Y,Y,Y,Y,Y,Y,N,N,N,N,N,Y,Y,Y,Y,Y,Y,N,N,N,N,,ACCIDENTAL DEATH BENEFIT - 960 PO,,,F,F,,0,,NAPLAN,,
9665WP,0823 665,WAIVER OF PREMIUM,1,,,,0.00,A,0.00,0,4,15,50,N,00,60,00,60,100.0000,52.0025,26.4963,9.0001,9.0001,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,10,N,,1,10,,N,B,0.00,0,,,A,N,,Y,Y,Y,Y,Y,Y,N,N,N,N,N,Y,Y,Y,Y,Y,Y,N,N,N,N,,WAIVER OF PREM - 665 STME95,,,F,F,,0,,NAPLAN,,
9896WP,0823 896,WAIVER OF PREMIUM,1,,,,0.00,A,0.00,0,4,15,50,N,00,60,00,60,100.0000,52.0025,26.4963,9.0001,9.0001,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,10,N,,1,1,,N,B,0.00,0,,,A,N,,Y,Y,Y,Y,Y,Y,N,N,N,N,N,Y,Y,Y,Y,Y,Y,N,N,N,N,,WAIVER OF PREMIUM - 665 STME95,,,F,F,,0,,NAPLAN,,
9085WP,0823 96085,WAIVER OF PREMIUM - LPU AT 85/88,1,,,,0.00,A,0.00,0,4,15,55,N,00,60,00,60,100.0000,51.9988,26.5028,9.0021,8.6957,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,03,N,,1,200,,N,B,0.00,0,,,A,N,,Y,Y,Y,Y,Y,Y,N,N,N,N,N,Y,Y,Y,Y,Y,Y,N,N,N,N,,WAIVER OF PREMIUM - 960 LP85-M,,,F,F,,0,,NAPLAN,,
960CWP,0823 960CH,WAIVER OF PREMIUM - CHILD,1,,,,0.00,A,0.00,0,4,00,17,N,00,60,00,60,100.0000,51.9988,26.5028,9.0021,8.6957,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,03,N,,1,200,,N,B,0.00,0,,,A,N,,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,N,N,N,N,,WAIVER OF PREMIUM - CHILD,,,F,F,,0,,NAPLAN,,
9065WP,0823 960LP,WAIVER OF PREMIUM,1,,,,0.00,A,0.00,0,4,00,55,N,00,60,00,60,100.0000,51.9988,26.5028,9.0021,8.6957,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,03,N,,1,200,,N,B,0.00,0,,,A,N,,Y,Y,Y,Y,Y,Y,N,N,N,N,N,Y,Y,Y,Y,Y,Y,N,N,N,N,,WAIVER OF PREMIUM - 960 LP65,,,F,F,,0,,NAPLAN,,
90OLWP,0823 960OL,WAIVER OF PREMIUM,1,,,,0.00,A,0.00,0,4,15,55,N,00,60,00,60,100.0000,51.9988,26.5028,9.0021,8.6957,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,03,N,,1,200,,N,B,0.00,0,,,A,N,,Y,Y,Y,Y,Y,Y,N,N,N,N,N,Y,Y,Y,Y,Y,Y,N,N,N,N,,WAIVER OF PREMIUM - 960 OL,,,F,F,,0,,NAPLAN,,
90POWP,0823 960PO,WAIVER OF PREMIUM,1,,,,0.00,A,0.00,0,4,15,55,N,00,60,00,60,100.0000,51.9988,26.5028,9.0021,8.6957,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,03,N,,1,200,,N,B,0.00,0,,,A,N,,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,N,N,N,N,,WAIVER OF PREMIUM - 960 PO,,,F,F,,0,,NAPLAN,,
960SWP,0823 960SP,WAIVER OF PREMIUM - SPOUSE,1,,,,0.00,A,0.00,0,4,00,55,N,00,60,00,60,100.0000,51.9988,26.5028,9.0021,8.6957,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,03,N,,1,200,,N,B,0.00,0,,,A,N,,Y,Y,Y,Y,Y,Y,N,N,N,N,N,Y,Y,Y,Y,Y,Y,N,N,N,N,,"SPOUSE WAIV OF PREM - 960 LP85-M, 960 PO",,,F,F,,0,,NAPLAN,,
94PDIS,0824 P DIS,& PAYOR DISABILITY RIDER,1,,,,0.00,A,0.00,0,4,00,55,N,25,00,25,00,100.0000,51.9988,26.5028,9.0021,8.6957,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,03,N,,2,10,,N,B,0.00,0,,,A,N,,N,0,0,,,,,,,,,,,,,,,,,,,,& PAYOR DISABILITY RIDER,,,F,F,,0,,NAPLAN,,
90PDTH,0824 P DTH,PAYOR DEATH,1,,,,0.00,A,0.00,0,4,00,55,N,25,00,25,00,100.0000,52.0039,26.4956,9.0030,8.6960,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,03,N,,1,1,,N,B,0.00,0,,,A,N,,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,N,N,N,N,,PAYOR DEATH - 960 OL,,,F,F,,0,,NAPLAN,,
17CSI3,10827 CSI3,CSI LIFE $3000,0,,,F,0.00,A,0.00,2,4,46,75,N,00,100,00,100,100.0000,50.0000,25.0026,8.3307,8.3307,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,19,N,,3,3,,N,B,0.00,0,,,0,N,,Y,Y,Y,Y,Y,Y,N,N,N,N,N,Y,Y,Y,Y,Y,Y,N,N,N,N,,GRADED DEATH BENEFIT WL - 100% AFTER YR2,,,F,F,,0,,NAPLAN,,
17CSI5,10827 CSI5,CSI LIFE $5000,0,,,F,7.40,A,0.00,2,4,46,75,N,00,100,00,100,100.0000,50.0021,24.9989,8.3344,8.3344,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,19,N,,5,5,,N,B,0.00,0,,,0,N,,Y,Y,Y,Y,Y,Y,N,N,N,N,N,Y,Y,Y,Y,Y,Y,N,N,N,N,,GRADED DEATH BENEFIT WL - 100% AFTER YR2,,,F,F,,0,,NAPLAN,,
17CSI7,10827 CSI7,CSI LIFE $7500,0,,,F,7.40,A,0.00,2,4,46,75,N,00,100,00,100,100.0000,50.0000,24.9980,8.3327,8.3327,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,19,N,,7,8,,N,B,0.00,0,,,0,N,,Y,Y,Y,Y,Y,Y,N,N,N,N,N,Y,Y,Y,Y,Y,Y,N,N,N,N,,GRADED DEATH BENEFIT WL - 100% AFTER YR2,,,F,F,,0,,NAPLAN,,
1CSIMN,10827 MN5K,CSI LIFE MN $5000,0,,,F,0.00,A,0.00,2,4,46,75,N,00,100,00,100,100.0000,50.0000,25.0026,8.3307,8.3307,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,19,N,,5,5,,N,B,0.00,0,,,0,N,,Y,Y,Y,Y,Y,Y,N,N,N,N,N,Y,Y,Y,Y,Y,Y,N,N,N,N,,CSI LIFE MN $5000,,,F,F,,0,,NAPLAN,,
976658,1576 658,DISABILITY WAIVER OF PREMIUM RIDER,0,,,,0.00,A,0.00,0,4,15,55,N,00,60,00,60,100.0000,52.5000,27.0000,9.1999,8.8018,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,10,N,,25000,1000000,,N,B,0.00,0,,,A,N,,N,0,0,,,,,,,,,,,,,,,,,,,,DISABILITY WAIVER OF PREM - 658 CEN I,,,F,F,,0,,NAPLAN,,
976659,1576 659,DISABILITY WAIVER OF PREMIUM RIDER,0,,,,0.00,A,0.00,0,4,15,55,N,00,60,00,60,100.0000,52.5000,27.0000,9.1999,8.8018,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,10,N,,25000,1000000,,N,B,0.00,0,,,A,N,,Y,Y,Y,Y,Y,Y,N,N,N,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,,DISABILITY WAIVER OF PREM - 659 CEN II,,,F,F,,0,,NAPLAN,,
977ADB,1577 ADB,ACCIDENTAL DEATH BENEFIT RIDER,0,,,,0.00,A,0.00,0,4,15,60,N,00,65,00,65,100.0000,52.5000,27.0000,9.1999,8.8018,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,03,N,,25000,200000,,N,B,0.00,0,,,A,N,,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,N,N,N,N,,"ACCIDENTAL DB - 658 CEN I, 659 CEN II",,,F,F,,0,,NAPLAN,,
578CTR,1578 CTR,DEPENDENT CHILD TERM RIDER,0,,,,0.00,A,0.00,0,4,00,24,N,00,25,00,25,100.0000,52.5047,27.0032,9.1987,8.7971,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,06,N,,1,3,,N,B,0.00,0,,,A,N,,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,N,N,N,N,,DEPENDENT CTR - 658 CEN I,,,F,F,,0,,NAPLAN,,
778FTR,1578 FTR,FAMILY TERM RIDER,0,,,,0.00,A,0.00,0,4,18,59,N,00,65,00,65,100.0000,52.5047,27.0032,9.1987,8.7971,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,06,N,,1,3,,N,B,0.00,0,,,A,N,,Y,N,N,N,N,N,N,N,N,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,,"FTR - 658 CEN I, 658 CEN SD, 659 CEN II",,,F,F,,0,,NAPLAN,,
578STR,1578 SPSPU,PAID UP SPOUSE TERM RIDER,0,,,,0.00,A,0.00,3,4,18,65,N,00,65,00,65,100.0000,52.5000,27.0000,9.1999,8.8018,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,06,N,,1,3,,N,B,0.00,0,,,A,N,,Y,Y,Y,Y,Y,Y,N,N,N,N,N,Y,Y,Y,Y,Y,Y,N,N,N,N,,PAID UP SPOUSE TERM RIDER,,,F,F,,0,,NAPLAN,,
