MPOLICY,DIVIDEND_OPTION,ACCUM_DIVIDENDS,DIVIDENDS_CREDITED,WINDOW_DIV_TYPE3,WINDOW_INT_TYPE6,WINDOW_OUT_TYPE7,WINDOW_REVERSED_BACK,OPENING_20171231,OPENING_TYPE3_PRE2018_DIV,OPENING_TYPE6_PRE2018_INT,RESOLUTION
9010148272,3,1159.75,365.23,66.41,274.51,0.00,0.00,818.83,298.82,520.01,SPLIT_3_AND_6
9010148856,3,1201.44,375.40,66.39,284.76,0.00,0.00,850.29,309.01,541.28,SPLIT_3_AND_6
9010149834,3,896.04,320.06,0.00,5.23,911.55,0.00,1802.36,320.06,1482.30,SPLIT_3_AND_6
9010150740,3,1664.37,543.21,63.18,281.18,1704.05,0.00,3024.06,480.03,2544.03,SPLIT_3_AND_6
9010154425,3,1100.42,366.52,16.38,104.33,1100.42,0.00,2080.13,350.14,1729.99,SPLIT_3_AND_6
9010157076,3,1203.11,375.40,74.66,282.73,0.00,0.00,845.72,300.74,544.98,SPLIT_3_AND_6
9010158001,3,1180.85,370.37,74.75,279.43,0.00,0.00,826.67,295.62,531.05,SPLIT_3_AND_6
9010161748,3,2893.67,913.04,186.54,695.83,0.00,0.00,2011.30,726.50,1284.80,SPLIT_3_AND_6
9010331157,3,9033.17,4701.20,220.20,370.46,9240.69,0.00,17683.20,4481.00,13202.20,SPLIT_3_AND_6
9010335038,3,6635.00,3348.10,0.00,70.96,6758.07,0.00,13322.11,3348.10,9974.01,SPLIT_3_AND_6
9010346921,3,1994.91,906.40,265.98,444.20,0.00,0.00,1284.73,640.42,644.31,SPLIT_3_AND_6
9010378830,3,9888.08,4885.00,1479.30,2188.81,0.00,0.00,6219.97,3405.70,2814.27,SPLIT_3_AND_6
9010380808,3,9220.33,4610.10,1414.80,2023.31,0.00,0.00,5782.22,3195.30,2586.92,SPLIT_3_AND_6
9010382426,3,4020.04,5409.60,1776.10,738.90,2594.56,2594.56,1505.04,3633.50,-2128.46,NEEDS_TYPE_7_PLUG
9010403789,3,7780.13,4675.60,1493.94,1664.15,0.00,0.00,4622.04,3181.66,1440.38,SPLIT_3_AND_6
9010405802,3,11672.07,8527.76,2175.48,2529.36,0.00,0.00,6967.23,6352.28,614.95,SPLIT_3_AND_6
9010407023,3,9987.10,4966.30,1677.40,2207.49,0.00,0.00,6102.21,3288.90,2813.31,SPLIT_3_AND_6
9010411727,3,7212.52,3411.80,0.00,293.27,7235.67,0.00,14154.92,3411.80,10743.12,SPLIT_3_AND_6
9010413745,3,5635.62,3140.90,155.40,90.96,5689.52,0.00,11078.78,2985.50,8093.28,SPLIT_3_AND_6
9010435671,3,17237.02,9525.60,2947.80,3736.27,0.00,0.00,10552.95,6577.80,3975.15,SPLIT_3_AND_6
9010435672,3,1911.89,852.91,0.00,461.01,0.00,0.00,1450.88,852.91,597.97,SPLIT_3_AND_6
9010435673,3,1301.97,703.36,233.59,284.08,0.00,0.00,784.30,469.77,314.53,SPLIT_3_AND_6
9010445275,3,1767.87,1609.85,0.00,156.35,1821.68,0.00,3433.20,1609.85,1823.35,SPLIT_3_AND_6
9010450906,3,5424.81,1948.85,0.00,1340.31,0.00,0.00,4084.50,1948.85,2135.65,SPLIT_3_AND_6
9010451453,6,353.29,4191.45,348.11,5.18,0.00,0.00,0.00,3843.34,-3843.34,NEEDS_TYPE_7_PLUG
