lifepro_coverage_id,current_output_plan,crosswalk_ql_plan_code,classification,governance_action,notes
0823 960CH,0823 960CH,960CWP,UNRESOLVED_MAPPING,BUSINESS_REVIEW,Crosswalk defines ql_plan_code=960CWP but stable emit uses 0823 960CH
0824 P DIS,0824 P DIS,94PDIS,UNRESOLVED_MAPPING,BUSINESS_REVIEW,Crosswalk defines ql_plan_code=94PDIS but stable emit uses 0824 P DIS
10827 MN5K,10827 MN5K,1CSIMN,UNRESOLVED_MAPPING,BUSINESS_REVIEW,Crosswalk defines ql_plan_code=1CSIMN but stable emit uses 10827 MN5K
1578 SPSPU,1578 SPSPU,578STR,UNRESOLVED_MAPPING,BUSINESS_REVIEW,Crosswalk defines ql_plan_code=578STR but stable emit uses 1578 SPSPU
1579 GPO,1579 GPO,9GPO79,UNRESOLVED_MAPPING,BUSINESS_REVIEW,Crosswalk defines ql_plan_code=9GPO79 but stable emit uses 1579 GPO
1596 667,1596 667,967ADB,UNRESOLVED_MAPPING,BUSINESS_REVIEW,Crosswalk defines ql_plan_code=967ADB but stable emit uses 1596 667
619 CH PU,619 CH PU,719CTR,UNRESOLVED_MAPPING,BUSINESS_REVIEW,Crosswalk defines ql_plan_code=719CTR but stable emit uses 619 CH PU
621 PUA,621 PUA,121PUA,UNRESOLVED_MAPPING,BUSINESS_REVIEW,Crosswalk defines ql_plan_code=121PUA but stable emit uses 621 PUA
630 JEB,630 JEB,130JEB,UNRESOLVED_MAPPING,BUSINESS_REVIEW,Crosswalk defines ql_plan_code=130JEB but stable emit uses 630 JEB
646 ART,646 ART,5646AT,UNRESOLVED_MAPPING,BUSINESS_REVIEW,Crosswalk defines ql_plan_code=5646AT but stable emit uses 646 ART
667 ART CR,667 ART CR,57ATCR,UNRESOLVED_MAPPING,BUSINESS_REVIEW,Crosswalk defines ql_plan_code=57ATCR but stable emit uses 667 ART CR
669 SR GD,669 SR GD,1669SR,UNRESOLVED_MAPPING,BUSINESS_REVIEW,Crosswalk defines ql_plan_code=1669SR but stable emit uses 669 SR GD
686S 30MRG,686S 30MRG,7686S3,UNRESOLVED_MAPPING,BUSINESS_REVIEW,Crosswalk defines ql_plan_code=7686S3 but stable emit uses 686S 30MRG
687J 30MRG,687J 30MRG,7687J3,UNRESOLVED_MAPPING,BUSINESS_REVIEW,Crosswalk defines ql_plan_code=7687J3 but stable emit uses 687J 30MRG
690 DT 65,690 DT 65,7690DT,UNRESOLVED_MAPPING,BUSINESS_REVIEW,Crosswalk defines ql_plan_code=7690DT but stable emit uses 690 DT 65
8034 30MRG,8034 30MRG,934SWP,UNRESOLVED_MAPPING,BUSINESS_REVIEW,Crosswalk defines ql_plan_code=934SWP but stable emit uses 8034 30MRG
8034 J30MT,8034 J30MT,934JWP,UNRESOLVED_MAPPING,BUSINESS_REVIEW,Crosswalk defines ql_plan_code=934JWP but stable emit uses 8034 J30MT
8043CTR WP,8043CTR WP,943CWP,UNRESOLVED_MAPPING,BUSINESS_REVIEW,Crosswalk defines ql_plan_code=943CWP but stable emit uses 8043CTR WP
8046 JPO,8046 JPO,9JPO46,UNRESOLVED_MAPPING,BUSINESS_REVIEW,Crosswalk defines ql_plan_code=9JPO46 but stable emit uses 8046 JPO
961 ME65,961 ME65,2961ME,UNRESOLVED_MAPPING,BUSINESS_REVIEW,Crosswalk defines ql_plan_code=2961ME but stable emit uses 961 ME65
961 PUA,961 PUA,261PUA,UNRESOLVED_MAPPING,BUSINESS_REVIEW,Crosswalk defines ql_plan_code=261PUA but stable emit uses 961 PUA
970 JEB,970 JEB,1970JB,UNRESOLVED_MAPPING,BUSINESS_REVIEW,Crosswalk defines ql_plan_code=1970JB but stable emit uses 970 JEB
970 PUA,970 PUA,1970PA,UNRESOLVED_MAPPING,BUSINESS_REVIEW,Crosswalk defines ql_plan_code=1970PA but stable emit uses 970 PUA
DISCHO247B,DISCHO247B,9DS24B,UNRESOLVED_MAPPING,BUSINESS_REVIEW,Crosswalk defines ql_plan_code=9DS24B but stable emit uses DISCHO247B
DISCHO29,DISCHO29,9DIS29,UNRESOLVED_MAPPING,BUSINESS_REVIEW,Crosswalk defines ql_plan_code=9DIS29 but stable emit uses DISCHO29
L01 10Y MA,L01 10Y MA,5L01MA,UNRESOLVED_MAPPING,BUSINESS_REVIEW,Crosswalk defines ql_plan_code=5L01MA but stable emit uses L01 10Y MA
L10 PRE97,L10 PRE97,1L10OD,UNRESOLVED_MAPPING,BUSINESS_REVIEW,Crosswalk defines ql_plan_code=1L10OD but stable emit uses L10 PRE97
L10 PREUNI,L10 PREUNI,1L10PR,UNRESOLVED_MAPPING,BUSINESS_REVIEW,Crosswalk defines ql_plan_code=1L10PR but stable emit uses L10 PREUNI
L10 SPSWP,L10 SPSWP,910SWP,UNRESOLVED_MAPPING,BUSINESS_REVIEW,Crosswalk defines ql_plan_code=910SWP but stable emit uses L10 SPSWP
L10 WP SRN,L10 WP SRN,910RWP,UNRESOLVED_MAPPING,BUSINESS_REVIEW,Crosswalk defines ql_plan_code=910RWP but stable emit uses L10 WP SRN
WP 646,WP 646,9WP646,UNRESOLVED_MAPPING,BUSINESS_REVIEW,Crosswalk defines ql_plan_code=9WP646 but stable emit uses WP 646
