coverage_id,type_code,secondary_rate_table_rows,primary_paagerat_rows,present_in
0822 620,PR,0,117,PRIMARY_ONLY
0822 665,PR,0,36,PRIMARY_ONLY
0822 960PO,PR,0,52,PRIMARY_ONLY
0823 665,PR,0,72,PRIMARY_ONLY
0823 96085,PR,0,82,PRIMARY_ONLY
0823 960CH,PR,0,19,PRIMARY_ONLY
0823 960LP,PR,0,82,PRIMARY_ONLY
0823 960OL,PR,0,82,PRIMARY_ONLY
0823 960SP,PR,0,32,PRIMARY_ONLY
0824 P DTH,PR,0,11,PRIMARY_ONLY
10827 CSI3,CV,2370,0,SECONDARY_ONLY
10827 CSI3,DB,1185,0,SECONDARY_ONLY
10827 CSI3,NN,9720,0,SECONDARY_ONLY
10827 CSI3,NP,2370,0,SECONDARY_ONLY
10827 CSI3,PR,0,60,PRIMARY_ONLY
10827 CSI3,RV,2370,0,SECONDARY_ONLY
10827 CSI5,CV,2370,0,SECONDARY_ONLY
10827 CSI5,DB,1185,0,SECONDARY_ONLY
10827 CSI5,NN,9720,0,SECONDARY_ONLY
10827 CSI5,NP,2370,0,SECONDARY_ONLY
10827 CSI5,PN,9720,0,SECONDARY_ONLY
10827 CSI5,PR,0,60,PRIMARY_ONLY
10827 CSI5,RV,2370,0,SECONDARY_ONLY
10827 CSI7,CV,2370,0,SECONDARY_ONLY
10827 CSI7,DB,1185,0,SECONDARY_ONLY
10827 CSI7,NP,2370,0,SECONDARY_ONLY
10827 CSI7,PR,0,60,PRIMARY_ONLY
10827 CSI7,RV,2370,0,SECONDARY_ONLY
10827 MN5K,CV,2370,0,SECONDARY_ONLY
10827 MN5K,DB,1185,0,SECONDARY_ONLY
10827 MN5K,NP,2370,0,SECONDARY_ONLY
10827 MN5K,RV,2370,0,SECONDARY_ONLY
1576 658,PR,0,164,PRIMARY_ONLY
1576 659,PR,0,164,PRIMARY_ONLY
1577 ADB,PR,0,46,PRIMARY_ONLY
1578 CTR,PR,0,117,PRIMARY_ONLY
1578 FTR,DB,0,48,PRIMARY_ONLY
1578 FTR,NP,2551,0,SECONDARY_ONLY
1578 FTR,PR,0,41,PRIMARY_ONLY
1578 FTR,RV,101,0,SECONDARY_ONLY
1578 SPSPU,CV,1006,0,SECONDARY_ONLY
1578 SPSPU,NP,2226,0,SECONDARY_ONLY
1578 SPSPU,RV,2018,0,SECONDARY_ONLY
1578CTR WP,PR,0,117,PRIMARY_ONLY
1578FTR WP,PR,0,117,PRIMARY_ONLY
1579 GPO,PR,0,41,PRIMARY_ONLY
1580 JPO,PR,0,22,PRIMARY_ONLY
1595,PR,0,84,PRIMARY_ONLY
1596,PR,0,51,PRIMARY_ONLY
1596 667,PR,0,99,PRIMARY_ONLY
619 CH PU,NP,2484,0,SECONDARY_ONLY
619 CH PU,RV,46,0,SECONDARY_ONLY
619 DT,DB,0,66,PRIMARY_ONLY
619 DT,NN,4148,0,SECONDARY_ONLY
619 DT,NP,4148,0,SECONDARY_ONLY
619 DT,PN,4270,0,SECONDARY_ONLY
619 DT,PR,0,60,PRIMARY_ONLY
619 DT,RV,122,0,SECONDARY_ONLY
619 DT CH,DB,0,23,PRIMARY_ONLY
619 DT CH,PR,0,23,PRIMARY_ONLY
619 DT SP,DB,0,66,PRIMARY_ONLY
619 DT SP,NP,4320,0,SECONDARY_ONLY
619 DT SP,PR,0,60,PRIMARY_ONLY
619 DT SP,RV,90,0,SECONDARY_ONLY
619 SPS PU,NP,4260,0,SECONDARY_ONLY
619 SPS PU,RV,3724,94,BOTH
621 END85,CV,2165,0,SECONDARY_ONLY
621 END85,DV,2098,0,SECONDARY_ONLY
621 END85,NN,7122,0,SECONDARY_ONLY
621 END85,NP,4370,0,SECONDARY_ONLY
621 END85,PN,7290,0,SECONDARY_ONLY
621 END85,RV,4370,0,SECONDARY_ONLY
621 PUA,CV,0,71,PRIMARY_ONLY
621 PUA,PU,0,117,PRIMARY_ONLY
621 PUA,RD,0,1,PRIMARY_ONLY
