type_code,secondary_coverage_count,primary_coverage_count,secondary_rows,primary_rows,both,secondary_only,primary_only
BP,0,7,0,1336,0,0,7
CV,36,11,237300,1435,0,36,11
DB,10,10,12885,628,0,10,10
DV,15,0,37030,0,0,15,0
NC,0,3,0,690,0,0,3
NF,7,3,82445,508,0,7,3
NN,16,0,118642,0,0,16,0
NP,47,6,244789,950,1,46,5
PN,15,0,110852,0,0,15,0
PR,11,79,10134,14958,0,11,79
PU,0,10,0,1755,0,0,10
RD,0,8,0,10,0,0,8
RV,49,6,232262,820,1,48,5
SL,2,0,24,0,0,2,0
TP,2,0,22840,0,0,2,0
TX,1,0,19780,0,0,1,0
U5,0,2,0,417,0,0,2
U6,0,2,0,800,0,0,2
UF,1,0,1,0,0,1,0
YP,0,1,0,117,0,0,1
