plan,type_code,target_table,rt_rows,rt_coverages,proposed_action
130JEB,CV,QuikCvs,885,630 JEB,EMIT_RATE_TABLE_TAG_SECONDARY
130JEB,NP,QuikNps,1770,630 JEB,EMIT_RATE_TABLE_TAG_SECONDARY
130JEB,RV,QuikTvs,1770,630 JEB,EMIT_RATE_TABLE_TAG_SECONDARY
1658C1,CV,QuikCvs,18124,658 CEN I,EMIT_RATE_TABLE_TAG_SECONDARY
1658C1,NP,QuikNps,19000,658 CEN I,EMIT_RATE_TABLE_TAG_SECONDARY
1658C1,RV,QuikTvs,19000,658 CEN I,EMIT_RATE_TABLE_TAG_SECONDARY
1658CS,CV,QuikCvs,9113,658 CEN SD,EMIT_RATE_TABLE_TAG_SECONDARY
1658CS,NP,QuikNps,9496,658 CEN SD,EMIT_RATE_TABLE_TAG_SECONDARY
1658CS,RV,QuikTvs,9496,658 CEN SD,EMIT_RATE_TABLE_TAG_SECONDARY
1659C2,CV,QuikCvs,9678,659 CEN II,EMIT_RATE_TABLE_TAG_SECONDARY
1659C2,NP,QuikNps,19780,659 CEN II,EMIT_RATE_TABLE_TAG_SECONDARY
1659C2,RV,QuikTvs,19780,659 CEN II,EMIT_RATE_TABLE_TAG_SECONDARY
1659CR,CV,QuikCvs,9678,659 CEN SR,EMIT_RATE_TABLE_TAG_SECONDARY
1659CR,NP,QuikNps,9890,659 CEN SR,EMIT_RATE_TABLE_TAG_SECONDARY
1659CR,RV,QuikTvs,9890,659 CEN SR,EMIT_RATE_TABLE_TAG_SECONDARY
1659CS,CV,QuikCvs,9288,659 CEN SD,EMIT_RATE_TABLE_TAG_SECONDARY
1659CS,NP,QuikNps,9496,659 CEN SD,EMIT_RATE_TABLE_TAG_SECONDARY
1659CS,RV,QuikTvs,9496,659 CEN SD,EMIT_RATE_TABLE_TAG_SECONDARY
1659SR,CV,QuikCvs,9700,659 SR GD,EMIT_RATE_TABLE_TAG_SECONDARY
1659SR,DB,QuikDbs,100,659 SR GD,EMIT_RATE_TABLE_TAG_SECONDARY
1659SR,NP,QuikNps,2340,659 SR GD,EMIT_RATE_TABLE_TAG_SECONDARY
1659SR,RV,QuikTvs,2340,659 SR GD,EMIT_RATE_TABLE_TAG_SECONDARY
1666WL,CV,QuikCvs,4895,666 WL,EMIT_RATE_TABLE_TAG_SECONDARY
1666WL,NP,QuikNps,9890,666 WL,EMIT_RATE_TABLE_TAG_SECONDARY
1666WL,RV,QuikTvs,9890,666 WL,EMIT_RATE_TABLE_TAG_SECONDARY
1669SR,CV,QuikCvs,2340,669 SR GD,EMIT_RATE_TABLE_TAG_SECONDARY
1679CS,CV,QuikCvs,4350,679 CEN SD,EMIT_RATE_TABLE_TAG_SECONDARY
170588,CV,QuikCvs,7346,670 GL8588,EMIT_RATE_TABLE_TAG_SECONDARY
170858,CV,QuikCvs,9121,670 GL85-8,EMIT_RATE_TABLE_TAG_SECONDARY
170858,NF,QuikNff,7171,670 GL85-8,EMIT_RATE_TABLE_TAG_SECONDARY
170858,NP,QuikNps,6988,670 GL85-8,EMIT_RATE_TABLE_TAG_SECONDARY
170858,RV,QuikTvs,9230,670 GL85-8,EMIT_RATE_TABLE_TAG_SECONDARY
17CSI3,CV,QuikCvs,2370,10827 CSI3,EMIT_RATE_TABLE_TAG_SECONDARY
17CSI3,DB,QuikDbs,1185,10827 CSI3,EMIT_RATE_TABLE_TAG_SECONDARY
17CSI3,NP,QuikNps,2370,10827 CSI3,EMIT_RATE_TABLE_TAG_SECONDARY
17CSI3,RV,QuikTvs,2370,10827 CSI3,EMIT_RATE_TABLE_TAG_SECONDARY
17CSI5,CV,QuikCvs,2370,10827 CSI5,EMIT_RATE_TABLE_TAG_SECONDARY
17CSI5,DB,QuikDbs,1185,10827 CSI5,EMIT_RATE_TABLE_TAG_SECONDARY
17CSI5,NP,QuikNps,2370,10827 CSI5,EMIT_RATE_TABLE_TAG_SECONDARY
17CSI5,RV,QuikTvs,2370,10827 CSI5,EMIT_RATE_TABLE_TAG_SECONDARY
17CSI7,CV,QuikCvs,2370,10827 CSI7,EMIT_RATE_TABLE_TAG_SECONDARY
17CSI7,DB,QuikDbs,1185,10827 CSI7,EMIT_RATE_TABLE_TAG_SECONDARY
17CSI7,NP,QuikNps,2370,10827 CSI7,EMIT_RATE_TABLE_TAG_SECONDARY
17CSI7,RV,QuikTvs,2370,10827 CSI7,EMIT_RATE_TABLE_TAG_SECONDARY
196065,CV,QuikCvs,4615,960 LP65,EMIT_RATE_TABLE_TAG_SECONDARY
196065,NP,QuikNps,4230,960 LP65,EMIT_RATE_TABLE_TAG_SECONDARY
196065,RV,QuikTvs,9230,960 LP65,EMIT_RATE_TABLE_TAG_SECONDARY
1960OL,CV,QuikCvs,4564,960 OL,EMIT_RATE_TABLE_TAG_SECONDARY
1960OL,NP,QuikNps,9835,960 OL,EMIT_RATE_TABLE_TAG_SECONDARY
1960OL,RV,QuikTvs,9475,960 OL,EMIT_RATE_TABLE_TAG_SECONDARY
1960PO,CV,QuikCvs,9274,960 PO,EMIT_RATE_TABLE_TAG_SECONDARY
1960PO,NP,QuikNps,9443,960 PO,EMIT_RATE_TABLE_TAG_SECONDARY
1960PO,RV,QuikTvs,9443,960 PO,EMIT_RATE_TABLE_TAG_SECONDARY
1970JB,CV,QuikCvs,1162,970 JEB,EMIT_RATE_TABLE_TAG_SECONDARY
1970JB,NP,QuikNps,2370,970 JEB,EMIT_RATE_TABLE_TAG_SECONDARY
1970JB,RV,QuikTvs,2370,970 JEB,EMIT_RATE_TABLE_TAG_SECONDARY
1991PL,CV,QuikCvs,6398,991 PWL,EMIT_RATE_TABLE_TAG_SECONDARY
1991PL,NP,QuikNps,6440,991 PWL,EMIT_RATE_TABLE_TAG_SECONDARY
1991PL,RV,QuikTvs,6440,991 PWL,EMIT_RATE_TABLE_TAG_SECONDARY
1CSIMN,CV,QuikCvs,2370,10827 MN5K,EMIT_RATE_TABLE_TAG_SECONDARY
1CSIMN,DB,QuikDbs,1185,10827 MN5K,EMIT_RATE_TABLE_TAG_SECONDARY
1CSIMN,NP,QuikNps,2370,10827 MN5K,EMIT_RATE_TABLE_TAG_SECONDARY
1CSIMN,RV,QuikTvs,2370,10827 MN5K,EMIT_RATE_TABLE_TAG_SECONDARY
1L1095,CV,QuikCvs,29599,L10 LP95,EMIT_RATE_TABLE_TAG_SECONDARY
1L1095,NF,QuikNff,27090,L10 LP95,EMIT_RATE_TABLE_TAG_SECONDARY
