MPOLICY,LP,first_benh,seed_date,seed_balance,MBENTYP
010331768C,9010331768,20180724,20170725,4104.91,10
010346921C,9010346921,20181118,20171219,1347.05,10
010363098C,9010363098,20180201,20171228,866.85,10
010367438C,9010367438,20180628,20170701,1469.16,10
010376522C,9010376522,20181006,20171006,6374.62,10
010376529C,9010376529,20180914,20171015,1543.04,10
010380049C,9010380049,20181113,20171113,3608.05,10
010380627C,9010380627,20181125,20171125,43.64,10
010381745C,9010381745,20180101,20170101,6479.78,10
010382426C,9010382426,20180112,20170411,2753.23,10
010382931C,9010382931,20180115,20170118,355.72,10
010385636C,9010385636,20180209,20170209,13696.55,10
010391004C,9010391004,20180501,20170515,4604.26,10
010391228C,9010391228,20180421,20171021,1136.47,10
010391359C,9010391359,20180426,20170426,1548.54,10
010391422C,9010391422,20180601,20170601,1427.08,10
010392138C,9010392138,20180601,20170601,12027.63,10
010393181C,9010393181,20180701,20170701,1629.05,10
010395382C,9010395382,20180801,20170801,12086.97,10
010395761C,9010395761,20180801,20170816,4019.56,10
010396186C,9010396186,20180901,20170901,5541.98,10
010396425C,9010396425,20180901,20170918,1809.26,10
010397118C,9010397118,20180108,20171208,15088.66,10
010397583C,9010397583,20180901,20170901,6816.15,10
010400462C,9010400462,20181101,20171101,7413.97,10
010402014C,9010402014,20181101,20171101,6780.79,10
010402105C,9010402105,20181201,20171201,9275.75,10
010403109C,9010403109,20180501,20171206,3438.72,10
010403789C,9010403789,20181201,20171218,1288.42,10
010404600C,9010404600,20181201,20171201,11906.06,10
010404857C,9010404857,20180118,20171201,2274.94,10
010405440C,9010405440,20180122,20171228,1248.15,10
010407925C,9010407925,20180301,20170331,4895.52,10
010417200C,9010417200,20180501,20170501,11774.79,10
010420983C,9010420983,20180108,20171206,5534.05,10
010422033C,9010422033,20180601,20170605,1361.19,10
010422722C,9010422722,20180701,20170701,5204.34,10
010425720C,9010425720,20180614,20170701,8768.93,10
010425941C,9010425941,20171213,20170613,1302.14,10
010425942C,9010425942,20180226,20170613,911.40,10
010426657C,9010426657,20180801,20170801,9239.85,10
010426747C,9010426747,20180701,20170701,12466.47,10
010429710C,9010429710,20180901,20170907,1441.31,10
010429711C,9010429711,20180901,20170907,1670.74,10
010434092C,9010434092,20181201,20171201,2448.58,10
010434421C,9010434421,20180108,20171227,585.76,10
010435671C,9010435671,20181207,20171207,8867.14,10
010435672C,9010435672,20181207,20171207,1346.69,10
010437232C,9010437232,20180215,20170215,9857.21,10
010438556C,9010438556,20180307,20170309,1222.55,10
010438821C,9010438821,20180315,20170403,3911.45,10
010439128C,9010439128,20180401,20170401,1445.92,10
010439277C,9010439277,20180314,20170413,732.76,10
010439435C,9010439435,20180401,20170405,1559.04,10
010439999C,9010439999,20180326,20170410,3138.31,10
010440000C,9010440000,20180319,20170326,1742.29,10
010442332C,9010442332,20180701,20170701,6100.84,10
010442552C,9010442552,20180701,20170701,2142.27,10
010443109C,9010443109,20180801,20170814,737.65,10
010443287C,9010443287,20180102,20171127,7540.72,10
010446852C,9010446852,20181215,20171215,4148.24,10
010448025C,9010448025,20180201,20170201,2708.03,10
010449417C,9010449417,20180301,20170301,5937.99,10
010449498C,9010449498,20180220,20170220,90.09,10
010451453C,9010451453,20180515,20170530,1099.65,10
010452169C,9010452169,20180601,20170601,2806.75,10
010454002C,9010454002,20180703,20170715,1185.25,10
010456114C,9010456114,20180815,20170815,5146.67,10
010458520C,9010458520,20181115,20171115,1047.73,10
010458525C,9010458525,20181115,20171214,135.12,10
010458526C,9010458526,20180202,20171115,616.68,10
010458663C,9010458663,20181106,20171115,5104.51,10
010461210C,9010461210,20180207,20170306,992.55,10
010462630C,9010462630,20180501,20170501,6239.82,10
010463420C,9010463420,20180117,20170614,2813.81,10
010463537C,9010463537,20180501,20170501,68.32,10
010464869C,9010464869,20180706,20170715,3788.71,10
010464870C,9010464870,20180715,20170715,2548.84,10
010465331C,9010465331,20180815,20170825,2646.94,10
010466392C,9010466392,20180915,20171020,5168.38,10
010467154C,9010467154,20180923,20170923,1315.78,10
010469081C,9010469081,20180101,20170101,12908.54,10
010471046C,9010471046,20180301,20170301,269.79,10
010472182C,9010472182,20180401,20170401,14535.99,10
010472183C,9010472183,20180401,20170401,4669.77,10
010473137C,9010473137,20180501,20170501,2633.32,10
010474522C,9010474522,20180601,20170601,7467.94,10
010476803C,9010476803,20180107,20170801,5101.14,10
010477512C,9010477512,20180815,20170816,3171.34,10
010477513C,9010477513,20180815,20170816,3952.68,10
010477989C,9010477989,20180901,20170918,3306.79,10
010478214C,9010478214,20180810,20170810,31.32,10
010478285C,9010478285,20180901,20170901,7276.14,10
010486919C,9010486919,20180401,20170401,6887.06,10
010486961C,9010486961,20180401,20170401,6691.80,10
010486964C,9010486964,20180401,20170404,4600.90,10
010487886C,9010487886,20230928,20200328,29.94,10
010488273C,9010488273,20180415,20170417,5742.10,10
010488274C,9010488274,20180415,20170417,4282.14,10
010491000C,9010491000,20180523,20170523,1650.46,10
010495113C,9010495113,20180210,20170810,95.32,10
010497768C,9010497768,20181015,20171017,431.76,10
010510671C,9010510671,20171121,20171021,6601.44,10
010511203C,9010511203,20180710,20170720,120.49,10
010518048C,9010518048,20181101,20171120,7213.71,10
010518049C,9010518049,20181101,20171120,3504.07,10
010518545C,9010518545,20181115,20171115,4709.19,10
010520451C,9010520451,20181120,20171120,1752.03,10
010521651C,9010521651,20180101,20170101,2880.60,10
010523058C,9010523058,20180201,20170227,1156.90,10
010526524C,9010526524,20180415,20170415,2712.34,10
010529613C,9010529613,20180601,20170626,1988.03,10
010529993C,9010529993,20180105,20171205,573.72,10
010545623C,9010545623,20180122,20171220,777.91,10
010546964C,9010546964,20180301,20170301,10807.11,10
010547021C,9010547021,20180301,20170301,7212.23,10
010547488C,9010547488,20171112,20171101,3671.86,10
010550088C,9010550088,20180406,20170415,376.81,10
010550564C,9010550564,20180415,20170418,4670.98,10
010564241C,9010564241,20171106,20161106,725.58,10
010565013C,9010565013,20181215,20171215,3256.23,10
010586005C,9010586005,20171123,20171023,1462.87,10
010722516C,9010722516,20180105,20171205,9015.37,10
010730647C,9010730647,20180924,20170924,5951.51,10
010731970C,9010731970,20180115,20171215,4645.59,10
010733472C,9010733472,20171126,20171026,4579.15,10
010733665C,9010733665,20181028,20171101,744.77,10
010736035C,9010736035,20181120,20171201,69880.09,10
010738161C,9010738161,20180104,20171228,552.34,10
010741234C,9010741234,20180124,20171101,33.30,10
010741943C,9010741943,20180108,20170207,8819.60,10
010743832C,9010743832,20180226,20170226,2849.82,10
010747320C,9010747320,20171229,20171204,319.12,10
010748073C,9010748073,20180123,20171227,10056.56,10
010748300C,9010748300,20171227,20170418,9205.37,10
010749053C,9010749053,20180424,20170424,8228.11,10
010749401C,9010749401,20171201,20171101,13964.87,10
010749942C,9010749942,20180122,20171220,11970.83,10
010750265C,9010750265,20180430,20170508,1372.10,10
010750812C,9010750812,20180513,20170513,6047.17,10
010750813C,9010750813,20180122,20170813,3977.28,10
010752513C,9010752513,20180307,20170601,6473.34,10
010754480C,9010754480,20180611,20170619,37.90,10
010756091C,9010756091,20180702,20170702,33.03,10
010756212C,9010756212,20180705,20170705,16664.04,10
010756540C,9010756540,20180708,20170708,1632.70,10
010756833C,9010756833,20180712,20170712,447.92,10
010759530C,9010759530,20180801,20170817,8835.77,10
010759555C,9010759555,20180801,20170801,3468.34,10
