POLICY_NUMBER,MPOLICY,MBENTYP,MDATE,MBEN,PACTG_CODE
9010331768,010331768C,11,20180724,216.05,0412
9010331768,010331768C,11,20180824,198.13,0412
9010331768,010331768C,12,20180824,205.25,0413
9010331768,010331768C,11,20180824,188.26,0412
9010331768,010331768C,11,20190724,216.10,0412
9010331768,010331768C,11,20190731,212.07,0412
9010331768,010331768C,12,20190731,205.25,0413
9010331768,010331768C,11,20190731,201.48,0412
9010331768,010331768C,11,20200724,216.11,0412
9010331768,010331768C,11,20200727,214.38,0412
9010331768,010331768C,12,20200727,205.31,0413
9010331768,010331768C,11,20200727,203.66,0412
9010331768,010331768C,11,20210724,216.11,0412
9010331768,010331768C,11,20210817,202.24,0412
9010331768,010331768C,12,20210817,205.31,0413
9010331768,010331768C,11,20210817,192.16,0412
9010331768,010331768C,11,20220724,216.15,0412
9010331768,010331768C,11,20220726,215.00,0412
9010331768,010331768C,12,20220726,205.35,0413
9010331768,010331768C,11,20220726,204.25,0412
9010331768,010331768C,11,20230721,1.73,0412
9010331768,010331768C,12,20230721,325.60,0413
9010331768,010331768C,11,20230721,1.59,0412
9010331768,010331768C,11,20230724,199.01,0412
9010331768,010331768C,11,20240724,209.49,0412
9010331768,010331768C,11,20240731,205.57,0412
9010331768,010331768C,12,20240731,325.60,0413
9010331768,010331768C,11,20240731,188.77,0412
9010331768,010331768C,11,20250724,202.49,0412
9010331768,010331768C,11,20250725,201.95,0412
