reconstructed_claim_id,canonical_payment_stage_id,payment_sequence,distribution_type,payee_distribution_status,equal_split_detected,beneficiary_name_id,relationship_code,confidence_level
RC-9010150910-1-DEATH_CLAIM-C0-20200423,CPS-RC-9010150910-1-DEATH_CLAIM-C0-20200423-P1,1,SEQUENTIAL_SPLIT,MULTI_BENEFICIARY_SPLIT,Y,710185,PE,HIGH_CONFIDENCE
RC-9010150910-1-DEATH_CLAIM-C0-20200423,CPS-RC-9010150910-1-DEATH_CLAIM-C0-20200423-P2,2,SEQUENTIAL_SPLIT,MULTI_BENEFICIARY_SPLIT,Y,710186,PE,HIGH_CONFIDENCE
RC-9010150910-1-DEATH_CLAIM-C0-20200423,CPS-RC-9010150910-1-DEATH_CLAIM-C0-20200423-P3,3,SEQUENTIAL_SPLIT,MULTI_BENEFICIARY_SPLIT,Y,710187,PE,HIGH_CONFIDENCE
RC-9010150910-1-DEATH_CLAIM-C0-20200423,CPS-RC-9010150910-1-DEATH_CLAIM-C0-20200423-P4,4,SEQUENTIAL_SPLIT,MULTI_BENEFICIARY_SPLIT,Y,710188,PE,HIGH_CONFIDENCE
RC-9010331157-1-DEATH_CLAIM-C0-20190315,CPS-RC-9010331157-1-DEATH_CLAIM-C0-20190315-P1,1,SEQUENTIAL_SPLIT,MULTI_BENEFICIARY_SPLIT,Y,709555,PE,HIGH_CONFIDENCE
RC-9010331157-1-DEATH_CLAIM-C0-20190315,CPS-RC-9010331157-1-DEATH_CLAIM-C0-20190315-P2,2,SEQUENTIAL_SPLIT,MULTI_BENEFICIARY_SPLIT,Y,709556,PE,HIGH_CONFIDENCE
RC-9010331157-1-DEATH_CLAIM-C0-20190315,CPS-RC-9010331157-1-DEATH_CLAIM-C0-20190315-P3,3,SEQUENTIAL_SPLIT,MULTI_BENEFICIARY_SPLIT,Y,709557,PE,HIGH_CONFIDENCE
RC-9010331157-1-DEATH_CLAIM-C0-20190315,CPS-RC-9010331157-1-DEATH_CLAIM-C0-20190315-P4,4,SEQUENTIAL_SPLIT,MULTI_BENEFICIARY_SPLIT,Y,709558,PE,HIGH_CONFIDENCE
RC-9010331157-1-DEATH_CLAIM-C0-20190315,CPS-RC-9010331157-1-DEATH_CLAIM-C0-20190315-P5,5,SEQUENTIAL_SPLIT,MULTI_BENEFICIARY_SPLIT,Y,709559,PE,HIGH_CONFIDENCE
RC-9010367438-1-DEATH_CLAIM-C0-20211110,CPS-RC-9010367438-1-DEATH_CLAIM-C0-20211110-P1,1,SEQUENTIAL_SPLIT,MULTI_BENEFICIARY_SPLIT,Y,696433,PE,HIGH_CONFIDENCE
RC-9010367438-1-DEATH_CLAIM-C0-20211110,CPS-RC-9010367438-1-DEATH_CLAIM-C0-20211110-P2,2,SEQUENTIAL_SPLIT,MULTI_BENEFICIARY_SPLIT,Y,711405,PE,HIGH_CONFIDENCE
