canonical_residual_stage_id,reconstructed_claim_id,policy_number,enhanced_settlement_group_id,residual_type,residual_amount,residual_reason,gap_direction,decomposition_status,balancing_status,payee_distribution_status,canonical_status,confidence_level,derivation_lineage,production_dbf_flag
CRS-RC-9010150740-1-DEATH_CLAIM-C0-20230509,RC-9010150740-1-DEATH_CLAIM-C0-20230509,9010150740,ESG-9010150740-RC-9010150740-1-DEATH_CLAIM-C0-20230509-SOLO,PAYOUT_EXCESS_RESIDUAL,-1713.59,CLEARING_ONLY_DISTORTION,PAYOUT_EXCESS,CLEARING_ONLY_DISTORTION,UNBALANCED,SINGLE_PAYEE_MATCH,RESIDUAL_PENDING,HIGH_CONFIDENCE,RC-9010150740-1-DEATH_CLAIM-C0-20230509,N
CRS-RC-9010150910-1-DEATH_CLAIM-C0-20200423,RC-9010150910-1-DEATH_CLAIM-C0-20200423,9010150910,ESG-9010150910-RC-9010150910-1-DEATH_CLAIM-C0-20200423-SOLO,PAYOUT_EXCESS_RESIDUAL,-134.57,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,PAYOUT_EXCESS,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,UNBALANCED,MULTI_BENEFICIARY_SPLIT,RESIDUAL_PENDING,HIGH_CONFIDENCE,RC-9010150910-1-DEATH_CLAIM-C0-20200423,N
CRS-RC-9010150910-3-DEATH_CLAIM-C0-20200423,RC-9010150910-3-DEATH_CLAIM-C0-20200423,9010150910,ESG-9010150910-RC-9010150910-3-DEATH_CLAIM-C0-20200423-SOLO,UNRESOLVED_PAYEE_RESIDUAL,127.52,UNRESOLVED_PAYEE;PARTIAL_DECOMPOSITION,PAYOUT_SHORTFALL,PARTIAL_DECOMPOSITION,UNBALANCED,PAYEE_UNRESOLVED,RESIDUAL_PENDING,LOW_CONFIDENCE,RC-9010150910-3-DEATH_CLAIM-C0-20200423,N
CRS-RC-9010331157-1-DEATH_CLAIM-C0-20190315,RC-9010331157-1-DEATH_CLAIM-C0-20190315,9010331157,ESG-9010331157-RC-9010331157-1-DEATH_CLAIM-C0-20190315-SOLO,PAYOUT_EXCESS_RESIDUAL,-9256.93,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,PAYOUT_EXCESS,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,UNBALANCED,MULTI_BENEFICIARY_SPLIT,RESIDUAL_PENDING,HIGH_CONFIDENCE,RC-9010331157-1-DEATH_CLAIM-C0-20190315,N
CRS-RC-9010335038-1-DEATH_CLAIM-C0-20180422,RC-9010335038-1-DEATH_CLAIM-C0-20180422,9010335038,ESG-9010335038-RC-9010335038-1-DEATH_CLAIM-C0-20180422-SOLO,PAYOUT_EXCESS_RESIDUAL,-6777.05,CLEARING_ONLY_DISTORTION,PAYOUT_EXCESS,CLEARING_ONLY_DISTORTION,UNBALANCED,SINGLE_PAYEE_MATCH,RESIDUAL_PENDING,HIGH_CONFIDENCE,RC-9010335038-1-DEATH_CLAIM-C0-20180422,N
CRS-RC-9010363098-1-DEATH_CLAIM-C0-20220917,RC-9010363098-1-DEATH_CLAIM-C0-20220917,9010363098,ESG-9010363098-RC-9010363098-1-DEATH_CLAIM-C0-20220917-SOLO,PAYOUT_EXCESS_RESIDUAL,-2770.08,PARTIAL_DECOMPOSITION,PAYOUT_EXCESS,PARTIAL_DECOMPOSITION,UNBALANCED,SINGLE_PAYEE_MATCH,RESIDUAL_PENDING,HIGH_CONFIDENCE,RC-9010363098-1-DEATH_CLAIM-C0-20220917,N
CRS-RC-9010363098-5-DEATH_CLAIM-C0-20220917,RC-9010363098-5-DEATH_CLAIM-C0-20220917,9010363098,ESG-9010363098-RC-9010363098-5-DEATH_CLAIM-C0-20220917-SOLO,UNRESOLVED_PAYEE_RESIDUAL,2765.73,UNRESOLVED_PAYEE;PARTIAL_DECOMPOSITION,PAYOUT_SHORTFALL,PARTIAL_DECOMPOSITION,UNBALANCED,PAYEE_UNRESOLVED,RESIDUAL_PENDING,LOW_CONFIDENCE,RC-9010363098-5-DEATH_CLAIM-C0-20220917,N
CRS-RC-9010367438-1-DEATH_CLAIM-C0-20211110,RC-9010367438-1-DEATH_CLAIM-C0-20211110,9010367438,ESG-9010367438-RC-9010367438-1-DEATH_CLAIM-C0-20211110-SOLO,PAYOUT_EXCESS_RESIDUAL,-889.37,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,PAYOUT_EXCESS,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,UNBALANCED,MULTI_BENEFICIARY_SPLIT,RESIDUAL_PENDING,HIGH_CONFIDENCE,RC-9010367438-1-DEATH_CLAIM-C0-20211110,N
CRS-RC-9010367438-2-DEATH_CLAIM-C0-20211110,RC-9010367438-2-DEATH_CLAIM-C0-20211110,9010367438,ESG-9010367438-RC-9010367438-2-DEATH_CLAIM-C0-20211110-SOLO,UNRESOLVED_PAYEE_RESIDUAL,2464.99,UNRESOLVED_PAYEE;PARTIAL_DECOMPOSITION,PAYOUT_SHORTFALL,PARTIAL_DECOMPOSITION,UNBALANCED,PAYEE_UNRESOLVED,RESIDUAL_PENDING,LOW_CONFIDENCE,RC-9010367438-2-DEATH_CLAIM-C0-20211110,N
CRS-RC-9010368703-1-DEATH_CLAIM-C0-20210114,RC-9010368703-1-DEATH_CLAIM-C0-20210114,9010368703,ESG-9010368703-RC-9010368703-1-DEATH_CLAIM-C0-20210114-SOLO,PAYOUT_EXCESS_RESIDUAL,-6025.67,PARTIAL_DECOMPOSITION,PAYOUT_EXCESS,PARTIAL_DECOMPOSITION,UNBALANCED,SINGLE_PAYEE_MATCH,RESIDUAL_PENDING,HIGH_CONFIDENCE,RC-9010368703-1-DEATH_CLAIM-C0-20210114,N
