canonical_beneficiary_stage_id,canonical_payment_stage_id,reconstructed_claim_id,policy_number,beneficiary_name_id,relationship_code,distribution_type,equal_split_indicator,inferred_distribution_indicator,beneficiary_sequence,inferred_share_pct,canonical_status,derivation_lineage,source_beneficiary_distribution_candidate_id,production_dbf_flag
CBS-RC-9010150740-1-DEATH_CLAIM-C0-20230509-P1,CPS-RC-9010150740-1-DEATH_CLAIM-C0-20230509-P1,RC-9010150740-1-DEATH_CLAIM-C0-20230509,9010150740,696234,PE,EXPLICIT_PAYEE,N,N,1,100.00,BENEFICIARY_STAGED,CPS-RC-9010150740-1-DEATH_CLAIM-C0-20230509-P1|BDC-RC-9010150740-1-DEATH_CLAIM-C0-20230509-P1,BDC-RC-9010150740-1-DEATH_CLAIM-C0-20230509-P1,N
CBS-RC-9010150910-1-DEATH_CLAIM-C0-20200423-P1,CPS-RC-9010150910-1-DEATH_CLAIM-C0-20200423-P1,RC-9010150910-1-DEATH_CLAIM-C0-20200423,9010150910,710185,PE,SEQUENTIAL_SPLIT,Y,N,1,25.00,BENEFICIARY_STAGED,CPS-RC-9010150910-1-DEATH_CLAIM-C0-20200423-P1|BDC-RC-9010150910-1-DEATH_CLAIM-C0-20200423-P1,BDC-RC-9010150910-1-DEATH_CLAIM-C0-20200423-P1,N
CBS-RC-9010150910-1-DEATH_CLAIM-C0-20200423-P2,CPS-RC-9010150910-1-DEATH_CLAIM-C0-20200423-P2,RC-9010150910-1-DEATH_CLAIM-C0-20200423,9010150910,710186,PE,SEQUENTIAL_SPLIT,Y,N,2,25.00,BENEFICIARY_STAGED,CPS-RC-9010150910-1-DEATH_CLAIM-C0-20200423-P2|BDC-RC-9010150910-1-DEATH_CLAIM-C0-20200423-P2,BDC-RC-9010150910-1-DEATH_CLAIM-C0-20200423-P2,N
CBS-RC-9010150910-1-DEATH_CLAIM-C0-20200423-P3,CPS-RC-9010150910-1-DEATH_CLAIM-C0-20200423-P3,RC-9010150910-1-DEATH_CLAIM-C0-20200423,9010150910,710187,PE,SEQUENTIAL_SPLIT,Y,N,3,25.00,BENEFICIARY_STAGED,CPS-RC-9010150910-1-DEATH_CLAIM-C0-20200423-P3|BDC-RC-9010150910-1-DEATH_CLAIM-C0-20200423-P3,BDC-RC-9010150910-1-DEATH_CLAIM-C0-20200423-P3,N
CBS-RC-9010150910-1-DEATH_CLAIM-C0-20200423-P4,CPS-RC-9010150910-1-DEATH_CLAIM-C0-20200423-P4,RC-9010150910-1-DEATH_CLAIM-C0-20200423,9010150910,710188,PE,SEQUENTIAL_SPLIT,Y,N,4,25.00,BENEFICIARY_STAGED,CPS-RC-9010150910-1-DEATH_CLAIM-C0-20200423-P4|BDC-RC-9010150910-1-DEATH_CLAIM-C0-20200423-P4,BDC-RC-9010150910-1-DEATH_CLAIM-C0-20200423-P4,N
CBS-RC-9010331157-1-DEATH_CLAIM-C0-20190315-P1,CPS-RC-9010331157-1-DEATH_CLAIM-C0-20190315-P1,RC-9010331157-1-DEATH_CLAIM-C0-20190315,9010331157,709555,PE,SEQUENTIAL_SPLIT,Y,N,1,20.00,BENEFICIARY_STAGED,CPS-RC-9010331157-1-DEATH_CLAIM-C0-20190315-P1|BDC-RC-9010331157-1-DEATH_CLAIM-C0-20190315-P1,BDC-RC-9010331157-1-DEATH_CLAIM-C0-20190315-P1,N
CBS-RC-9010331157-1-DEATH_CLAIM-C0-20190315-P2,CPS-RC-9010331157-1-DEATH_CLAIM-C0-20190315-P2,RC-9010331157-1-DEATH_CLAIM-C0-20190315,9010331157,709556,PE,SEQUENTIAL_SPLIT,Y,N,2,20.00,BENEFICIARY_STAGED,CPS-RC-9010331157-1-DEATH_CLAIM-C0-20190315-P2|BDC-RC-9010331157-1-DEATH_CLAIM-C0-20190315-P2,BDC-RC-9010331157-1-DEATH_CLAIM-C0-20190315-P2,N
CBS-RC-9010331157-1-DEATH_CLAIM-C0-20190315-P3,CPS-RC-9010331157-1-DEATH_CLAIM-C0-20190315-P3,RC-9010331157-1-DEATH_CLAIM-C0-20190315,9010331157,709557,PE,SEQUENTIAL_SPLIT,Y,N,3,20.00,BENEFICIARY_STAGED,CPS-RC-9010331157-1-DEATH_CLAIM-C0-20190315-P3|BDC-RC-9010331157-1-DEATH_CLAIM-C0-20190315-P3,BDC-RC-9010331157-1-DEATH_CLAIM-C0-20190315-P3,N
CBS-RC-9010331157-1-DEATH_CLAIM-C0-20190315-P4,CPS-RC-9010331157-1-DEATH_CLAIM-C0-20190315-P4,RC-9010331157-1-DEATH_CLAIM-C0-20190315,9010331157,709558,PE,SEQUENTIAL_SPLIT,Y,N,4,20.00,BENEFICIARY_STAGED,CPS-RC-9010331157-1-DEATH_CLAIM-C0-20190315-P4|BDC-RC-9010331157-1-DEATH_CLAIM-C0-20190315-P4,BDC-RC-9010331157-1-DEATH_CLAIM-C0-20190315-P4,N
CBS-RC-9010331157-1-DEATH_CLAIM-C0-20190315-P5,CPS-RC-9010331157-1-DEATH_CLAIM-C0-20190315-P5,RC-9010331157-1-DEATH_CLAIM-C0-20190315,9010331157,709559,PE,SEQUENTIAL_SPLIT,Y,N,5,20.00,BENEFICIARY_STAGED,CPS-RC-9010331157-1-DEATH_CLAIM-C0-20190315-P5|BDC-RC-9010331157-1-DEATH_CLAIM-C0-20190315-P5,BDC-RC-9010331157-1-DEATH_CLAIM-C0-20190315-P5,N
CBS-RC-9010335038-1-DEATH_CLAIM-C0-20180422-P1,CPS-RC-9010335038-1-DEATH_CLAIM-C0-20180422-P1,RC-9010335038-1-DEATH_CLAIM-C0-20180422,9010335038,581281,PE,EXPLICIT_PAYEE,N,N,1,100.00,BENEFICIARY_STAGED,CPS-RC-9010335038-1-DEATH_CLAIM-C0-20180422-P1|BDC-RC-9010335038-1-DEATH_CLAIM-C0-20180422-P1,BDC-RC-9010335038-1-DEATH_CLAIM-C0-20180422-P1,N
CBS-RC-9010363098-1-DEATH_CLAIM-C0-20220917-P1,CPS-RC-9010363098-1-DEATH_CLAIM-C0-20220917-P1,RC-9010363098-1-DEATH_CLAIM-C0-20220917,9010363098,696406,PE,EXPLICIT_PAYEE,N,N,1,100.00,BENEFICIARY_STAGED,CPS-RC-9010363098-1-DEATH_CLAIM-C0-20220917-P1|BDC-RC-9010363098-1-DEATH_CLAIM-C0-20220917-P1,BDC-RC-9010363098-1-DEATH_CLAIM-C0-20220917-P1,N
CBS-RC-9010367438-1-DEATH_CLAIM-C0-20211110-P1,CPS-RC-9010367438-1-DEATH_CLAIM-C0-20211110-P1,RC-9010367438-1-DEATH_CLAIM-C0-20211110,9010367438,696433,PE,SEQUENTIAL_SPLIT,Y,N,1,33.33,BENEFICIARY_STAGED,CPS-RC-9010367438-1-DEATH_CLAIM-C0-20211110-P1|BDC-RC-9010367438-1-DEATH_CLAIM-C0-20211110-P1,BDC-RC-9010367438-1-DEATH_CLAIM-C0-20211110-P1,N
CBS-RC-9010367438-1-DEATH_CLAIM-C0-20211110-P2,CPS-RC-9010367438-1-DEATH_CLAIM-C0-20211110-P2,RC-9010367438-1-DEATH_CLAIM-C0-20211110,9010367438,711405,PE,SEQUENTIAL_SPLIT,Y,N,2,33.33,BENEFICIARY_STAGED,CPS-RC-9010367438-1-DEATH_CLAIM-C0-20211110-P2|BDC-RC-9010367438-1-DEATH_CLAIM-C0-20211110-P2,BDC-RC-9010367438-1-DEATH_CLAIM-C0-20211110-P2,N
CBS-RC-9010367438-1-DEATH_CLAIM-C0-20211110-P3,CPS-RC-9010367438-1-DEATH_CLAIM-C0-20211110-P3,RC-9010367438-1-DEATH_CLAIM-C0-20211110,9010367438,711406,PE,SEQUENTIAL_SPLIT,Y,N,3,33.33,BENEFICIARY_STAGED,CPS-RC-9010367438-1-DEATH_CLAIM-C0-20211110-P3|BDC-RC-9010367438-1-DEATH_CLAIM-C0-20211110-P3,BDC-RC-9010367438-1-DEATH_CLAIM-C0-20211110-P3,N
CBS-RC-9010368703-1-DEATH_CLAIM-C0-20210114-P1,CPS-RC-9010368703-1-DEATH_CLAIM-C0-20210114-P1,RC-9010368703-1-DEATH_CLAIM-C0-20210114,9010368703,696436,PE,EXPLICIT_PAYEE,N,N,1,100.00,BENEFICIARY_STAGED,CPS-RC-9010368703-1-DEATH_CLAIM-C0-20210114-P1|BDC-RC-9010368703-1-DEATH_CLAIM-C0-20210114-P1,BDC-RC-9010368703-1-DEATH_CLAIM-C0-20210114-P1,N
CBS-RC-9010371171-1-DEATH_CLAIM-C0-20240624-P1,CPS-RC-9010371171-1-DEATH_CLAIM-C0-20240624-P1,RC-9010371171-1-DEATH_CLAIM-C0-20240624,9010371171,696442,PE,EXPLICIT_PAYEE,N,N,1,100.00,BENEFICIARY_STAGED,CPS-RC-9010371171-1-DEATH_CLAIM-C0-20240624-P1|BDC-RC-9010371171-1-DEATH_CLAIM-C0-20240624-P1,BDC-RC-9010371171-1-DEATH_CLAIM-C0-20240624-P1,N
CBS-RC-9010374779-1-DEATH_CLAIM-C0-20200530-P1,CPS-RC-9010374779-1-DEATH_CLAIM-C0-20200530-P1,RC-9010374779-1-DEATH_CLAIM-C0-20200530,9010374779,696461,PE,EXPLICIT_PAYEE,N,N,1,100.00,BENEFICIARY_STAGED,CPS-RC-9010374779-1-DEATH_CLAIM-C0-20200530-P1|BDC-RC-9010374779-1-DEATH_CLAIM-C0-20200530-P1,BDC-RC-9010374779-1-DEATH_CLAIM-C0-20200530-P1,N
CBS-RC-9010376540-1-DEATH_CLAIM-C0-20181014-P1,CPS-RC-9010376540-1-DEATH_CLAIM-C0-20181014-P1,RC-9010376540-1-DEATH_CLAIM-C0-20181014,9010376540,701011,PE,SEQUENTIAL_SPLIT,N,N,1,,BENEFICIARY_STAGED,CPS-RC-9010376540-1-DEATH_CLAIM-C0-20181014-P1|BDC-RC-9010376540-1-DEATH_CLAIM-C0-20181014-P1,BDC-RC-9010376540-1-DEATH_CLAIM-C0-20181014-P1,N
CBS-RC-9010376540-1-DEATH_CLAIM-C0-20181014-P2,CPS-RC-9010376540-1-DEATH_CLAIM-C0-20181014-P2,RC-9010376540-1-DEATH_CLAIM-C0-20181014,9010376540,701011,B1,SEQUENTIAL_SPLIT,N,N,2,,BENEFICIARY_STAGED,CPS-RC-9010376540-1-DEATH_CLAIM-C0-20181014-P2|BDC-RC-9010376540-1-DEATH_CLAIM-C0-20181014-P2,BDC-RC-9010376540-1-DEATH_CLAIM-C0-20181014-P2,N
CBS-RC-9010376540-1-DEATH_CLAIM-C1-20190220-P1,CPS-RC-9010376540-1-DEATH_CLAIM-C1-20190220-P1,RC-9010376540-1-DEATH_CLAIM-C1-20190220,9010376540,701011,PE,EXPLICIT_PAYEE,N,N,1,100.00,BENEFICIARY_STAGED,CPS-RC-9010376540-1-DEATH_CLAIM-C1-20190220-P1|BDC-RC-9010376540-1-DEATH_CLAIM-C1-20190220-P1,BDC-RC-9010376540-1-DEATH_CLAIM-C1-20190220-P1,N
CBS-RC-9010378710-1-DEATH_CLAIM-C0-20210210-P1,CPS-RC-9010378710-1-DEATH_CLAIM-C0-20210210-P1,RC-9010378710-1-DEATH_CLAIM-C0-20210210,9010378710,696488,PE,EXPLICIT_PAYEE,N,N,1,100.00,BENEFICIARY_STAGED,CPS-RC-9010378710-1-DEATH_CLAIM-C0-20210210-P1|BDC-RC-9010378710-1-DEATH_CLAIM-C0-20210210-P1,BDC-RC-9010378710-1-DEATH_CLAIM-C0-20210210-P1,N
CBS-RC-9010378829-1-DEATH_CLAIM-C0-20210829-P1,CPS-RC-9010378829-1-DEATH_CLAIM-C0-20210829-P1,RC-9010378829-1-DEATH_CLAIM-C0-20210829,9010378829,600763,PE,EXPLICIT_PAYEE,N,N,1,100.00,BENEFICIARY_STAGED,CPS-RC-9010378829-1-DEATH_CLAIM-C0-20210829-P1|BDC-RC-9010378829-1-DEATH_CLAIM-C0-20210829-P1,BDC-RC-9010378829-1-DEATH_CLAIM-C0-20210829-P1,N
CBS-RC-9010382520-1-DEATH_CLAIM-C0-20200820-P1,CPS-RC-9010382520-1-DEATH_CLAIM-C0-20200820-P1,RC-9010382520-1-DEATH_CLAIM-C0-20200820,9010382520,590407,PE,EXPLICIT_PAYEE,N,N,1,100.00,BENEFICIARY_STAGED,CPS-RC-9010382520-1-DEATH_CLAIM-C0-20200820-P1|BDC-RC-9010382520-1-DEATH_CLAIM-C0-20200820-P1,BDC-RC-9010382520-1-DEATH_CLAIM-C0-20200820-P1,N
CBS-RC-9010382931-1-DEATH_CLAIM-C0-20220210-P1,CPS-RC-9010382931-1-DEATH_CLAIM-C0-20220210-P1,RC-9010382931-1-DEATH_CLAIM-C0-20220210,9010382931,590409,PE,EXPLICIT_PAYEE,N,N,1,100.00,BENEFICIARY_STAGED,CPS-RC-9010382931-1-DEATH_CLAIM-C0-20220210-P1|BDC-RC-9010382931-1-DEATH_CLAIM-C0-20220210-P1,BDC-RC-9010382931-1-DEATH_CLAIM-C0-20220210-P1,N
CBS-RC-9010385491-1-DEATH_CLAIM-C0-20190501-P1,CPS-RC-9010385491-1-DEATH_CLAIM-C0-20190501-P1,RC-9010385491-1-DEATH_CLAIM-C0-20190501,9010385491,696567,PE,SEQUENTIAL_SPLIT,N,N,1,,BENEFICIARY_STAGED,CPS-RC-9010385491-1-DEATH_CLAIM-C0-20190501-P1|BDC-RC-9010385491-1-DEATH_CLAIM-C0-20190501-P1,BDC-RC-9010385491-1-DEATH_CLAIM-C0-20190501-P1,N
CBS-RC-9010385491-1-DEATH_CLAIM-C0-20190501-P2,CPS-RC-9010385491-1-DEATH_CLAIM-C0-20190501-P2,RC-9010385491-1-DEATH_CLAIM-C0-20190501,9010385491,696568,PE,SEQUENTIAL_SPLIT,N,N,2,,BENEFICIARY_STAGED,CPS-RC-9010385491-1-DEATH_CLAIM-C0-20190501-P2|BDC-RC-9010385491-1-DEATH_CLAIM-C0-20190501-P2,BDC-RC-9010385491-1-DEATH_CLAIM-C0-20190501-P2,N
