reconstructed_claim_id,policy_number,claim_family,baseline_balancing_status,enhanced_balancing_status,baseline_balancing_difference,enhanced_balancing_difference,linked_payout_added,in_group_payout,enhanced_payout_total,balancing_impact,cross_claim_linkage_applied
RC-9010149834-1-SURRENDER_CLAIM-C0-20180302,9010149834,SURRENDER_CLAIM,UNBALANCED,UNBALANCED,831.92,831.92,0.0,0.0,0.0,No change,N
RC-9010150740-1-DEATH_CLAIM-C0-20230509,9010150740,DEATH_CLAIM,UNBALANCED,UNBALANCED,-1713.59,-1713.59,0.0,3213.59,3213.59,No change,N
RC-9010150910-1-DEATH_CLAIM-C0-20200423,9010150910,DEATH_CLAIM,UNBALANCED,UNBALANCED,-134.57,-134.57,0.0,1134.57,1134.57,No change,N
RC-9010150910-3-DEATH_CLAIM-C0-20200423,9010150910,DEATH_CLAIM,UNBALANCED,UNBALANCED,127.52,127.52,0.0,0.0,0.0,No change,N
RC-9010154425-1-DISBURSEMENT_CLAIM-C0-20201203,9010154425,DISBURSEMENT_CLAIM,BALANCED,BALANCED,0.0,0.0,0.0,2107.95,2107.95,No change,N
RC-9010185592-1-SURRENDER_CLAIM-C0-20191211,9010185592,SURRENDER_CLAIM,UNBALANCED,UNBALANCED,851.9,851.9,0.0,0.0,0.0,No change,N
RC-9010235370-1-DISBURSEMENT_CLAIM-C0-20210902,9010235370,DISBURSEMENT_CLAIM,BALANCED,BALANCED,0.0,0.0,0.0,3517.03,3517.03,No change,N
RC-9010331157-1-DEATH_CLAIM-C0-20190315,9010331157,DEATH_CLAIM,UNBALANCED,UNBALANCED,-9256.93,-9256.93,0.0,19446.62,19446.62,No change,N
RC-9010331768-1-SURRENDER_CLAIM-C0-20180724,9010331768,SURRENDER_CLAIM,BALANCED,BALANCED,0.0,0.0,0.0,0.0,0.0,No change,N
RC-9010331768-1-SURRENDER_CLAIM-C1-20190724,9010331768,SURRENDER_CLAIM,BALANCED,BALANCED,0.0,0.0,0.0,0.0,0.0,No change,N
RC-9010331768-1-SURRENDER_CLAIM-C2-20200724,9010331768,SURRENDER_CLAIM,BALANCED,BALANCED,0.0,0.0,0.0,0.0,0.0,No change,N
RC-9010331768-1-SURRENDER_CLAIM-C3-20210724,9010331768,SURRENDER_CLAIM,BALANCED,BALANCED,0.0,0.0,0.0,0.0,0.0,No change,N
RC-9010331768-1-SURRENDER_CLAIM-C4-20220724,9010331768,SURRENDER_CLAIM,BALANCED,BALANCED,0.0,0.0,0.0,0.0,0.0,No change,N
RC-9010331768-1-SURRENDER_CLAIM-C5-20230721,9010331768,SURRENDER_CLAIM,BALANCED,BALANCED,0.0,0.0,0.0,0.0,0.0,No change,N
RC-9010331768-1-SURRENDER_CLAIM-C6-20240724,9010331768,SURRENDER_CLAIM,BALANCED,BALANCED,0.0,0.0,0.0,0.0,0.0,No change,N
RC-9010331768-1-SURRENDER_CLAIM-C7-20250724,9010331768,SURRENDER_CLAIM,BALANCED,BALANCED,0.0,0.0,0.0,0.0,0.0,No change,N
RC-9010335038-1-DEATH_CLAIM-C0-20180422,9010335038,DEATH_CLAIM,UNBALANCED,UNBALANCED,-6777.05,-6777.05,0.0,11777.05,11777.05,No change,N
RC-9010335095-1-DISBURSEMENT_CLAIM-C0-20191126,9010335095,DISBURSEMENT_CLAIM,BALANCED,BALANCED,0.0,0.0,0.0,2474.02,2474.02,No change,N
RC-9010346921-1-SURRENDER_CLAIM-C0-20181118,9010346921,SURRENDER_CLAIM,BALANCED,BALANCED,0.0,0.0,0.0,0.0,0.0,No change,N
RC-9010346921-1-SURRENDER_CLAIM-C1-20191118,9010346921,SURRENDER_CLAIM,BALANCED,BALANCED,0.0,0.0,0.0,0.0,0.0,No change,N
RC-9010346921-1-SURRENDER_CLAIM-C2-20201118,9010346921,SURRENDER_CLAIM,BALANCED,BALANCED,0.0,0.0,0.0,0.0,0.0,No change,N
RC-9010346921-1-SURRENDER_CLAIM-C3-20211118,9010346921,SURRENDER_CLAIM,BALANCED,BALANCED,0.0,0.0,0.0,0.0,0.0,No change,N
