MPLAN,MEFFDATE,MINTRATE,MINTRATE1
1200WT,19000101,3.7500,3.7500
1200WT,20200101,3.0000,3.0000
1200WT,20240101,3.0000,3.5000
1205IS,19000101,2.5000,2.5000
1205IS,20230101,3.0000,3.0000
1205IS,20240101,3.0000,3.5000
1206UL,19000101,3.0000,3.0000
1206UL,20200101,2.5000,2.5000
1206UL,20220101,3.0000,3.0000
1206UL,20240101,3.0000,3.5000
A103RO,19000101,3.5000,3.5000
A103RO,20170101,3.0000,3.0000
A103RO,20200101,2.5000,2.5000
A103RO,20210101,2.0000,2.0000
A103RO,20230101,2.5000,3.0000
A103RO,20240101,3.0000,4.5000
A103RO,20250101,3.0000,5.0000
A103RO,20260101,3.0000,6.0000
A104ES,19000101,3.5000,3.5000
A104ES,20170101,3.0000,3.0000
A104ES,20230101,2.5000,4.0000
A104ES,20240101,3.0000,5.5000
A104ES,20250101,3.0000,6.0000
A105IR,19000101,3.5000,3.5000
A105IR,20170101,1.5000,1.5000
A105IR,20200101,2.0000,2.0000
A105IR,20230101,2.5000,4.0000
A105IR,20240101,3.0000,5.5000
A105IR,20250101,3.0000,5.0000
A105IR,20260101,3.0000,6.0000
A106PR,19000101,3.5000,3.5000
A106PR,20170101,4.0000,4.0000
A106PR,20200101,3.5000,3.5000
A106PR,20210101,3.0000,3.0000
A106PR,20230101,2.5000,4.0000
A106PR,20240101,3.0000,5.5000
A106PR,20250101,3.0000,6.2500
A106PR,20260101,3.0000,6.5000
A107NA,19000101,3.5000,3.5000
A107NA,20170101,3.0000,3.0000
A107NA,20200101,2.5000,2.5000
A107NA,20210101,2.0000,2.0000
A107NA,20230101,2.5000,3.0000
A107NA,20240101,3.0000,4.5000
A107NA,20250101,3.0000,5.0000
A107NA,20260101,3.0000,6.0000
A108SP,19000101,3.5000,3.5000
A108SP,20170101,3.0000,3.0000
A108SP,20200101,2.5000,2.5000
A108SP,20210101,2.0000,2.0000
A108SP,20230101,2.5000,3.0000
A108SP,20240101,3.0000,4.5000
A108SP,20250101,3.0000,5.0000
A108SP,20260101,3.0000,6.0000
A109IM,19000101,3.0000,3.0000
A109IM,20200101,2.0000,2.0000
A93ULP,19000101,3.0000,3.0000
A94FCL,19000101,3.0000,3.0000
A94FLP,19000101,3.0000,3.0000
A94SLP,19000101,3.0000,3.0000
A94UCL,19000101,3.0000,3.0000
A94ULP,19000101,3.0000,3.0000
A95ICL,19000101,3.0000,3.0000
A95ILP,19000101,3.0000,3.0000
A95PLP,19000101,3.0000,3.0000
A95SLP,19000101,3.0000,3.0000
A95ULP,19000101,3.0000,3.0000
A96ILP,19000101,4.5000,4.5000
A96PLP,19000101,4.5000,4.5000
A96SLP,19000101,4.5000,4.5000
A96ULP,19000101,4.5000,4.5000
A97PLP,19000101,4.5000,4.5000
A97SLP,19000101,4.5000,4.5000
A97UCL,19000101,4.5000,4.5000
A97ULP,19000101,4.5000,4.5000
