QLA,LOSS_CLASS
01122D991C,PARTIAL_MALFORMED
01142D978C,PARTIAL_MALFORMED
01154D174C,PARTIAL_MALFORMED
01159D276C,ONLY_MALFORMED
01185D536C,PARTIAL_MALFORMED
01222DCC,ONLY_MALFORMED
01222DDC,ONLY_MALFORMED
01330D153C,ONLY_MALFORMED
01353D732C,ONLY_MALFORMED
014048C,PARTIAL_MALFORMED
014059C,ONLY_MALFORMED
014075AC,ONLY_MALFORMED
014075BC,ONLY_MALFORMED
014098AC,ONLY_MALFORMED
014098BC,ONLY_MALFORMED
014112C,ONLY_MALFORMED
014126AC,ONLY_MALFORMED
014130C,PARTIAL_MALFORMED
018021C,ONLY_MALFORMED
018163C,PARTIAL_MALFORMED
018166CC,PARTIAL_MALFORMED
018167CC,ONLY_MALFORMED
018167DC,ONLY_MALFORMED
018167EC,ONLY_MALFORMED
018185C,PARTIAL_MALFORMED
018187C,ONLY_MALFORMED
018222AC,ONLY_MALFORMED
018222BC,ONLY_MALFORMED
018234C,ONLY_MALFORMED
018236BC,ONLY_MALFORMED
018236CC,PARTIAL_MALFORMED
018237CC,ONLY_MALFORMED
018237DC,PARTIAL_MALFORMED
018237EC,ONLY_MALFORMED
018237FC,ONLY_MALFORMED
018237GC,ONLY_MALFORMED
018252C,PARTIAL_MALFORMED
018253AC,ONLY_MALFORMED
018253BC,ONLY_MALFORMED
018253C,ONLY_MALFORMED
018258AC,ONLY_MALFORMED
018258BC,ONLY_MALFORMED
018258CC,ONLY_MALFORMED
018284AC,ONLY_MALFORMED
018284CC,ONLY_MALFORMED
018284DC,ONLY_MALFORMED
018306FC,ONLY_MALFORMED
018313AC,ONLY_MALFORMED
018313DC,ONLY_MALFORMED
018330AC,ONLY_MALFORMED
018330BC,ONLY_MALFORMED
018330CC,ONLY_MALFORMED
018355C,ONLY_MALFORMED
018386C,ONLY_MALFORMED
018465CC,PARTIAL_MALFORMED
018465DC,ONLY_MALFORMED
018491C,ONLY_MALFORMED
018492C,ONLY_MALFORMED
018495AC,PARTIAL_MALFORMED
018495BC,PARTIAL_MALFORMED
018495CC,PARTIAL_MALFORMED
018499AC,ONLY_MALFORMED
018499CC,ONLY_MALFORMED
018509C,ONLY_MALFORMED
018528C,PARTIAL_MALFORMED
018529C,PARTIAL_MALFORMED
018586C,ONLY_MALFORMED
018645AC,ONLY_MALFORMED
018645BC,PARTIAL_MALFORMED
018645CC,ONLY_MALFORMED
018712FC,ONLY_MALFORMED
018721C,ONLY_MALFORMED
018737AC,ONLY_MALFORMED
018737BC,PARTIAL_MALFORMED
018845BC,ONLY_MALFORMED
018845CC,ONLY_MALFORMED
018900C,ONLY_MALFORMED
018907C,PARTIAL_MALFORMED
018909C,ONLY_MALFORMED
018910C,ONLY_MALFORMED
01FG8033BC,PARTIAL_MALFORMED
01FG8033CC,PARTIAL_MALFORMED
01FG8314BC,ONLY_MALFORMED
01FG8314DC,ONLY_MALFORMED
01FG8314EC,ONLY_MALFORMED
01FG8314FC,ONLY_MALFORMED
01FG8563C,PARTIAL_MALFORMED
01FG8801C,PARTIAL_MALFORMED
01ML4012AC,PARTIAL_MALFORMED
01ML4054C,PARTIAL_MALFORMED
01ML4096C,PARTIAL_MALFORMED
01ML4107C,PARTIAL_MALFORMED
01ML4134C,PARTIAL_MALFORMED
01ML4150C,ONLY_MALFORMED
01ML8007C,PARTIAL_MALFORMED
01ML8151C,PARTIAL_MALFORMED
01ML8171C,PARTIAL_MALFORMED
01ML8195C,PARTIAL_MALFORMED
01ML8209C,PARTIAL_MALFORMED
01ML8211C,PARTIAL_MALFORMED
01ML8214C,PARTIAL_MALFORMED
01ML8225C,ONLY_MALFORMED
01ML8246C,PARTIAL_MALFORMED
01ML8250C,PARTIAL_MALFORMED
01ML8251C,PARTIAL_MALFORMED
01ML8303C,ONLY_MALFORMED
01ML8307C,PARTIAL_MALFORMED
01ML8314BC,ONLY_MALFORMED
01ML8367C,PARTIAL_MALFORMED
01ML8378AC,PARTIAL_MALFORMED
01ML8438C,PARTIAL_MALFORMED
01ML8450BC,PARTIAL_MALFORMED
01ML8457C,PARTIAL_MALFORMED
01ML8464C,ONLY_MALFORMED
01ML8487C,PARTIAL_MALFORMED
01ML8493C,ONLY_MALFORMED
01ML8501C,PARTIAL_MALFORMED
01ML8515C,PARTIAL_MALFORMED
01ML8522C,ONLY_MALFORMED
01ML8535C,ONLY_MALFORMED
01ML8556C,PARTIAL_MALFORMED
01ML8557C,ONLY_MALFORMED
01ML8565C,PARTIAL_MALFORMED
01ML8570C,PARTIAL_MALFORMED
01ML8584C,PARTIAL_MALFORMED
01ML8597C,ONLY_MALFORMED
01ML8678C,ONLY_MALFORMED
01ML8772C,PARTIAL_MALFORMED
01ML8791C,PARTIAL_MALFORMED
01ML8804C,PARTIAL_MALFORMED
