MPOLICY,MISSCNTRY_before,MISSCNTRY_after,MISSUEST,MRESSTATE,would_change
010143726C,USA,0000,CA,CO,Y
010148272C,USA,0000,MO,MO,Y
010148856C,USA,0000,MO,MO,Y
010149295C,USA,0000,NE,MO,Y
010157076C,USA,0000,NE,NE,Y
010158001C,USA,0000,NE,NE,Y
010161748C,USA,0000,SD,ND,Y
010165095C,USA,0000,WAIT,CO,Y
010171334C,USA,0000,OK,OK,Y
010264207C,USA,0000,MO,MO,Y
010310404C,USA,0000,AR,AR,Y
010331768C,USA,0000,IA,AL,Y
010346921C,USA,0000,KS,KY,Y
010348734C,USA,0000,MO,MO,Y
010350577C,USA,0000,SD,SD,Y
010367131C,USA,0000,IA,IA,Y
010367132C,USA,0000,IA,IA,Y
010367133C,USA,0000,IA,IA,Y
010367704C,USA,0000,NE,NE,Y
010371356C,USA,0000,SD,SD,Y
