Iss Age,MN,MT,FN,FT
20,0.65,0.65,0.65,0.65 
21,0.65,0.65,0.65,0.65 
22,0.64,0.64,0.64,0.64 
23,0.63,0.63,0.63,0.63 
24,0.63,0.63,0.63,0.63 
25,0.63,0.63,0.63,0.63 
26,0.62,0.62,0.62,0.62 
27,0.62,0.62,0.62,0.62 
28,0.62,0.62,0.62,0.62 
29,0.61,0.61,0.61,0.61 
30,0.61,0.61,0.61,0.61 
31,0.61,0.61,0.61,0.61 
32,0.61,0.61,0.61,0.61 
33,0.61,0.61,0.61,0.61 
34,0.61,0.61,0.61,0.61 
35,0.60,0.60,0.60,0.60 
36,0.60,0.60,0.60,0.60 
37,0.60,0.60,0.60,0.60 
38,0.60,0.60,0.60,0.60 
39,0.60,0.60,0.60,0.60 
40,0.60,0.60,0.60,0.60 
41,0.60,0.60,0.60,0.60 
42,0.60,0.60,0.60,0.60 
43,0.60,0.60,0.60,0.60 
44,0.60,0.60,0.60,0.60 
45,0.60,0.60,0.60,0.60 
46,0.60,0.60,0.60,0.60 
47,0.61,0.61,0.61,0.61 
48,0.61,0.61,0.61,0.61 
49,0.61,0.61,0.61,0.61 
50,0.61,0.61,0.61,0.61 
51,0.62,0.62,0.62,0.62 
52,0.62,0.62,0.62,0.62 
53,0.63,0.63,0.63,0.63 
54,0.63,0.63,0.63,0.63 
55,0.63,0.63,0.63,0.63 
56,0.64,0.64,0.64,0.64 
57,0.65,0.65,0.65,0.65 
58,0.65,0.65,0.65,0.65 
59,0.66,0.66,0.66,0.66 
60,0.66,0.66,0.66,0.66 
61,0.67,0.67,0.67,0.67 
62,0.68,0.68,0.68,0.68 
63,0.69,0.69,0.69,0.69 
64,0.70,0.70,0.70,0.70 
65,0.71,0.71,0.71,0.71 
