Source_Field,Target_Field,Default_Value,Transformation_Note
POLICY_NUMBER,MPOLICY,,Mapped from POLICY_NUMBER
CONTRACT_CODE,MSTATUS,,Mapped from CONTRACT_CODE
CONTRACT_DATE,MSTATDATE,,Mapped from CONTRACT_DATE
ISSUE_DATE ,MISSDT,,Mapped from ISSUE_DATE
PAID_TO_DATE,MPAIDTO,,Mapped from PAID_TO_DATE
BILLED_TO_DATE,MBILLTO,,Mapped from BILLED_TO_DATE
BILLING_FORM,MBILLFRM,,Mapped from BILLING_FORM
ISSUE_DATE ,MBILLDAY,,EXTRACT_DAY
BILLING_MODE,MMODE,,Mapped from BILLING_MODE
MODE_PREMIUM,MMODEPREM,,Mapped from MODE_PREMIUM
ISSUE_STATE,MISSUEST,,Mapped from ISSUE_STATE
GROUP_NUMBER,MGROUP,,Mapped from GROUP_NUMBER
PRIMARY_PERSON,MPRIMID,,Mapped from PRIMARY_PERSON
APPLICATION_DATE,MAPPDATE,,Mapped from APPLICATION_DATE
APP_RECEIVED_DATE,MSUBMDATE,,Mapped from APP_RECEIVED_DATE
RES_STATE,MRESSTATE,,Mapped from RES_STATE
MMSMBI,MMSMBI,,Mapped from MMSMBI
,MISSCNTRY,USA,Default Country
NFO_OPT,MNFOPT,0,
PAID_UP_TYPE,MNFOPT,0,Mapped from PAID_UP_TYPE
,MDIVOPT,0,Pulled from PPBENTYP Extract Cache
,MBANKNO,,
