Source_Field,Target_Field,Default_Value,Transformation_Note
POLICY_NUMBER,MPOLICY,,
BENEFIT_SEQ,MPHASE,,Phase sequence
STATUS_CODE,MPHSTAT,,
,MLASTANN,,
,MANNSTAT,,
DATE_OF_BIRTH,MPHDOB,,
SEX_CODE,MSEX,,
PLAN_CODE,MPLAN,,
ISSUE_DATE,MEFFDATE,,
MATURE_EXPIRE_DATE,MEXPRY,,
PAY_UP_DATE,MPAYUP,,
ISSUE_AGE,MAGE,,
NUMBER_OF_UNITS,MUNIT,,
VALUE_PER_UNIT,MVPU,,
MODE_PREMIUM,MPREM,,
,MANNLFEE,,
,MSEMIFEE,,
,MQTRLFEE,,
,MMTHDFEE,,
,MMTHBFEE,,
,MRRULE,,
,MCOMMID,,
,MCV0,,
,MCV1,,
,MCV2,,
,MSAVEAGE,,
,MSAVEUNIT,,
,MSAVEVPU,,
,MSAVEPREM,,
NAME_ID,MRIDRID,,Injected by Engine
,MSSN,,
UNDERWRITING_CLASS,MUWCLASS,,
,MBAND,0,
,MSAVESTAT,,
,MCOMMPREM,,
,MSPCODE,,
,MLOCKTYP,,
,MLOCKDT,,
,MUNLCKDT,,
PAR_TYPE,MPAR,,
