,30 Year Band 1,,,,30 Year Band 2,,,,,,,,30 Year Band 3,,,,,,,,30 Year Band 4,,,,,,,
,MRN,MRT,FRN,FRT,MSP,MPN,MRN,MRT,FSP,FPN,FRN,FRT,MSP,MPN,MRN,MRT,FSP,FPN,FRN,FRT,MSP,MPN,MRN,MRT,FSP,FPN,FRN,FRT
18,1.87,3.43,1.31,2.29,1.00,1.14,1.50,3.03,0.88,0.99,1.13,2.26,0.82,0.94,1.25,2.68,0.69,0.75,0.94,1.99,0.64,0.77,1.11,2.28,0.51,0.58,0.75,1.65 
19,1.87,3.43,1.31,2.29,1.00,1.14,1.50,3.03,0.88,0.99,1.13,2.26,0.82,0.94,1.25,2.68,0.69,0.75,0.94,1.99,0.64,0.77,1.11,2.28,0.51,0.58,0.75,1.65 
20,1.87,3.43,1.31,2.29,1.00,1.14,1.50,3.03,0.88,0.99,1.13,2.26,0.82,0.94,1.25,2.68,0.69,0.75,0.94,1.99,0.64,0.77,1.11,2.28,0.51,0.58,0.75,1.65 
21,1.88,3.49,1.35,2.40,1.01,1.16,1.51,3.09,0.88,1.01,1.16,2.27,0.84,0.96,1.28,2.75,0.70,0.78,0.97,2.02,0.65,0.79,1.12,2.37,0.53,0.61,0.79,1.75 
22,1.88,3.55,1.39,2.51,1.02,1.18,1.52,3.14,0.88,1.03,1.19,2.27,0.85,0.97,1.30,2.82,0.71,0.81,1.00,2.05,0.66,0.80,1.13,2.45,0.55,0.63,0.83,1.84 
23,1.88,3.61,1.43,2.62,1.03,1.20,1.52,3.19,0.88,1.05,1.22,2.28,0.86,0.98,1.32,2.88,0.72,0.83,1.03,2.08,0.67,0.81,1.13,2.53,0.56,0.65,0.87,1.94 
24,1.88,3.67,1.47,2.73,1.04,1.22,1.53,3.24,0.88,1.07,1.25,2.28,0.87,0.99,1.34,2.95,0.73,0.86,1.06,2.11,0.68,0.82,1.14,2.61,0.58,0.67,0.91,2.03 
25,1.88,3.72,1.50,2.83,1.05,1.24,1.53,3.29,0.88,1.08,1.28,2.28,0.88,1.00,1.36,3.01,0.74,0.88,1.08,2.13,0.69,0.83,1.14,2.69,0.59,0.69,0.94,2.12 
26,1.96,3.89,1.56,3.01,1.07,1.28,1.60,3.44,0.89,1.12,1.32,2.43,0.91,1.05,1.42,3.15,0.76,0.92,1.11,2.24,0.73,0.89,1.22,2.85,0.62,0.73,0.99,2.23 
27,2.03,4.06,1.62,3.19,1.09,1.31,1.67,3.59,0.90,1.15,1.36,2.58,0.94,1.10,1.48,3.28,0.77,0.95,1.14,2.35,0.77,0.95,1.29,3.01,0.65,0.77,1.04,2.33 
28,2.11,4.23,1.68,3.37,1.11,1.34,1.74,3.73,0.90,1.19,1.39,2.72,0.97,1.15,1.53,3.41,0.79,0.98,1.17,2.46,0.81,1.00,1.36,3.17,0.68,0.81,1.09,2.44 
29,2.18,4.40,1.74,3.55,1.13,1.37,1.81,3.88,0.91,1.22,1.43,2.87,1.00,1.20,1.59,3.54,0.80,1.01,1.20,2.57,0.85,1.06,1.43,3.33,0.71,0.85,1.14,2.54 
30,2.25,4.57,1.80,3.72,1.15,1.40,1.87,4.02,0.91,1.25,1.46,3.01,1.03,1.25,1.64,3.67,0.81,1.04,1.22,2.67,0.89,1.11,1.50,3.48,0.74,0.89,1.19,2.64 
31,2.32,4.83,1.86,3.91,1.19,1.49,1.92,4.33,0.95,1.28,1.51,3.25,1.06,1.31,1.68,3.89,0.85,1.08,1.27,2.86,0.92,1.18,1.56,3.69,0.77,0.95,1.23,2.80 
32,2.38,5.09,1.91,4.10,1.23,1.58,1.96,4.64,0.98,1.30,1.56,3.48,1.09,1.36,1.72,4.11,0.88,1.12,1.32,3.04,0.95,1.25,1.61,3.90,0.79,1.00,1.27,2.96 
33,2.44,5.35,1.97,4.28,1.26,1.66,2.01,4.94,1.02,1.33,1.61,3.71,1.11,1.41,1.76,4.32,0.91,1.15,1.36,3.23,0.98,1.31,1.66,4.11,0.82,1.05,1.31,3.12 
34,2.50,5.61,2.02,4.47,1.30,1.75,2.05,5.25,1.05,1.35,1.66,3.94,1.14,1.46,1.80,4.54,0.94,1.19,1.41,3.41,1.01,1.38,1.71,4.32,0.84,1.10,1.35,3.28 
35,2.56,5.86,2.07,4.65,1.33,1.83,2.09,5.55,1.08,1.37,1.70,4.17,1.16,1.51,1.84,4.75,0.97,1.22,1.45,3.59,1.03,1.44,1.76,4.52,0.86,1.15,1.39,3.43 
