Source_Field,Target_Field,Default_Value,Lookup_Table,Join_Key,Transformation_Note
COVERAGE_ID,PLAN,,,,Map to crosswalk via engine
POLICY_FORM_NUM,FORM,,,,
DESCRIPTION,DESCR,,,,
,PAR,0,,,
SEX_BASIS,SEX,,,,
,BASIS,,,,
,NFOINT,,,,
,LOANINT,0.00,,,
,LOANINTX,A,,,
,DEPINT,0.00,,,
,VARDB,4,,,
,VARGP,4,,,
MIN_ISSUE_AGE,LOAGE,0,,,
MAX_ISSUE_AGE,HIAGE,121,,,
,RENEW,N,,,
PREM_CEASE_POINT,PAYYRS,0,,,ROUTE_PAY_YRS
PREM_CEASE_POINT,PAYAGE,0,,,ROUTE_PAY_AGE
BEN_CEASE_POINT,INSYRS,0,,,ROUTE_INS_YRS
BEN_CEASE_POINT,INSAGE,0,,,ROUTE_INS_AGE
,ANNL,100.0000,,,
,SEMI,51.0000,,,
,QTRL,26.5000,,,
,MTHD,9.2500,,,
,MTHB,9.2500,,,
,ANNLFEE,0.0000,,,
,SEMIFEE,0.0000,,,
,QTRLFEE,0.0000,,,
,MTHDFEE,0.0000,,,
,MTHBFEE,0.0000,,,
,INITVAL,1000.00,,,
,MKTG,,,,
PRODUCT_TYPE,PRODUCT,,,,
,CALCADV,N,,,
,COMMID,,,,
MIN_ISSUE_AMT1,MINUNIT,0,PCOMP,COVERAGE_ID,TO_UNITS
MAX_ISSUE_AMT1,MAXUNIT,99,PCOMP,COVERAGE_ID,TO_UNITS
,BPOLFEE,,,,
,BACTIVE,N,,,
,RRULE,B,,,
,AGTRSV,0.00,,,
,AUTONFO,0,,,
,PLANTYPE,,,,
,INTMETHTV,,,,
,INTMETHCV,,,,
,DEFICIENCY,N,,,
,HDEDMETHOD,,,,
,PLANVALOPT,Y,,,
,GDVARYGP,0,,,
,GDVARYDB,0,,,
,GDVARYCV,,,,
,GDVARYTV,,,,
,GDVARYDV,,,,
,UWVARYGP,,,,
,UWVARYDB,,,,
,UWVARYCV,,,,
,UWVARYTV,,,,
,UWVARYDV,,,,
,BDVARYGP,,,,
,BDVARYDB,,,,
,BDVARYCV,,,,
,BDVARYTV,,,,
,BDVARYDV,,,,
,STVARYGP,,,,
,STVARYDB,,,,
,STVARYCV,,,,
,STVARYTV,,,,
,STVARYDV,,,,
,CONVCOMM,,,,
DESCRIPTION,PLANNAME,,,,
,HRENEW,,,,
,HLOB,,,,
,HCOMMIP,,,,
,HRIGPKEY,,,,
,SIMPLEINT,,,,
,MLAPSE,0,,,
,MNOTE10,,,,
,MNAICLOB,NAPLAN,,,
,MNFOANNV,,,,
,MGTDANNV,,,,
