mpolicy,policy_digits,mpaid,cso_total_paid,live_payee_rows,claimstat,class,reason,eco_n,eco_sum,payee_n,selection_rule,payee_evidence
9010150740C,9010150740,3213.59,3213.59,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,3213.59,1,eco_full_sum_match,1:696234:3213.59
9010331157C,9010331157,19446.62,19446.62,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,5,19446.62,5,eco_full_sum_match,1:709555:3889.33|2:709556:3889.33|3:709557:3889.32|4:709558:3889.32|5:709559:3889.32
9010335038C,9010335038,11777.05,11777.05,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,11777.05,1,eco_full_sum_match,1:581281:11777.05
9010411727C,9010411727,17235.67,17235.67,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,2,17235.67,2,eco_full_sum_match,1:707150:8617.84|3:707149:8617.83
9010438821C,9010438821,15476.47,15476.47,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,5,15476.47,5,eco_full_sum_match,1:709399:3095.30|2:709400:3095.30|3:709401:3095.29|4:709402:3095.29|5:709413:3095.29
9010443109C,9010443109,5504.36,5504.36,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,5504.36,1,eco_full_sum_match,1:698407:5504.36
9010455617C,9010455617,8671.31,8671.31,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,8671.31,1,eco_full_sum_match,1:698714:8671.31
9010471933C,9010471933,10724.24,10724.24,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,10724.24,1,eco_full_sum_match,1:656219:10724.24
9010498617C,9010498617,7187.13,7187.13,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,7187.13,1,eco_full_sum_match,1:711465:7187.13
9010521160C,9010521160,3877.32,3877.32,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,3877.32,1,eco_full_sum_match,1:704566:3877.32
9010586005C,9010586005,5123.23,5123.23,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,5123.23,1,eco_full_sum_match,1:713406:5123.23
9010726104C,9010726104,100399.6,100399.6,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,100399.6,1,eco_full_sum_match,1:601068:100399.60
9010749041C,9010749041,25443.33,25443.33,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,25443.33,1,eco_full_sum_match,1:711348:25443.33
9010756034C,9010756034,22357.51,22357.51,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,3,22357.51,3,eco_full_sum_match,2:708986:7452.50|3:708987:7452.50|4:708988:7452.51
9010757541C,9010757541,20707.67,20707.67,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,20707.67,1,eco_full_sum_match,2:708357:20707.67
9010758074C,9010758074,8321.61,8321.61,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,8321.61,1,eco_full_sum_match,1:687328:8321.61
9010764339C,9010764339,50108.68,50108.68,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,50108.68,1,eco_full_sum_match,1:708438:50108.68
9010774484C,9010774484,70114.95,70114.95,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,70114.95,1,eco_full_sum_match,1:712423:70114.95
9010778914C,9010778914,13715.77,13715.77,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,4,13715.77,4,eco_full_sum_match,1:709382:3428.95|2:709383:3428.94|3:709384:3428.94|4:709385:3428.94
