mpolicy,action,detail
9010385491C,OPTION3_HEADER_UPDATED,mpaid=6000.23;payees=1
9010391359C,OPTION3_HEADER_UPDATED,mpaid=1260.06;payees=0
9010411499C,OPTION3_HEADER_UPDATED,mpaid=10466.96;payees=1
9010428771C,OPTION3_HEADER_UPDATED,mpaid=5023.62;payees=1
9010500769C,OPTION3_HEADER_UPDATED,mpaid=5023.14;payees=1
9010745640C,OPTION3_HEADER_UPDATED,mpaid=5030.88;payees=1
9010764834C,OPTION3_HEADER_UPDATED,mpaid=10577.42;payees=1
9010778262C,OPTION3_HEADER_UPDATED,mpaid=9919.72;payees=3
9010778841C,OPTION3_HEADER_UPDATED,mpaid=11162.77;payees=1
9010832681C,OPTION3_HEADER_UPDATED,mpaid=10929.70;payees=1
9010841471C,OPTION3_HEADER_UPDATED,mpaid=7315.24;payees=1
9010894951C,OPTION3_HEADER_UPDATED,mpaid=14442.87;payees=1
9010896924C,OPTION3_HEADER_UPDATED,mpaid=12321.35;payees=2
9010900144C,OPTION3_HEADER_UPDATED,mpaid=6463.40;payees=1
9010914301C,OPTION3_HEADER_UPDATED,mpaid=25019.98;payees=2
9010959302C,OPTION3_HEADER_UPDATED,mpaid=5005.66;payees=1
9011025088C,OPTION3_HEADER_UPDATED,mpaid=8212.35;payees=0
9011040826C,OPTION3_HEADER_UPDATED,mpaid=5200.28;payees=1
9011077798C,OPTION3_HEADER_UPDATED,mpaid=4367.36;payees=1
9011092140C,OPTION3_HEADER_UPDATED,mpaid=9240.91;payees=1
9011097343C,OPTION3_HEADER_UPDATED,mpaid=5009.47;payees=1
9011101315C,OPTION3_HEADER_UPDATED,mpaid=5040.18;payees=1
9011104342C,OPTION3_HEADER_UPDATED,mpaid=5115.47;payees=1
9011115534C,OPTION3_HEADER_UPDATED,mpaid=5000.00;payees=1
9011132389C,OPTION3_HEADER_UPDATED,mpaid=10058.24;payees=0
9011133146C,OPTION3_HEADER_UPDATED,mpaid=3696.53;payees=1
9011134051C,OPTION3_HEADER_UPDATED,mpaid=10006.60;payees=1
9011138884C,OPTION3_HEADER_UPDATED,mpaid=5048.71;payees=0
9011141895C,OPTION3_HEADER_UPDATED,mpaid=5019.46;payees=0
9011156098C,OPTION3_HEADER_UPDATED,mpaid=15000.00;payees=1
9011159843C,OPTION3_HEADER_UPDATED,mpaid=5031.67;payees=1
9011162387C,OPTION3_HEADER_UPDATED,mpaid=5040.38;payees=2
9011175626C,OPTION3_HEADER_UPDATED,mpaid=10162.77;payees=3
9011176023C,OPTION3_HEADER_UPDATED,mpaid=5041.97;payees=1
