mpolicy,policy_digits,claimstat,mpaid,mface,mintamt,premium,cso_total_paid,live_payee_rows,recon_payee_rows,source
9010150740C,9010150740,2,3213.59,1500.0,0.0,0.0,3213.59,0,0,recon_MATCH_CSO
9010331157C,9010331157,2,19446.62,10000.0,0.0,0.0,19446.62,0,0,recon_MATCH_CSO
9010335038C,9010335038,2,11777.05,5000.0,0.0,0.0,11777.05,0,0,recon_MATCH_CSO
9010411727C,9010411727,2,17235.67,10000.0,0.0,0.0,17235.67,0,0,recon_MATCH_CSO
9010438821C,9010438821,2,15476.47,11320.0,0.0,0.0,15476.47,0,0,recon_MATCH_CSO
9010443109C,9010443109,2,5504.36,4658.0,0.0,0.0,5504.36,0,0,recon_MATCH_CSO
9010455617C,9010455617,2,8671.31,4611.0,0.0,0.0,8671.31,0,0,recon_MATCH_CSO
9010471933C,9010471933,2,10724.24,6813.0,0.0,0.0,10724.24,0,0,recon_MATCH_CSO
9010498617C,9010498617,2,7187.13,4000.0,0.0,0.0,7187.13,0,0,recon_MATCH_CSO
9010521160C,9010521160,2,3877.32,2000.0,0.0,0.0,3877.32,0,0,recon_MATCH_CSO
9010586005C,9010586005,2,5123.23,5000.0,0.0,0.0,5123.23,0,0,recon_MATCH_CSO
9010726104C,9010726104,2,100399.6,100000.0,0.0,0.0,100399.6,0,0,recon_MATCH_CSO
9010749041C,9010749041,2,25443.33,25000.0,0.0,0.0,25443.33,0,0,recon_MATCH_CSO
9010756034C,9010756034,2,22357.51,21867.69,0.0,0.0,22357.51,0,0,recon_MATCH_CSO
9010757541C,9010757541,2,20707.67,20435.98,0.0,0.0,20707.67,0,0,recon_MATCH_CSO
9010758074C,9010758074,2,8321.61,8176.27,0.0,0.0,8321.61,0,0,recon_MATCH_CSO
9010764339C,9010764339,2,50108.68,50000.0,0.0,0.0,50108.68,0,0,recon_MATCH_CSO
9010774484C,9010774484,2,70114.95,70000.0,0.0,0.0,70114.95,0,0,recon_MATCH_CSO
9010778914C,9010778914,2,13715.77,13480.32,0.0,0.0,13715.77,0,0,recon_MATCH_CSO
9010779130C,9010779130,2,12890.54,12732.58,0.0,0.0,12890.54,0,0,recon_MATCH_CSO
9010781117C,9010781117,2,14279.04,13990.83,0.0,0.0,14279.04,0,0,recon_MATCH_CSO
9010786824C,9010786824,2,25546.19,25000.0,0.0,0.0,25546.19,0,0,recon_MATCH_CSO
9010786886C,9010786886,2,17030.96,16913.74,0.0,0.0,17030.96,0,0,recon_MATCH_CSO
9010787511C,9010787511,2,31832.34,31730.86,0.0,0.0,31832.34,0,0,recon_MATCH_CSO
9010790543C,9010790543,2,29479.09,29378.81,0.0,0.0,29479.09,0,0,recon_MATCH_CSO
9010792038C,9010792038,2,12421.63,12131.69,0.0,0.0,12421.63,0,0,recon_MATCH_CSO
9010792701C,9010792701,2,10738.04,10602.99,0.0,0.0,10738.04,0,0,recon_MATCH_CSO
9010797854C,9010797854,2,11267.32,11076.67,0.0,0.0,11267.32,0,0,recon_MATCH_CSO
9010800667C,9010800667,2,9218.66,9020.78,0.0,0.0,9218.66,0,0,recon_MATCH_CSO
9010803051C,9010803051,2,28484.97,28212.4,0.0,0.0,28484.97,0,0,recon_MATCH_CSO
9010809930C,9010809930,2,13070.65,12928.49,0.0,0.0,13070.65,0,0,recon_MATCH_CSO
9010813155C,9010813155,2,15671.73,15551.17,0.0,0.0,15671.73,0,0,recon_MATCH_CSO
9010814971C,9010814971,2,8671.57,8564.12,0.0,0.0,8671.57,0,0,recon_MATCH_CSO
9010823601C,9010823601,2,23148.52,22957.49,0.0,0.0,23148.52,0,0,recon_MATCH_CSO
9010823906C,9010823906,2,11163.08,10946.5,0.0,0.0,11163.08,0,0,recon_MATCH_CSO
9010829154C,9010829154,2,25444.5,25000.0,0.0,0.0,25444.5,0,0,recon_MATCH_CSO
9010836547C,9010836547,2,25273.96,25000.0,0.0,0.0,25273.96,0,0,recon_MATCH_CSO
