mpolicy,population,cso_total_paid,non_death_families,non_death_mpaid_sum_DO_NOT_ADD_TO_CSO,payee_sum_mamount,separation_note,evidence_class,hold_flag
9010426657C,IN_OUTPUT_NO_DEATH_HEADER,1453.48,DISBURSEMENT,0.0,0.0,Excluded from death CLAIMSTAT=2 mismatch Phase B rules; do not sum PS/surrender/shell with CSO Total_Paid,NO_DEATH_SHELL_OR_PS,SEPARATE_WORKSTREAM
9010434747C,IN_OUTPUT_NO_DEATH_HEADER,8205.59,DISBURSEMENT,16411.19,16411.19,Excluded from death CLAIMSTAT=2 mismatch Phase B rules; do not sum PS/surrender/shell with CSO Total_Paid,NO_DEATH_SHELL_OR_PS,SEPARATE_WORKSTREAM
9010469430C,IN_OUTPUT_NO_DEATH_HEADER,10952.87,DISBURSEMENT,10952.87,10952.87,Excluded from death CLAIMSTAT=2 mismatch Phase B rules; do not sum PS/surrender/shell with CSO Total_Paid,NO_DEATH_SHELL_OR_PS,SEPARATE_WORKSTREAM
9010497768C,IN_OUTPUT_NO_DEATH_HEADER,4311.29,DISBURSEMENT,4311.29,0.0,Excluded from death CLAIMSTAT=2 mismatch Phase B rules; do not sum PS/surrender/shell with CSO Total_Paid,NO_DEATH_SHELL_OR_PS,SEPARATE_WORKSTREAM
9010748404C,IN_OUTPUT_NO_DEATH_HEADER,10088.04,PARTIAL_SURRENDER,369.7,369.7,Excluded from death CLAIMSTAT=2 mismatch Phase B rules; do not sum PS/surrender/shell with CSO Total_Paid,NO_DEATH_SHELL_OR_PS,SEPARATE_WORKSTREAM
9010759559C,IN_OUTPUT_NO_DEATH_HEADER,5019.36,PARTIAL_SURRENDER,171.05,171.05,Excluded from death CLAIMSTAT=2 mismatch Phase B rules; do not sum PS/surrender/shell with CSO Total_Paid,NO_DEATH_SHELL_OR_PS,SEPARATE_WORKSTREAM
9010761882C,IN_OUTPUT_NO_DEATH_HEADER,20000.0,PARTIAL_SURRENDER,917.89,917.89,Excluded from death CLAIMSTAT=2 mismatch Phase B rules; do not sum PS/surrender/shell with CSO Total_Paid,NO_DEATH_SHELL_OR_PS,SEPARATE_WORKSTREAM
9010763006C,IN_OUTPUT_NO_DEATH_HEADER,30051.53,DISBURSEMENT|PARTIAL_SURRENDER,2547.6,2547.6,Excluded from death CLAIMSTAT=2 mismatch Phase B rules; do not sum PS/surrender/shell with CSO Total_Paid,NO_DEATH_SHELL_OR_PS,SEPARATE_WORKSTREAM
9010764842C,IN_OUTPUT_NO_DEATH_HEADER,5030.25,PARTIAL_SURRENDER,358.7,358.7,Excluded from death CLAIMSTAT=2 mismatch Phase B rules; do not sum PS/surrender/shell with CSO Total_Paid,NO_DEATH_SHELL_OR_PS,SEPARATE_WORKSTREAM
9010768339C,IN_OUTPUT_NO_DEATH_HEADER,12780.41,DISBURSEMENT|PARTIAL_SURRENDER,526.4,526.4,Excluded from death CLAIMSTAT=2 mismatch Phase B rules; do not sum PS/surrender/shell with CSO Total_Paid,NO_DEATH_SHELL_OR_PS,SEPARATE_WORKSTREAM
