mpolicy,policy_digits,population,is_teacher_death,cso_total_paid,death_mpaid,death_mintamt,death_rows,death_claimstats,payee_sum_mamount,payee_rows,residual_cso_minus_death_mpaid,payee_minus_death_mpaid,non_death_rows,non_death_families,non_death_mpaid_sum_DO_NOT_ADD_TO_CSO,pactg_row_count,pactg_layer_totals_json,proposed_rule_class,proposed_rule_note,cso_plan_code,cso_last_pd_date
9010150740C,9010150740,AVAILABLE_MATCH,Y,3213.59,3213.59,0.0,1,2,0.0,0,0.0,-3213.59,0,,0.0,30,"{""clearing_death"": 1509.54, ""dividend_interest"": 281.18, ""dividend_on_deposit"": 1767.23, ""payout_death_claim_payment"": 3213.59, ""unapplied_intraco"": 302.9}",MATCH_CSO,Death MPAID equals CSO Total_Paid within tolerance,262100,2023-06-20 00:00:00
9010150910C,9010150910,AVAILABLE_MATCH,N,1134.57,1134.57,0.0,1,2,1134.57,4,0.0,0.0,0,,0.0,13,"{""clearing_death"": 1134.57, ""payout_death_claim_payment"": 1134.57, ""unapplied_intraco"": 78.8, ""unclassified"": 16.91}",MATCH_CSO,Death MPAID equals CSO Total_Paid within tolerance,262100,2020-05-14 00:00:00
9010331157C,9010331157,AVAILABLE_MATCH,N,19446.62,19446.62,0.0,1,2,0.0,0,0.0,-19446.62,0,,0.0,23,"{""clearing_death"": 10016.24, ""dividend_interest"": 370.46, ""dividend_on_deposit"": 9460.89, ""interest_death_benefit"": 189.69, ""payout_death_claim_payment"": 19446.62, ""unapplied_intraco"": 442.8}",MATCH_CSO,Death MPAID equals CSO Total_Paid within tolerance,166001,2019-06-20 00:00:00
9010335038C,9010335038,AVAILABLE_MATCH,N,11777.05,11777.05,0.0,1,2,0.0,0,0.0,-11777.05,0,,0.0,7,"{""clearing_death"": 5018.98, ""dividend_interest"": 70.96, ""dividend_on_deposit"": 6758.07, ""payout_death_claim_payment"": 11777.05, ""unapplied_intraco"": 72.76}",MATCH_CSO,Death MPAID equals CSO Total_Paid within tolerance,166001,2018-05-17 00:00:00
9010363098C,9010363098,AVAILABLE_MATCH,N,7770.08,7770.08,0.0,1,2,7770.08,1,0.0,0.0,0,,0.0,117,"{""clearing_death"": 7770.08, ""loan_interest_capitalized"": 128.73, ""loan_unearned_interest_income"": 126.89, ""payout_death_claim_payment"": 7770.08, ""reversal"": 79.22, ""unapplied_intraco"": 1772.32, ""unclassified"": 1104.5}",MATCH_CSO,Death MPAID equals CSO Total_Paid within tolerance,166001,2022-10-18 00:00:00
9010367438C,9010367438,MISSING_ERIC_SUPPLY,N,4469.37,0.0,0.0,0,,0.0,0,4469.37,0.0,0,,0.0,0,{},ERIC_POLICY_GAP,Absent from current Output; Eric has not supplied all policies yet — not a conversion failure,167001,2022-01-11 00:00:00
9010368703C,9010368703,AVAILABLE_MATCH,N,12890.67,12890.67,0.0,1,2,12890.67,1,0.0,0.0,0,,0.0,44,"{""clearing_death"": 12890.67, ""payout_death_claim_payment"": 12890.67, ""unclassified"": 874.92}",MATCH_CSO,Death MPAID equals CSO Total_Paid within tolerance,167001,2021-01-29 00:00:00
9010371171C,9010371171,AVAILABLE_MATCH,N,12834.01,12834.01,0.0,1,2,12834.01,1,0.0,0.0,0,,0.0,93,"{""clearing_death"": 12834.01, ""payout_death_claim_payment"": 12834.01, ""reversal"": 180.23, ""unclassified"": 1810.92}",MATCH_CSO,Death MPAID equals CSO Total_Paid within tolerance,167001,2024-09-04 00:00:00
9010374779C,9010374779,AVAILABLE_MATCH,N,8353.43,8353.43,0.0,1,2,8353.43,1,0.0,0.0,0,,0.0,13,"{""clearing_death"": 8353.43, ""payout_death_claim_payment"": 8353.43, ""unclassified"": 218.7}",MATCH_CSO,Death MPAID equals CSO Total_Paid within tolerance,167001,2020-07-01 00:00:00
9010376540C,9010376540,AVAILABLE_MISMATCH,N,5896.15,17517.37,0.0,1,2,17517.37,3,-11621.22,0.0,0,,0.0,10,"{""clearing_death"": 11621.22, ""interest_death_benefit"": 85.54, ""payout_death_claim_payment"": 17517.37, ""reinstatement_endow_loop"": 5810.61}",INTEREST_IN_CHECK_REVIEW,Death-benefit interest layers present; keep out of MINTAMT,167001,2019-02-20 00:00:00
9010378710C,9010378710,MISSING_ERIC_SUPPLY,N,6715.85,0.0,0.0,0,,0.0,0,6715.85,0.0,0,,0.0,0,{},ERIC_POLICY_GAP,Absent from current Output; Eric has not supplied all policies yet — not a conversion failure,166300,2021-04-19 00:00:00
9010378829C,9010378829,AVAILABLE_MATCH,N,7174.45,7174.45,0.0,1,2,7174.45,1,0.0,0.0,0,,0.0,3,"{""clearing_death"": 7174.45, ""payout_death_claim_payment"": 7174.45}",MATCH_CSO,Death MPAID equals CSO Total_Paid within tolerance,166300,2021-10-11 00:00:00
9010381483C,9010381483,MISSING_ERIC_SUPPLY,N,9702.0,0.0,0.0,0,,0.0,0,9702.0,0.0,0,,0.0,0,{},ERIC_POLICY_GAP,Absent from current Output; Eric has not supplied all policies yet — not a conversion failure,167002,2017-01-27 00:00:00
9010382520C,9010382520,AVAILABLE_MATCH,N,7807.24,7807.24,0.0,1,2,7807.24,1,0.0,0.0,0,,0.0,3,"{""clearing_death"": 7807.24, ""payout_death_claim_payment"": 7807.24}",MATCH_CSO,Death MPAID equals CSO Total_Paid within tolerance,166300,2025-10-02 00:00:00
9010382931C,9010382931,AVAILABLE_MATCH,N,17290.3,17290.3,0.0,1,2,17290.3,1,0.0,0.0,0,,0.0,65,"{""clearing_death"": 17968.5, ""loan_interest_capitalized"": 144.34, ""loan_unearned_interest_income"": 72.01, ""payout_death_claim_payment"": 17290.3, ""unapplied_intraco"": 1383.54, ""unclassified"": 911.1}",MATCH_CSO,Death MPAID equals CSO Total_Paid within tolerance,166101,2022-03-14 00:00:00
9010383050C,9010383050,MISSING_ERIC_SUPPLY,N,4408.4,0.0,0.0,0,,0.0,0,4408.4,0.0,0,,0.0,0,{},ERIC_POLICY_GAP,Absent from current Output; Eric has not supplied all policies yet — not a conversion failure,167002,2017-03-21 00:00:00
9010385491C,9010385491,AVAILABLE_MISMATCH,N,6000.23,17999.39,0.0,1,2,17999.39,5,-11999.16,0.0,0,,0.0,14,"{""clearing_death"": 11006.04, ""interest_death_benefit"": 1490.33, ""payout_death_claim_payment"": 17999.39, ""reinstatement_endow_loop"": 5503.02}",REINSTATEMENT_TRIPLE_COUNT,MPAID ≈ 3× CSO Total_Paid,167002,2021-07-07 00:00:00
9010389651C,9010389651,AVAILABLE_MATCH,N,22352.18,22352.18,0.0,1,2,22352.18,1,0.0,0.0,0,,0.0,86,"{""clearing_death"": 22352.18, ""payout_death_claim_payment"": 22352.18, ""unclassified"": 3695.48}",MATCH_CSO,Death MPAID equals CSO Total_Paid within tolerance,167001,2024-09-06 00:00:00
9010391359C,9010391359,AVAILABLE_MISMATCH,Y,1260.06,0.0,0.0,1,2,0.0,0,1260.06,0.0,0,,0.0,107,"{""clearing_death"": 4978.96, ""loan_interest_capitalized"": 352.66, ""loan_unearned_interest_income"": 41.75, ""payout_death_claim_payment"": 1260.06, ""unclassified"": 309.02}",MISSING_DEATH_MPAID_BUT_PACTG_PAYOUT,CSO paid > 0 but death MPAID=0; open PACTG 0094/1058 payout exists,268001,2021-12-17 00:00:00
9010393158C,9010393158,AVAILABLE_MATCH,N,11321.7,11321.7,0.0,1,2,11321.7,1,0.0,0.0,0,,0.0,42,"{""clearing_death"": 11321.7, ""payout_death_claim_payment"": 11321.7, ""reinstatement_clearing"": 18209.02, ""reinstatement_endow_loop"": 9104.51, ""reinstatement_related"": 9104.51, ""unapplied_intraco"": 28140.33, ""unclassified"": 462.36}",MATCH_CSO,Death MPAID equals CSO Total_Paid within tolerance,167002,2022-06-21 00:00:00
9010394249C,9010394249,AVAILABLE_MATCH,N,13044.15,13044.15,0.0,1,2,13044.15,1,0.0,0.0,0,,0.0,37,"{""clearing_death"": 13044.15, ""payout_death_claim_payment"": 13044.15, ""unapplied_intraco"": 1622.4, ""unclassified"": 1202.82}",MATCH_CSO,Death MPAID equals CSO Total_Paid within tolerance,167001,2024-10-09 00:00:00
9010394282C,9010394282,MISSING_ERIC_SUPPLY,N,1238.74,0.0,0.0,0,,0.0,0,1238.74,0.0,0,,0.0,0,{},ERIC_POLICY_GAP,Absent from current Output; Eric has not supplied all policies yet — not a conversion failure,167002,2017-04-05 00:00:00
9010394662C,9010394662,AVAILABLE_MATCH,N,4928.4,4928.4,0.0,1,2,4928.4,1,0.0,0.0,0,,0.0,8,"{""clearing_death"": 4928.4, ""payout_death_claim_payment"": 4928.4, ""reinstatement_clearing"": 5834.0, ""reinstatement_endow_loop"": 2917.0, ""reinstatement_related"": 2917.0, ""unapplied_intraco"": 2917.0}",MATCH_CSO,Death MPAID equals CSO Total_Paid within tolerance,167001,2025-09-16 00:00:00
9010394783C,9010394783,MISSING_ERIC_SUPPLY,N,12777.92,0.0,0.0,0,,0.0,0,12777.92,0.0,0,,0.0,0,{},ERIC_POLICY_GAP,Absent from current Output; Eric has not supplied all policies yet — not a conversion failure,167001,2017-09-06 00:00:00
9010395382C,9010395382,MISSING_ERIC_SUPPLY,N,4012.31,0.0,0.0,0,,0.0,0,4012.31,0.0,0,,0.0,0,{},ERIC_POLICY_GAP,Absent from current Output; Eric has not supplied all policies yet — not a conversion failure,167001,2024-06-17 00:00:00
9010395878C,9010395878,AVAILABLE_MATCH,N,7158.62,7158.62,0.0,1,2,7158.62,1,0.0,0.0,0,,0.0,3,"{""clearing_death"": 7158.62, ""payout_death_claim_payment"": 7158.62}",MATCH_CSO,Death MPAID equals CSO Total_Paid within tolerance,167001,2018-03-01 00:00:00
9010395879C,9010395879,MISSING_ERIC_SUPPLY,N,4916.26,0.0,0.0,0,,0.0,0,4916.26,0.0,0,,0.0,0,{},ERIC_POLICY_GAP,Absent from current Output; Eric has not supplied all policies yet — not a conversion failure,167002,2023-03-21 00:00:00
9010396147C,9010396147,AVAILABLE_MATCH,N,10133.83,10133.83,0.0,1,2,10133.83,1,0.0,0.0,0,,0.0,76,"{""clearing_death"": 10133.83, ""payout_death_claim_payment"": 10133.83, ""unclassified"": 1531.04}",MATCH_CSO,Death MPAID equals CSO Total_Paid within tolerance,167002,2025-02-13 00:00:00
9010397318C,9010397318,AVAILABLE_MATCH,N,3626.03,3626.03,0.0,1,2,3626.03,2,0.0,0.0,0,,0.0,3,"{""clearing_death"": 3626.03, ""payout_death_claim_payment"": 3626.03}",MATCH_CSO,Death MPAID equals CSO Total_Paid within tolerance,167001,2020-04-22 00:00:00
9010397945C,9010397945,AVAILABLE_MATCH,N,5367.56,5367.56,0.0,1,2,5367.56,1,0.0,0.0,0,,0.0,13,"{""clearing_death"": 5367.56, ""payout_death_claim_payment"": 5367.56, ""unclassified"": 213.59}",MATCH_CSO,Death MPAID equals CSO Total_Paid within tolerance,167002,2021-12-03 00:00:00
9010398274C,9010398274,AVAILABLE_MATCH,N,15088.91,15088.91,0.0,1,2,15088.91,4,0.0,0.0,0,,0.0,88,"{""clearing_death"": 15088.91, ""payout_death_claim_payment"": 15088.91, ""unclassified"": 1821.12}",MATCH_CSO,Death MPAID equals CSO Total_Paid within tolerance,167002,2024-05-16 00:00:00
9010398591C,9010398591,AVAILABLE_MATCH,N,11683.11,11683.11,0.0,1,2,11683.11,9,0.0,0.0,0,,0.0,11,"{""clearing_death"": 11683.11, ""payout_death_claim_payment"": 11683.11}",MATCH_CSO,Death MPAID equals CSO Total_Paid within tolerance,167002,2025-12-05 00:00:00
9010398651C,9010398651,MISSING_ERIC_SUPPLY,N,7949.87,0.0,0.0,0,,0.0,0,7949.87,0.0,0,,0.0,0,{},ERIC_POLICY_GAP,Absent from current Output; Eric has not supplied all policies yet — not a conversion failure,167001,2017-05-05 00:00:00
9010398717C,9010398717,MISSING_ERIC_SUPPLY,N,6383.0,0.0,0.0,0,,0.0,0,6383.0,0.0,0,,0.0,0,{},ERIC_POLICY_GAP,Absent from current Output; Eric has not supplied all policies yet — not a conversion failure,167002,2017-10-11 00:00:00
9010401181C,9010401181,AVAILABLE_MATCH,N,8600.48,8600.48,0.0,1,2,8600.48,1,0.0,0.0,0,,0.0,7,"{""clearing_death"": 8600.48, ""payout_death_claim_payment"": 8600.48, ""unclassified"": 30.0}",MATCH_CSO,Death MPAID equals CSO Total_Paid within tolerance,167001,2018-04-09 00:00:00
9010401553C,9010401553,MISSING_ERIC_SUPPLY,N,4674.18,0.0,0.0,0,,0.0,0,4674.18,0.0,0,,0.0,0,{},ERIC_POLICY_GAP,Absent from current Output; Eric has not supplied all policies yet — not a conversion failure,167002,2022-03-08 00:00:00
9010402010C,9010402010,AVAILABLE_MATCH,Y,8920.15,8920.15,0.0,1,2,8920.15,1,0.0,0.0,0,,0.0,3,"{""clearing_death"": 7139.57, ""interest_death_benefit"": 1780.58, ""payout_death_claim_payment"": 8920.15}",MATCH_CSO,Death MPAID equals CSO Total_Paid within tolerance,167002,2025-09-04 00:00:00
