mpolicy,population,policy_digits,effective_date,debit_code,credit_code,debit_account,credit_account,trans_amount,date_reversed,reversal_code,layer_class
9010150740C,AVAILABLE_MATCH,9010150740,20180901,0641,0310,603703R,2023,31.63,0,,dividend_interest
9010150740C,AVAILABLE_MATCH,9010150740,20180901,0514,0310,905003R,2023,12.77,0,,dividend_on_deposit
9010150740C,AVAILABLE_MATCH,9010150740,20180905,0049,0012,1061000049,2019,30.29,0,,unapplied_intraco
9010150740C,AVAILABLE_MATCH,9010150740,20180901,0012,0110,2019,400103R,30.29,0,,unapplied_intraco
9010150740C,AVAILABLE_MATCH,9010150740,20181231,0641,0310,603703R,2023,16.1,0,,dividend_interest
9010150740C,AVAILABLE_MATCH,9010150740,20190901,0641,0310,603703R,2023,33.04,0,,dividend_interest
9010150740C,AVAILABLE_MATCH,9010150740,20190901,0514,0310,905003R,2023,12.78,0,,dividend_on_deposit
9010150740C,AVAILABLE_MATCH,9010150740,20190904,0049,0012,1061000049,2019,30.29,0,,unapplied_intraco
9010150740C,AVAILABLE_MATCH,9010150740,20190901,0012,0110,2019,400103R,30.29,0,,unapplied_intraco
9010150740C,AVAILABLE_MATCH,9010150740,20191231,0641,0310,603703R,2023,16.77,0,,dividend_interest
9010150740C,AVAILABLE_MATCH,9010150740,20200901,0049,0012,1061000049,2019,30.29,0,,unapplied_intraco
9010150740C,AVAILABLE_MATCH,9010150740,20200901,0012,0110,2019,400103R,30.29,0,,unapplied_intraco
9010150740C,AVAILABLE_MATCH,9010150740,20200901,0641,0310,603703R,2023,34.54,0,,dividend_interest
9010150740C,AVAILABLE_MATCH,9010150740,20200901,0514,0310,905003R,2023,12.72,0,,dividend_on_deposit
9010150740C,AVAILABLE_MATCH,9010150740,20201231,0641,0310,603703R,2023,17.55,0,,dividend_interest
9010150740C,AVAILABLE_MATCH,9010150740,20210830,0049,0012,1061000049,2019,30.29,0,,unapplied_intraco
9010150740C,AVAILABLE_MATCH,9010150740,20210901,0012,0110,2019,400103R,30.29,0,,unapplied_intraco
9010150740C,AVAILABLE_MATCH,9010150740,20210901,0641,0310,603703R,2023,36.0,0,,dividend_interest
9010150740C,AVAILABLE_MATCH,9010150740,20210901,0514,0310,905003R,2023,12.59,0,,dividend_on_deposit
9010150740C,AVAILABLE_MATCH,9010150740,20211231,0641,0310,603703R,2023,18.31,0,,dividend_interest
9010150740C,AVAILABLE_MATCH,9010150740,20220901,0641,0310,603703R,2023,37.56,0,,dividend_interest
9010150740C,AVAILABLE_MATCH,9010150740,20220901,0514,0310,905003R,2023,12.32,0,,dividend_on_deposit
9010150740C,AVAILABLE_MATCH,9010150740,20220902,0049,0012,1061000049,2019,30.29,0,,unapplied_intraco
9010150740C,AVAILABLE_MATCH,9010150740,20220901,0012,0110,2019,400103R,30.29,0,,unapplied_intraco
9010150740C,AVAILABLE_MATCH,9010150740,20221231,0641,0310,603703R,2023,19.09,0,,dividend_interest
9010150740C,AVAILABLE_MATCH,9010150740,20230509,0530,0038,600103R,2032,1500.0,0,,clearing_death
9010150740C,AVAILABLE_MATCH,9010150740,20230509,0641,0310,603703R,2023,20.59,0,,dividend_interest
9010150740C,AVAILABLE_MATCH,9010150740,20230509,0310,0038,2023,2032,1704.05,0,,dividend_on_deposit
9010150740C,AVAILABLE_MATCH,9010150740,20230509,0110,0038,400103R,2032,9.54,0,,clearing_death
9010150740C,AVAILABLE_MATCH,9010150740,20230509,0038,0094,2032,1058,3213.59,0,,payout_death_claim_payment
9010150910C,AVAILABLE_MATCH,9010150910,20180901,0012,0110,2019,400103R,19.7,0,,unapplied_intraco
9010150910C,AVAILABLE_MATCH,9010150910,20180901,0044,0012,1061000044,2019,19.7,0,,unapplied_intraco
9010150910C,AVAILABLE_MATCH,9010150910,20180901,0517,0112,906103R,406203S,8.44,0,,unclassified
9010150910C,AVAILABLE_MATCH,9010150910,20190901,0044,0012,1061000044,2019,19.7,0,,unapplied_intraco
9010150910C,AVAILABLE_MATCH,9010150910,20190901,0012,0110,2019,400103R,19.7,0,,unapplied_intraco
9010150910C,AVAILABLE_MATCH,9010150910,20190901,0517,0112,906103R,406203S,8.47,0,,unclassified
9010150910C,AVAILABLE_MATCH,9010150910,20200423,0530,0038,600103R,2032,127.52,0,,clearing_death
9010150910C,AVAILABLE_MATCH,9010150910,20200423,0530,0038,600103R,2032,1000.0,0,,clearing_death
9010150910C,AVAILABLE_MATCH,9010150910,20200423,0110,0038,400103R,2032,7.05,0,,clearing_death
9010150910C,AVAILABLE_MATCH,9010150910,20200423,0038,0094,2032,1058,283.65,0,,payout_death_claim_payment
9010150910C,AVAILABLE_MATCH,9010150910,20200423,0038,0094,2032,1058,283.64,0,,payout_death_claim_payment
9010150910C,AVAILABLE_MATCH,9010150910,20200423,0038,0094,2032,1058,283.64,0,,payout_death_claim_payment
9010150910C,AVAILABLE_MATCH,9010150910,20200423,0038,0094,2032,1058,283.64,0,,payout_death_claim_payment
9010331157C,AVAILABLE_MATCH,9010331157,20180112,0049,0012,1061000049,2019,44.28,0,,unapplied_intraco
9010331157C,AVAILABLE_MATCH,9010331157,20180117,0012,0110,2019,400103R,44.28,0,,unapplied_intraco
9010331157C,AVAILABLE_MATCH,9010331157,20180416,0049,0012,1061000049,2019,44.28,0,,unapplied_intraco
9010331157C,AVAILABLE_MATCH,9010331157,20180417,0012,0110,2019,400103R,44.28,0,,unapplied_intraco
9010331157C,AVAILABLE_MATCH,9010331157,20180713,0049,0012,1061000049,2019,44.28,0,,unapplied_intraco
